DateTime,Entries,UniqueIPs
1493478450,105,105
1493485620,107,107
1493489249,104,104
1493492830,107,107
1493496428,109,109
1493500032,109,109
1493507217,109,109
1493510877,107,107
1493514439,108,108
1493518059,110,110
1493525247,110,110
1493528838,110,110
1493539645,109,109
1493543245,108,108
1493546854,107,107
1493550431,107,107
1493561244,107,107
1493564848,104,104
1493568419,100,100
1493572026,101,101
1493575626,108,108
1493579249,112,112
1493582865,107,107
1493586440,109,109
1493590051,98,98
1493593650,96,96
1493597264,111,111
1493600817,113,113
1493604438,112,112
1493608041,113,113
1493611657,108,108
1493615246,103,103
1493618846,99,99
1493622449,104,104
1493626070,105,105
1493629644,108,108
1493633252,106,106
1493636856,75,75
1493640429,105,105
1493644031,107,107
1493647630,108,108
1493651236,111,111
1493654835,112,112
1493658447,110,110
1493662039,112,112
1493665623,112,112
1493669251,110,110
1493672838,114,114
1493676427,113,113
1493680049,108,108
1493683717,105,105
1493687239,106,106
1493690840,104,104
1493694434,110,110
1493698037,111,111
1493701633,114,114
1493705272,113,113
1493708815,117,117
1493712426,114,114
1493716029,114,114
1493719635,114,114
1493723236,114,114
1493726844,113,113
1493730445,111,111
1493734052,110,110
1493737653,109,109
1493741242,108,108
1493748448,104,104
1493752039,107,107
1493755619,109,109
1493759241,112,112
1493762852,112,112
1493766448,107,107
1493770083,97,97
1493773606,104,104
1493777228,103,103
1493780831,104,104
1493785011,104,104
1493788036,75,75
1493791610,79,79
1493795227,84,84
1493798807,105,105
1493806039,103,103
1493809622,107,107
1493813219,102,102
1493820438,104,104
1493824048,82,82
1493827630,101,101
1493831216,106,106
1493834841,106,106
1493838420,106,106
1493842028,83,83
1493845631,82,82
1493849228,75,75
1493852830,77,77
1493856463,77,77
1493860035,70,70
1493863648,72,72
1493867253,67,67
1493870860,65,65
1493874438,80,80
1493878037,82,82
1493881651,82,82
1493885599,80,80
1493889565,104,104
1493893000,104,104
1493896107,105,105
1493899852,104,104
1493903676,104,104
1493906927,101,101
1493910850,100,100
1493914414,106,106
1493917990,100,100
1493921433,100,100
1493924862,98,98
1493928462,79,79
1493932174,86,86
1493935609,84,84
1493939215,81,81
1493942862,83,83
1493946436,73,73
1493950025,99,99
1493953610,107,107
1493957259,109,109
1493960842,108,108
1493964441,107,107
1493968043,89,89
1493971641,87,87
1493975222,88,88
1493978819,109,109
1493982423,111,111
1493986033,109,109
1493989641,108,108
1493993231,101,101
1493996834,83,83
1494000438,84,84
1494004021,82,82
1494007656,79,79
1494011242,73,73
1494014836,71,71
1494018437,75,75
1494022028,76,76
1494025611,102,102
1494029235,108,108
1494032827,111,111
1494036428,110,110
1494040029,110,110
1494043636,104,104
1494047248,80,80
1494050827,75,75
1494054421,65,65
1494058045,61,61
1494061592,104,104
1494065231,105,105
1494068823,109,109
1494072436,108,108
1494076029,94,94
1494079638,90,90
1494083222,89,89
1494086810,105,105
1494090424,106,106
1494094034,104,104
1494097636,104,104
1494101226,90,90
1494104796,104,104
1494108437,103,103
1494112031,109,109
1494115661,110,110
1494119214,107,107
1494122812,111,111
1494126417,109,109
1494130022,108,108
1494133628,101,101
1494137252,79,79
1494140838,84,84
1494144422,77,77
1494148014,81,81
1494151633,86,86
1494155215,106,106
1494158816,109,109
1494162434,109,109
1494166041,104,104
1494169593,109,109
1494173235,108,108
1494176842,106,106
1494184022,106,106
1494187608,109,109
1494198440,103,103
1494202073,87,87
1494205639,106,106
1494209250,105,105
1494212828,108,108
1494216451,107,107
1494220052,100,100
1494223624,105,105
1494227235,100,100
1494230846,104,104
1494234445,105,105
1494238052,100,100
1494241625,105,105
1494245245,99,99
1494248846,100,100
1494252426,100,100
1494256033,90,90
1494259669,91,91
1494263241,94,94
1494266815,107,107
1494274067,108,108
1494277657,99,99
1494281224,94,94
1494284858,105,105
1494288481,104,104
1494295639,86,86
1494299223,101,101
1494302832,107,107
1494306441,109,109
1494310021,110,110
1494313643,108,108
1494317233,107,107
1494320840,104,104
1494324428,103,103
1494328043,101,101
1494331637,100,100
1494335239,100,100
1494338838,81,81
1494342438,76,76
1494346014,108,108
1494353220,110,110
1494356851,110,110
1494360446,106,106
1494364017,105,105
1494367630,102,102
1494371227,106,106
1494374869,106,106
1494378432,107,107
1494382022,107,107
1494385635,107,107
1494389238,104,104
1494392852,105,105
1494396423,96,96
1494400023,105,105
1494403634,103,103
1494407243,104,104
1494410829,101,101
1494414443,101,101
1494418020,109,109
1494421641,108,108
1494425248,108,108
1494428835,99,99
1494432438,105,105
1494436044,110,110
1494439642,109,109
1494443223,112,112
1494446839,98,98
1494450428,97,97
1494454028,107,107
1494457643,95,95
1494461267,107,107
1494468442,106,106
1494472045,106,106
1494475631,107,107
1494479255,108,108
1494482854,108,108
1494486450,108,108
1494490055,93,93
1494493630,92,92
1494497267,76,76
1494500852,81,81
1494504458,80,80
1494508023,78,78
1494511640,108,108
1494515246,109,109
1494522450,110,110
1494526053,105,105
1494529651,99,99
1494533227,106,106
1494537040,104,104
1494540626,109,109
1494544292,107,107
1494547659,107,107
1494551248,105,105
1494554834,108,108
1494558422,108,108
1494562026,109,109
1494569245,108,108
1494572839,107,107
1494576420,107,107
1494580062,109,109
1494583635,108,108
1494587263,104,104
1494590833,101,101
1494594462,101,101
1494598052,100,100
1494601649,99,99
1494605265,67,67
1494608852,68,68
1494612435,74,74
1494616031,105,105
1494619638,104,104
1494623242,105,105
1494630451,105,105
1494634069,107,107
1494637630,106,106
1494641224,107,107
1494644845,104,104
1494648426,87,87
1494652014,104,104
1494659214,96,96
1494662827,100,100
1494666411,85,85
1494670041,82,82
1494673609,102,102
1494677242,103,103
1494680833,102,102
1494684427,106,106
1494688018,106,106
1494691643,106,106
