DateTime,AddedIPs,RemovedIPs
1493576106,11,11
1493579732,6,4
1493583339,11,12
1493586940,5,3
1493590545,3,23
1493594126,11,7
1493597785,47,10
1493601318,12,8
1493604954,11,3
1493608527,6,20
1493612146,3,16
1493615721,5,16
1493619335,6,11
1493622919,22,9
1493626586,14,2
1493630121,6,1
1493633738,9,3
1493637346,4,34
1493640903,32,4
1493644528,5,4
1493648079,3,15
1493651742,9,11
1493655296,13,3
1493658998,2,7
1493662574,9,2
1493666110,6,3
1493669717,1,5
1493673332,8,2
1493676918,2,9
1493680553,5,12
1493684216,14,4
1493687744,9,5
1493691345,4,9
1493694920,13,32
1493698502,8,8
1493702121,11,4
1493705761,2,2
1493709281,8,5
1493712929,5,4
1493716494,2,9
1493720131,7,8
1493723697,13,7
1493727322,2,4
1493730952,5,16
1493734508,4,9
1493738176,9,9
1493741714,10,7
1493745340,3,2
1493748919,3,6
1493752512,9,5
1493756106,9,6
1493759739,13,5
1493763350,7,2
1493766918,4,7
1493770589,35,14
1493774044,15,7
1493777705,4,5
1493781288,6,34
1493786219,11,5
1493788486,2,31
1493792357,7,4
1493795689,8,5
1493799288,23,3
1493802947,3,10
1493806502,0,5
1493810097,8,3
1493813684,11,8
1493817354,3,6
1493820946,7,2
1493824490,5,21
1493828092,21,13
1493831709,11,6
1493835291,8,4
1493838925,5,6
1493842536,2,22
1493846109,6,9
1493849681,6,17
1493853297,5,7
1493856966,32,7
1493860516,12,8
1493864167,11,8
1493867696,2,32
1493871318,7,13
1493874901,18,6
1493878509,6,11
1493882793,10,8
1493887715,17,7
1493892747,28,8
1493896373,5,3
1493897734,3,0
1493901371,3,4
1493905184,5,5
1493908505,3,8
1493912681,3,4
1493915268,7,2
1493919408,3,14
1493922688,6,0
1493926031,3,7
1493929119,10,21
1493933528,10,7
1493936054,5,11
1493939669,4,7
1493943336,16,11
1493946907,8,14
1493950514,37,12
1493954083,17,12
1493957785,12,2
1493961314,2,6
1493964924,5,7
1493968524,2,25
1493972138,7,6
1493975693,3,12
1493979319,26,9
1493982923,9,4
1493986503,6,11
1493990132,3,6
1493993700,13,15
1493997366,16,30
1494000920,10,2
1494004514,7,7
1494008140,2,7
1494011700,7,14
1494015300,8,4
1494018920,4,3
1494022506,4,5
1494026081,25,7
1494029729,47,14
1494033314,12,3
1494036917,7,13
1494040507,6,41
1494044124,7,8
1494047725,7,34
1494051306,4,11
1494054904,10,17
1494058557,6,11
1494062094,46,5
1494065689,8,4
1494069287,10,3
1494072937,6,4
1494076477,2,17
1494080115,5,8
1494083695,4,1
1494087280,17,10
1494090929,7,2
1494094500,4,3
1494098119,3,9
1494101689,3,16
1494105269,16,5
1494108930,2,7
1494112505,9,5
1494116167,35,9
1494119687,10,13
1494123304,19,4
1494126909,3,30
1494130485,6,6
1494134118,4,16
1494137714,2,38
1494141321,25,4
1494144890,9,14
1494148502,11,4
1494152123,12,7
1494155692,24,5
1494159316,7,2
1494162942,2,3
1494166510,2,9
1494170085,11,8
1494173736,9,4
1494177327,2,3
1494180893,2,3
1494184493,5,11
1494188086,7,9
1494191726,3,6
1494195279,17,2
1494198924,4,10
1494202571,21,22
1494206110,23,2
1494209727,1,12
1494213272,10,20
1494216909,4,3
1494220537,5,11
1494224110,11,8
1494227683,6,9
1494231341,8,10
1494234914,7,1
1494238536,7,10
1494242125,11,8
1494245706,5,8
1494249338,7,7
1494252911,6,8
1494256527,5,10
1494260165,5,5
1494263709,8,10
1494267315,22,13
1494270943,5,6
1494274554,4,2
1494278124,11,8
1494281720,8,12
1494285336,8,3
1494288999,34,8
1494292503,5,8
1494296114,7,25
1494299678,20,37
1494303315,7,5
1494306928,7,4
1494310469,5,23
1494314133,13,2
1494317708,9,4
1494321317,6,9
1494324933,6,8
1494328496,4,4
1494332096,8,3
1494335727,3,5
1494339282,5,20
1494342915,4,13
1494346511,34,11
1494350116,3,3
1494353710,9,5
1494357309,10,5
1494360935,4,6
1494364486,3,2
1494368101,3,8
1494371703,4,16
1494375354,35,9
1494378909,4,5
1494382510,17,8
1494386100,9,32
1494389707,4,7
1494393334,2,1
1494396884,2,14
1494400480,12,10
1494404062,4,10
1494407697,7,8
1494411308,13,9
1494414906,12,23
1494418495,20,2
1494422097,8,3
1494425729,10,3
1494429314,3,12
1494432941,15,5
1494436541,1,2
1494440097,3,5
1494443685,4,10
1494447311,4,20
1494450909,6,10
1494454514,18,4
1494458119,10,14
1494461741,27,3
1494465298,8,2
1494468919,3,15
1494472517,12,21
1494476079,12,25
1494479723,9,7
1494483320,3,2
1494486909,7,5
1494490531,4,18
1494494104,5,14
1494497750,10,16
1494501319,7,5
1494504920,3,9
1494508485,7,6
1494512129,32,4
1494515724,3,4
1494519297,3,7
1494522903,7,6
1494526526,0,10
1494530119,11,9
1494533689,13,18
1494538191,8,13
1494541624,28,1
1494545505,5,8
1494548119,26,0
1494551728,5,3
1494555287,5,6
1494558894,5,26
1494562503,3,3
1494566108,1,5
1494569707,5,5
1494573292,4,10
1494576879,11,2
1494580546,3,4
1494584106,7,8
1494587734,2,11
1494591296,10,24
1494594951,4,9
1494598527,7,10
1494602119,18,9
1494605759,13,36
1494609315,15,2
1494612928,10,4
1494616500,33,1
1494620108,2,1
1494623695,6,5
1494627316,1,5
1494630897,4,10
1494634581,32,3
1494638110,11,9
1494641699,4,8
1494645323,5,24
1494648885,5,24
1494652460,22,4
1494656141,4,3
1494659688,3,6
1494663313,10,10
1494666888,6,21
1494670512,3,12
1494674102,28,2
1494677762,4,2
1494681327,6,4
1494684952,5,0
1494688502,1,6
1494692120,4,6
1494695714,10,2
1494699318,4,3
1494702905,5,2
1494706542,3,6
1494710090,0,6
1494713732,3,24
1494717285,2,4
1494720988,24,5
1494724492,11,7
1494728088,19,12
1494731717,8,21
1494735287,1,5
1494738911,5,4
1494742477,2,19
1494746115,4,18
1494749711,6,12
1494753294,15,7
1494756901,7,4
1494760481,28,6
1494764090,7,14
1494767689,12,8
1494771294,10,6
1494774885,5,11
1494778513,6,32
1494782116,5,16
1494785722,17,12
1494789312,18,3
1494792918,12,7
1494796474,23,2
1494800125,5,4
1494803690,0,6
1494807312,26,1
1494810911,2,9
1494814519,6,8
1494818083,8,27
1494821716,9,15
1494825288,16,23
1494828917,5,8
1494832488,26,3
1494836083,3,4
1494839718,10,11
1494843300,9,6
1494846873,6,6
1494850501,8,4
1494854113,0,3
1494857714,5,13
1494861333,9,11
1494864906,7,32
1494868496,29,1
1494872106,2,4
1494875702,11,3
1494879320,3,2
1494882862,7,9
1494886524,2,4
1494890120,5,8
1494893739,34,9
1494897256,18,5
1494900902,6,2
1494904506,5,30
1494908080,5,3
1494911665,6,24
1494915335,17,6
1494918882,0,3
1494922490,2,5
1494926081,10,5
1494929734,2,24
1494933298,4,8
1494936907,5,8
1494940481,2,20
1494944085,3,16
1494947688,10,6
1494951280,41,8
1494954914,10,4
1494958506,3,4
1494962129,5,2
1494965701,6,24
1494969272,16,15
1494972902,8,13
1494976474,9,9
1494980177,32,6
1494983688,13,2
1494987264,7,6
1494990945,11,18
1494994492,14,7
1494998084,7,14
1495001688,10,6
1495005314,8,6
1495008908,7,4
1495012483,1,23
1495016111,12,9
1495019696,5,26
1495023312,9,7
1495026862,4,14
1495030508,16,17
1495034079,20,2
1495037688,27,3
1495041269,5,1
1495044893,7,10
1495048498,4,12
1495052095,11,12
1495055705,4,9
1495059310,4,26
1495062914,6,24
1495066558,41,8
1495070146,37,7
1495073723,17,9
1495077323,12,26
1495080919,3,8
1495084506,7,7
1495088084,4,18
1495091759,4,15
1495095307,9,28
1495098874,40,6
1495102493,19,3
1495106101,4,3
1495109748,2,9
1495113302,10,7
1495116930,6,10
1495120510,6,5
1495124110,4,5
1495127795,11,18
1495131393,6,9
1495135027,5,10
1495138597,8,14
1495142109,30,11
1495145736,1,6
1495149335,4,7
1495152966,27,7
1495156503,11,8
1495160152,5,5
1495163721,13,26
1495167333,10,8
1495170942,7,6
1495174619,6,10
1495178126,6,28
1495181762,11,8
1495185373,15,19
1495188949,27,0
1495192481,9,4
1495196155,2,4
1495199716,3,5
1495203377,4,11
1495206949,5,24
1495210573,14,7
1495214089,23,13
1495217725,6,7
1495221351,2,7
1495224936,4,7
1495228499,15,23
1495232117,8,10
1495235704,16,2
1495239373,34,4
1495242919,8,11
1495246517,13,8
1495250123,4,16
1495253711,17,22
1495257329,3,3
1495260886,8,26
1495264508,8,5
1495268117,26,3
1495271713,6,3
1495275294,4,14
1495278925,9,4
1495282497,4,9
1495286122,9,3
