DateTime,Entries,UniqueIPs
1493576106,356,356
1493579732,358,358
1493583339,357,357
1493586940,359,359
1493590545,339,339
1493594126,343,343
1493597785,380,380
1493601318,384,384
1493604954,392,392
1493608527,378,378
1493612146,365,365
1493615721,354,354
1493619335,349,349
1493622919,362,362
1493626586,374,374
1493630121,379,379
1493633738,385,385
1493637346,355,355
1493640903,383,383
1493644528,384,384
1493648079,372,372
1493651742,370,370
1493655296,380,380
1493658998,375,375
1493662574,382,382
1493666110,385,385
1493669717,381,381
1493673332,387,387
1493676918,380,380
1493680553,373,373
1493684216,383,383
1493687744,387,387
1493691345,382,382
1493694920,363,363
1493698502,363,363
1493702121,370,370
1493705761,370,370
1493709281,373,373
1493712929,374,374
1493716494,367,367
1493720131,366,366
1493723697,372,372
1493727322,370,370
1493730952,359,359
1493734508,354,354
1493738176,354,354
1493741714,357,357
1493745340,358,358
1493748919,355,355
1493752512,359,359
1493756106,362,362
1493759739,370,370
1493763350,375,375
1493766918,372,372
1493770589,393,393
1493774044,401,401
1493777705,400,400
1493781288,372,372
1493786219,378,378
1493788486,349,349
1493792357,352,352
1493795689,355,355
1493799288,375,375
1493802947,368,368
1493806502,363,363
1493810097,368,368
1493813684,371,371
1493817354,368,368
1493820946,373,373
1493824490,357,357
1493828092,365,365
1493831709,370,370
1493835291,374,374
1493838925,373,373
1493842536,353,353
1493846109,350,350
1493849681,339,339
1493853297,337,337
1493856966,362,362
1493860516,366,366
1493864167,369,369
1493867696,339,339
1493871318,333,333
1493874901,345,345
1493878509,340,340
1493882793,342,342
1493887715,352,352
1493892747,372,372
1493896373,374,374
1493897734,377,377
1493901371,376,376
1493905184,376,376
1493908505,371,371
1493912681,370,370
1493915268,375,375
1493919408,364,364
1493922688,370,370
1493926031,366,366
1493929119,355,355
1493933528,358,358
1493936054,352,352
1493939669,349,349
1493943336,354,354
1493946907,348,348
1493950514,373,373
1493954083,378,378
1493957785,388,388
1493961314,384,384
1493964924,382,382
1493968524,359,359
1493972138,360,360
1493975693,351,351
1493979319,368,368
1493982923,373,373
1493986503,368,368
1493990132,365,365
1493993700,363,363
1493997366,349,349
1494000920,357,357
1494004514,357,357
1494008140,352,352
1494011700,345,345
1494015300,349,349
1494018920,350,350
1494022506,349,349
1494026081,367,367
1494029729,400,400
1494033314,409,409
1494036917,403,403
1494040507,368,368
1494044124,367,367
1494047725,340,340
1494051306,333,333
1494054904,326,326
1494058557,321,321
1494062094,362,362
1494065689,366,366
1494069287,373,373
1494072937,375,375
1494076477,360,360
1494080115,357,357
1494083695,360,360
1494087280,367,367
1494090929,372,372
1494094500,373,373
1494098119,367,367
1494101689,354,354
1494105269,365,365
1494108930,360,360
1494112505,364,364
1494116167,390,390
1494119687,387,387
1494123304,402,402
1494126909,375,375
1494130485,375,375
1494134118,363,363
1494137714,327,327
1494141321,348,348
1494144890,343,343
1494148502,350,350
1494152123,355,355
1494155692,374,374
1494159316,379,379
1494162942,378,378
1494166510,371,371
1494170085,374,374
1494173736,379,379
1494177327,378,378
1494180893,377,377
1494184493,371,371
1494188086,369,369
1494191726,366,366
1494195279,381,381
1494198924,375,375
1494202571,374,374
1494206110,395,395
1494209727,384,384
1494213272,374,374
1494216909,375,375
1494220537,369,369
1494224110,372,372
1494227683,369,369
1494231341,367,367
1494234914,373,373
1494238536,370,370
1494242125,373,373
1494245706,370,370
1494249338,370,370
1494252911,368,368
1494256527,363,363
1494260165,363,363
1494263709,361,361
1494267315,370,370
1494270943,369,369
1494274554,371,371
1494278124,374,374
1494281720,370,370
1494285336,375,375
1494288999,401,401
1494292503,398,398
1494296114,380,380
1494299678,363,363
1494303315,365,365
1494306928,368,368
1494310469,350,350
1494314133,361,361
1494317708,366,366
1494321317,363,363
1494324933,361,361
1494328496,361,361
1494332096,366,366
1494335727,364,364
1494339282,349,349
1494342915,340,340
1494346511,363,363
1494350116,363,363
1494353710,367,367
1494357309,372,372
1494360935,370,370
1494364486,371,371
1494368101,366,366
1494371703,354,354
1494375354,380,380
1494378909,379,379
1494382510,388,388
1494386100,365,365
1494389707,362,362
1494393334,363,363
1494396884,351,351
1494400480,353,353
1494404062,347,347
1494407697,346,346
1494411308,350,350
1494414906,339,339
1494418495,357,357
1494422097,362,362
1494425729,369,369
1494429314,360,360
1494432941,370,370
1494436541,369,369
1494440097,367,367
1494443685,361,361
1494447311,345,345
1494450909,341,341
1494454514,355,355
1494458119,351,351
1494461741,375,375
1494465298,381,381
1494468919,369,369
1494472517,360,360
1494476079,347,347
1494479723,349,349
1494483320,350,350
1494486909,352,352
1494490531,338,338
1494494104,329,329
1494497750,323,323
1494501319,325,325
1494504920,319,319
1494508485,320,320
1494512129,348,348
1494515724,347,347
1494519297,343,343
1494522903,344,344
1494526526,334,334
1494530119,336,336
1494533689,331,331
1494538191,326,326
1494541624,353,353
1494545505,350,350
1494548119,376,376
1494551728,378,378
1494555287,377,377
1494558894,356,356
1494562503,356,356
1494566108,352,352
1494569707,352,352
1494573292,346,346
1494576879,355,355
1494580546,354,354
