DateTime,AddedIPs,RemovedIPs
1493287672,1,0
1493294855,4,3
1493298475,2,0
1493302075,1,0
1493309273,1,3
1493316484,1,0
1493320088,0,1
1493323677,1,4
1493330880,1,3
1493334476,2,0
1493338113,2,0
1493341701,1,2
1493345294,3,1
1493348901,1,3
1493352483,4,0
1493359699,0,1
1493363295,3,0
1493366909,0,1
1493370497,0,2
1493374098,2,1
1493377695,2,0
1493384908,0,1
1493388472,2,2
1493392095,2,2
1493395711,1,1
1493399285,1,3
1493402876,5,0
1493406473,2,1
1493410098,1,1
1493417292,0,3
1493420875,2,6
1493424529,1,1
1493428070,1,1
1493431695,0,1
1493435275,3,0
1493438893,1,0
1493442493,1,3
1493446078,5,0
1493449696,1,2
1493453279,3,1
1493460500,0,1
1493467677,1,2
1493471278,5,2
1493474874,0,1
1493478493,1,4
1493482093,1,1
1493485664,3,1
1493489290,1,4
1493492878,2,0
1493496478,2,2
1493500080,2,1
1493507265,3,1
1493514476,0,3
1493521678,0,10
1493525285,1,0
1493528872,1,0
1493546888,1,0
1493561279,2,0
1493564888,0,1
1493575665,1,1
1493582900,1,2
1493586480,0,1
1493590088,1,3
1493593686,4,0
1493597313,0,2
1493600861,3,1
1493604481,3,0
1493608082,1,2
1493618893,1,1
1493622490,3,3
1493626117,3,0
1493629689,2,0
1493633300,3,0
1493636899,0,1
1493640472,1,1
1493644080,0,1
1493647666,0,3
1493651281,1,4
1493654879,5,1
1493658498,0,2
1493662084,2,1
1493665668,1,0
1493669298,0,2
1493672881,3,0
1493676475,0,2
1493680097,1,3
1493683760,1,0
1493687288,0,2
1493690900,0,1
1493694476,2,1
1493698083,3,2
1493701677,1,0
1493705318,0,1
1493708861,2,0
1493712471,3,0
1493716071,0,2
1493719682,2,0
1493723282,0,1
1493730498,0,4
1493734097,1,1
1493737703,0,4
1493741289,1,2
1493748495,2,1
1493752084,3,2
1493755662,2,1
1493759285,7,0
1493766495,4,1
1493770120,3,1
1493773644,0,2
1493777264,0,1
1493780866,2,8
1493785065,1,1
1493788070,0,4
1493791646,2,0
1493795264,1,1
1493798846,2,1
1493802485,0,1
1493806075,0,2
1493809658,2,2
1493813254,2,1
1493816873,2,0
1493820471,2,0
1493824088,1,0
1493827666,0,3
1493831251,1,3
1493834874,1,1
1493838457,1,2
1493845665,0,2
1493849262,4,1
1493852863,1,3
1493860071,3,0
1493863686,1,2
1493867288,1,0
1493870894,3,2
1493874476,2,0
1493878072,0,3
1493881688,0,1
1493885703,3,1
1493889735,1,1
1493896150,1,0
1493899895,1,1
1493903745,0,1
1493906971,2,1
1493910888,0,2
1493914449,1,1
1493918027,0,2
1493921469,2,0
1493924902,2,2
1493928500,2,1
1493932213,0,1
1493935644,1,0
1493939250,0,2
1493946479,2,0
1493950067,6,4
1493953655,3,0
1493957308,2,0
1493960886,0,1
1493964484,1,2
1493968089,0,4
1493971690,1,1
1493975267,0,2
1493978866,3,1
1493982463,1,0
1493986085,0,1
1493989692,0,1
1493993277,0,2
1493996882,6,4
1494000486,1,1
1494004065,5,1
1494007700,1,0
1494011277,2,2
1494014878,4,0
1494018479,0,2
1494022072,1,1
1494025659,1,4
1494029273,3,2
1494032865,1,0
1494036467,0,4
1494040061,0,5
1494047282,0,5
1494050862,1,3
1494054458,3,1
1494058078,2,2
1494061630,2,0
1494065268,2,0
1494068857,0,2
1494072476,2,0
1494076061,0,2
1494079671,2,1
1494083260,1,0
1494097669,1,5
1494101265,2,1
1494104835,2,0
1494108474,2,0
1494115696,0,1
1494119252,0,4
1494122850,5,1
1494126456,1,1
1494137285,0,6
1494140874,3,0
1494144458,3,0
1494148053,1,0
1494155253,0,1
1494158856,2,1
1494169631,0,2
1494173270,3,0
1494176877,1,0
1494180465,0,2
1494184058,1,2
1494187647,2,2
1494191281,1,0
1494194865,1,1
1494198475,3,1
1494202107,0,1
1494205673,1,2
1494209285,0,1
1494212866,1,2
1494220088,1,3
1494223664,2,0
1494227271,2,2
1494230882,0,1
1494234479,2,0
1494238086,2,2
1494241667,0,3
1494245280,2,0
1494248880,1,3
1494252461,0,2
1494256070,4,0
1494263278,0,2
1494266854,3,0
1494270490,1,3
1494274105,1,0
1494277693,5,1
1494281259,1,1
1494288526,0,1
1494292099,1,7
1494295686,2,1
1494299268,1,1
1494302877,0,1
1494306482,5,1
1494310066,1,2
1494317283,2,1
1494320885,0,3
1494324478,0,1
1494328091,2,0
1494331682,5,0
1494342472,0,5
1494346060,3,4
1494349678,0,1
1494353267,2,0
1494356895,2,0
1494360490,2,1
1494364061,0,1
1494367681,0,2
1494371277,1,0
1494374905,0,4
1494378466,0,1
1494382061,7,2
1494385671,3,2
1494389274,1,0
1494396459,0,2
1494400063,1,3
1494407280,3,0
1494410867,3,0
1494414487,0,3
1494418058,2,0
1494421679,1,0
1494425281,3,1
1494428872,2,1
1494432476,0,2
1494436077,0,2
1494439678,2,2
1494443261,1,1
1494446876,1,2
1494450463,3,0
1494454066,1,0
1494461307,1,1
1494464883,0,1
1494468478,1,3
1494472079,1,0
1494475672,1,4
1494486485,2,0
1494490092,1,1
1494493669,1,2
1494500890,0,1
1494504495,1,4
1494508061,4,1
1494511678,1,1
1494518880,0,1
1494522485,1,2
1494526087,0,1
1494529689,5,0
1494533269,0,2
1494537088,1,0
1494540663,2,0
1494544331,1,4
1494547696,1,0
1494551284,2,1
1494554871,2,2
1494558457,1,1
1494562062,0,1
1494569285,0,1
1494572878,2,1
1494576458,1,0
1494583672,1,0
1494587296,0,3
1494590868,0,5
1494594495,1,0
1494598092,1,0
1494601684,1,2
1494605302,3,1
1494608890,4,1
1494612471,0,1
1494619675,2,0
1494623281,1,0
1494626879,1,0
1494630489,0,2
1494634110,5,0
1494637674,3,2
1494641268,0,2
1494644890,0,2
1494648463,0,2
1494652062,4,0
1494655680,2,0
1494662868,0,2
1494666456,4,4
1494670090,0,5
1494673657,6,0
1494677287,1,0
1494680875,2,1
1494688063,0,2
1494691689,2,2
1494695280,4,1
1494698864,1,1
1494702479,2,1
1494706098,0,3
1494709679,0,4
1494713289,2,2
1494716865,0,2
1494720515,0,1
1494724073,3,1
1494727644,0,3
1494731272,1,4
1494738472,2,2
1494742052,1,1
1494745681,1,2
1494749272,3,0
1494760057,0,2
1494763661,2,4
1494767252,4,0
1494770879,1,1
1494778071,0,1
1494781664,0,3
1494785274,2,1
1494788867,1,0
1494796054,1,0
1494799679,1,1
1494806878,1,0
1494814077,3,1
1494817652,2,0
1494821267,1,2
1494824859,6,0
1494828479,0,1
1494832047,0,2
1494835656,1,1
1494839262,0,5
1494842860,0,1
1494846432,0,2
1494850044,3,0
1494853657,0,1
1494860863,0,1
1494864468,1,4
1494868056,6,0
1494878874,1,0
1494882449,1,2
1494886060,1,1
1494889661,1,2
1494893302,0,1
1494896832,3,0
1494900463,1,0
1494904083,0,1
1494907666,1,0
1494911252,2,5
1494914860,1,1
1494922059,1,0
1494925662,3,0
1494932865,1,1
1494940062,0,9
1494943655,0,2
1494947257,0,1
1494950839,7,0
1494965246,3,4
1494968852,3,0
1494972459,1,1
1494976061,2,1
1494979718,1,2
1494983277,1,1
1494986850,1,1
1494990489,0,5
1494994060,5,1
1494997656,4,1
1495001256,1,1
1495004845,1,2
1495008461,1,1
1495012077,0,4
1495015679,1,3
1495019263,1,1
1495022874,2,0
1495026458,0,1
1495030064,7,0
1495033668,1,0
1495037250,0,1
1495040859,2,0
1495044471,0,5
1495048064,1,5
1495051680,5,1
1495055280,1,2
1495058869,3,1
1495062472,1,1
1495066096,3,1
1495069682,0,2
1495073286,1,6
1495076892,5,2
1495080484,1,1
1495084079,2,1
1495087682,1,1
1495091292,2,5
1495098453,1,2
1495102066,1,0
1495105669,0,1
1495109288,0,2
1495116479,0,1
1495120100,4,0
1495123686,0,1
1495127292,2,1
1495130883,1,0
1495134491,0,3
1495138113,2,0
1495141660,2,2
1495145305,0,1
1495148906,1,0
1495152513,1,0
1495156069,2,2
1495163281,3,0
1495170494,0,2
1495174092,1,3
1495177681,0,5
1495181290,3,1
1495184895,3,0
1495188459,2,0
1495192049,1,0
1495195691,0,1
1495199290,1,2
1495202908,2,2
1495206482,1,1
1495210097,2,1
1495213663,3,1
1495217275,0,6
1495224485,1,2
1495228062,1,2
1495231676,4,0
1495235274,1,0
1495238897,0,1
1495242488,2,0
1495246068,0,2
1495249687,0,2
1495253300,2,0
1495260488,0,2
1495264077,1,1
1495267669,3,0
1495271276,2,2
1495274861,1,0
1495278487,1,0
1495285669,1,0
1495289284,0,3
1495292867,1,2
1495300078,0,2
1495307274,0,2
1495314472,0,2
1495321688,2,0
1495325345,2,1
1495328884,7,0
1495336086,0,2
1495339708,2,0
1495343298,0,7
1495346894,1,0
1495350478,4,3
1495354097,4,2
1495357700,1,0
1495364894,2,3
1495368487,0,1
1495372103,0,4
1495375688,3,0
1495379291,0,1
1495382891,0,1
1495386485,2,2
1495390105,0,2
1495393695,5,0
1495397299,1,0
1495400883,4,0
