DateTime,Entries,UniqueIPs
1494672269,908,908
1494674227,907,907
1494676122,358,358
1494678400,368,368
1494682154,373,373
1494684074,371,371
1494686014,365,365
1494687884,368,368
1494689831,368,368
1494691711,368,368
1494693656,371,371
1494695549,369,369
1494697491,368,368
1494699387,366,366
1494701338,373,373
1494703255,374,374
1494705211,369,369
1494707082,373,373
1494709056,372,372
1494710923,384,384
1494713020,386,386
1494714973,383,383
1494716900,384,384
1494718811,383,383
1494721019,371,371
1494722935,304,304
1494724848,303,303
1494726788,304,304
1494728614,304,304
1494730586,309,309
1494732519,311,311
1494734512,320,320
1494736359,320,320
1494738277,320,320
1494740241,319,319
1494742111,323,323
1494744039,335,335
1494745975,352,352
1494747884,352,352
1494749801,349,349
1494751625,349,349
1494753654,347,347
1494755559,351,351
1494757457,348,348
1494759500,348,348
1494761303,346,346
1494763229,346,346
1494765152,344,344
1494767045,342,342
1494768980,347,347
1494770908,350,350
1494773097,351,351
1494775258,348,348
1494777155,352,352
1494779093,355,355
1494780994,355,355
1494782917,358,358
1494784927,357,357
1494786745,354,354
1494788709,356,356
1494790616,354,354
1494792531,351,351
1494794455,352,352
1494796367,362,362
1494798288,357,357
1494800282,353,353
1494802126,354,354
1494804042,355,355
1494805950,350,350
1494807873,346,346
1494809782,339,339
1494811695,342,342
1494813911,344,344
1494815793,344,344
1494817732,342,342
1494819642,333,333
1494821562,327,327
1494823479,328,328
1494825392,328,328
1494827565,328,328
1494829455,318,318
1494831382,303,303
1494833313,294,294
1494835343,294,294
1494837154,297,297
1494839342,304,304
1494841269,463,463
1494843158,621,621
1494845078,757,757
1494847017,763,763
1494848938,760,760
1494851100,895,895
1494852984,1167,1167
1494854916,1466,1466
1494856911,1712,1712
1494858758,1731,1731
1494861030,1732,1732
1494862991,1728,1728
1494864991,1728,1728
1494866965,1727,1727
1494868772,1723,1723
1494870863,1718,1718
1494872926,1723,1723
1494874751,1726,1726
1494876757,1727,1727
1494878685,1728,1728
1494880573,1730,1730
1494882420,1715,1715
1494884220,1713,1713
1494886146,1710,1710
1494888058,1710,1710
1494889961,1708,1708
1494891861,1710,1710
1494893788,1712,1712
1494895733,1732,1732
1494897804,1733,1733
1494900174,1734,1734
1494901984,1735,1735
1494903879,1738,1738
1494905822,2169,2169
1494907732,2171,2171
1494909660,2173,2173
1494911572,2171,2171
1494913466,2168,2168
1494915382,2168,2168
1494917308,2171,2171
1494919255,2171,2171
1494921120,2169,2169
1494923056,2169,2169
1494924990,2171,2171
1494926900,2171,2171
1494929098,2174,2174
1494931001,2174,2174
1494932914,2039,2039
1494934818,1865,1865
1494936751,1699,1699
