DateTime,Entries,UniqueIPs
1494491563,6777,6822
1494511722,6776,6821
1494516990,6775,6820
1494517699,6774,6819
1494519146,6775,6820
1494523452,6774,6819
1494524899,6773,6818
1494534980,6774,6819
1494547474,6773,6818
1494553943,6772,6817
1494558336,6771,6816
1494562327,6770,6815
1494563318,6771,6816
1494567848,6772,6817
1494578662,6771,6816
1494586578,6769,6814
1494588016,6767,6812
1494588753,6766,6811
1494598099,6767,6812
1494605326,6766,6811
1494610375,6765,6810
1494611789,6764,6809
1494613941,6763,6808
1494621148,6762,6807
1494626528,6760,6805
1494630276,6759,6804
1494631709,6758,6803
1494633146,6757,6802
1494635312,6756,6801
1494638421,6755,6800
1494661464,6754,6799
1494662904,6752,6797
1494666514,6751,6796
1494678354,6750,6795
1494683770,6749,6794
1494684493,6748,6793
1494716187,6725,6770
1494727721,6726,6771
1494741706,6727,6772
1494751976,6750,6795
1494753390,6751,6796
1494754811,6760,6805
1494755549,6763,6808
1494756276,6767,6812
1494757714,6776,6822
1494758419,6778,6824
1494759158,6792,6838
1494760121,6809,6855
1494760809,6814,6860
1494761557,6824,6870
1494762248,6834,6880
1494763698,6835,6881
1494764442,6845,6891
1494765142,6850,6896
1494765864,6851,6897
1494766577,6853,6899
1494767328,6870,6916
1494768027,6875,6921
1494768763,6884,6930
1494769449,6889,6935
1494770197,6899,6945
1494770899,6902,6948
1494771632,6915,6961
1494772337,6916,6962
1494773087,6931,6977
1494774123,6945,6991
1494775452,6948,6994
1494776189,6956,7002
1494776903,6961,7007
1494777701,6965,7011
1494778338,6967,7013
1494779082,6975,7021
1494779778,6979,7025
1494780514,6982,7028
1494781298,6991,7037
1494829940,6990,7036
1494837144,6989,7035
1494838582,6988,7034
1494967720,6987,7033
1494969137,6986,7032
1495010647,6985,7031
1495047722,6987,7033
1495057959,6988,7034
1495062753,6989,7035
1495077854,6990,7036
1495081234,6991,7037
1495099258,6992,7038
1495100664,6986,7032
1495102812,6978,7022
1495104993,6977,7021
1495113654,6976,7020
1495117232,6974,7018
1495118205,6913,6956
1495120358,6914,6957
1495121807,6915,6958
1495122770,6914,6957
1495123722,6913,6956
1495124415,6912,6955
1495125168,6911,6954
1495127318,6909,6952
1495128737,6908,6951
1495129469,6907,6950
1495130322,6906,6949
1495131171,6905,6948
1495133556,6904,6947
1495134270,6902,6945
1495135727,6901,6944
1495136414,6900,6944
1495137149,6898,6942
1495138578,6897,6941
1495139315,6896,6940
1495140756,6895,6939
1495141475,6893,6937
1495143621,6892,6936
1495146013,6890,6934
1495146757,6888,6932
1495147447,6887,6931
1495149379,6886,6930
1495151073,6884,6928
1495153214,6880,6924
1495153953,6877,6921
1495155391,6876,6920
1495156845,6870,6914
1495158273,6866,6910
1495159736,6864,6908
1495161160,6857,6901
1495162595,6854,6898
1495164059,6848,6892
