DateTime,Entries,UniqueIPs
1495016442,5560,5560
1495017147,5358,5358
1495017866,5574,5574
1495018580,5576,5576
1495019312,5587,5587
1495020025,5578,5578
1495020768,5608,5608
1495021488,5603,5603
1495022174,5612,5612
1495022893,5624,5624
1495023656,5623,5623
1495024345,5624,5624
1495025082,5441,5441
1495025773,5571,5571
1495026529,5577,5577
1495027227,5588,5588
1495027951,5614,5614
1495028668,5624,5624
1495029380,5615,5615
1495030101,5622,5622
1495030841,5593,5593
1495031566,5590,5590
1495032256,5594,5594
1495032999,5601,5601
1495033700,5607,5607
1495034434,5620,5620
1495035139,5619,5619
1495035867,5582,5582
1495036587,5524,5524
1495037322,5581,5581
1495038033,5573,5573
1495038756,5613,5613
1495039470,5568,5568
1495040525,5611,5611
1495041168,5634,5634
1495041862,5625,5625
1495042599,5635,5635
1495043235,5626,5626
1495044108,5623,5623
1495044761,5613,5613
1495045458,5633,5633
1495046231,5599,5599
1495046910,5642,5642
1495047726,5633,5633
1495048353,5629,5629
1495049080,5608,5608
1495049777,5554,5554
1495050516,5640,5640
1495051300,5462,5462
1495051969,5624,5624
1495052666,5614,5614
1495053407,5486,5486
1495054104,5561,5561
1495054918,5579,5579
1495055553,5574,5574
1495056523,5586,5586
1495057232,5589,5589
1495057962,5581,5581
1495059210,5578,5578
1495059877,5574,5574
1495060575,5565,5565
1495061327,5560,5560
1495062089,5576,5576
1495062756,5570,5570
1495063455,5559,5559
1495064203,5562,5562
1495064916,5573,5573
1495065729,5563,5563
1495066355,5549,5549
1495067060,5540,5540
1495067803,5564,5564
1495068496,5548,5548
1495069308,5511,5511
1495069946,5528,5528
1495070682,5516,5516
1495071377,5539,5539
1495072116,5571,5571
1495072927,5553,5553
1495073565,5568,5568
1495074258,5561,5561
1495074979,5575,5575
1495075714,5568,5568
1495076497,5560,5560
1495077166,5559,5559
1495077857,5555,5555
1495079103,5548,5548
1495079779,5523,5523
1495080501,5556,5556
1495081237,5536,5536
1495081941,5536,5536
1495082672,5511,5511
1495083372,5533,5533
1495084106,5534,5534
1495084840,5539,5539
1495085548,5536,5536
1495086270,5513,5513
1495086972,5533,5533
1495087701,5545,5545
1495088444,5536,5536
1495089154,5540,5540
1495089868,5531,5531
1495090592,5539,5539
1495091303,5521,5521
1495092045,5539,5539
1495092740,5553,5553
1495093466,5542,5542
1495094180,5504,5504
1495094923,5560,5560
1495095618,5549,5549
1495096376,5589,5589
1495097051,5585,5585
1495097791,5573,5573
1495098493,5567,5567
1495099261,5462,5462
1495099941,5420,5420
1495100667,5547,5547
1495101375,5583,5583
1495102126,5392,5392
1495102816,5590,5590
1495103565,5532,5532
1495104255,5603,5603
1495104996,5426,5426
1495105695,5583,5583
1495106444,5521,5521
1495107145,5545,5545
1495107876,5605,5605
1495108583,5534,5534
1495109315,5591,5591
1495110027,5623,5623
1495110761,5618,5618
1495111452,5388,5388
1495112193,5457,5457
1495112894,5457,5457
1495113657,5573,5573
1495114345,5543,5543
1495115068,5616,5616
1495115780,5571,5571
1495116504,5625,5625
1495117235,5603,5603
1495118208,5651,5651
1495118904,5669,5669
1495119698,5668,5668
1495120361,5681,5681
1495121055,5679,5679
1495121810,5686,5686
1495122773,5683,5683
1495123725,5697,5697
1495124418,5680,5680
1495125171,5680,5680
1495125851,5689,5689
1495126597,5689,5689
1495127321,5721,5721
1495128048,5706,5706
1495128740,5715,5715
1495129472,5715,5715
1495130325,5722,5722
1495131174,5732,5732
1495132121,5731,5731
1495132824,5744,5744
1495133559,5733,5733
1495134273,5727,5727
1495134992,5732,5732
1495135731,5730,5730
1495136417,5713,5713
1495137153,5723,5723
1495137885,5696,5696
1495138581,5710,5710
1495139318,5699,5699
1495140023,5654,5654
1495140760,5699,5699
1495141478,5676,5676
1495142189,5660,5660
1495142943,5677,5677
1495143624,5617,5617
1495144363,5644,5644
1495145323,5661,5661
1495146016,5633,5633
1495146760,5643,5643
1495147450,5652,5652
1495148703,5650,5650
1495149383,5647,5647
