DateTime,Entries,UniqueIPs
1494828328,9019,9019
1494829227,9023,9023
1494830136,9023,9023
1494830555,9024,9024
1494831648,9024,9024
1494832457,9029,9029
1494833304,9039,9039
1494834326,9039,9039
1494835271,9043,9043
1494836066,9049,9049
1494837251,9060,9060
1494838219,9067,9067
1494839428,9071,9071
1494840420,9082,9082
1494841338,9079,9079
1494842451,9090,9090
1494843267,9094,9094
1494844222,9097,9097
1494844951,9103,9103
1494845781,9109,9109
1494846626,9109,9109
1494847824,9113,9113
1494848540,9118,9118
1494850461,9123,9123
1494851431,9123,9123
1494852143,9126,9126
1494852978,9128,9128
1494854068,9130,9130
1494854900,9132,9132
1494855750,9133,9133
1494857423,9135,9135
1494858503,9144,9144
1494859342,9146,9146
1494860724,9145,9145
1494861630,9155,9155
1494863783,9173,9173
1494864624,9180,9180
1494866538,9195,9195
1494867775,9209,9209
1494868618,9221,9221
1494869423,9233,9233
1494870326,9244,9244
1494871826,9249,9249
1494872665,9257,9257
1494873506,9259,9259
1494874527,9270,9270
1494875417,9275,9275
1494876628,9277,9277
1494877524,9274,9274
1494878913,9285,9285
1494879929,9290,9290
1494880940,9287,9287
1494883224,9295,9295
1494884116,9294,9294
1494885649,9295,9295
1494886532,9297,9297
1494887424,9296,9296
1494888137,9297,9297
1494889516,9297,9297
1494890425,9304,9304
1494891735,9308,9308
1494893127,9314,9314
1494894026,9315,9315
1494894923,9316,9316
1494895773,9318,9318
1494896717,9319,9319
1494897809,9329,9329
1494898728,9330,9330
1494899524,9336,9336
1494900586,9340,9340
1494901500,9346,9346
1494902539,9348,9348
1494903435,9355,9355
1494904456,9357,9357
1494905297,9362,9362
1494906324,9365,9365
1494907820,9377,9377
1494909027,9388,9388
1494909741,9394,9394
1494910576,9398,9398
1494911669,9399,9399
1494912872,9405,9405
1494914721,9410,9410
1494915628,9415,9415
1494916101,9416,9416
1494917125,9420,9420
1494918322,9419,9419
1494919224,9428,9428
1494919708,9434,9434
1494920642,9434,9434
1494921794,9390,9390
1494922466,9394,9394
1494923271,9399,9399
1494924149,9396,9396
1494925041,9399,9399
1494926070,9400,9400
1494927030,9398,9398
1494928576,9409,9409
1494929420,9408,9408
1494930619,9410,9410
1494931340,9412,9412
1494932723,9415,9415
1494933628,9420,9420
1494934938,9412,9412
1494935775,9411,9411
1494936621,9410,9410
1494937699,9412,9412
1494938548,9414,9414
1494939929,9415,9415
1494940827,9417,9417
1494941647,9415,9415
1494942594,9417,9417
1494943526,9416,9416
1494944421,9418,9418
1494945448,9413,9413
1494946524,9413,9413
1494947420,9415,9415
1494948623,9414,9414
1494949518,9419,9419
1494950718,9423,9423
1494951624,9427,9427
1494952942,9423,9423
1494954325,9420,9420
1494955226,9442,9442
1494956073,9444,9444
1494956545,9443,9443
1494958458,9450,9450
1494959301,9451,9451
1494960917,9448,9448
1494962281,9449,9449
1494963149,9421,9421
1494964065,9431,9431
1494965417,9416,9416
1494967224,9418,9418
1494968880,9415,9415
1494969738,9417,9417
1494970721,9411,9411
1494971715,9407,9407
1494972856,9405,9405
1494973828,9404,9404
1494974727,9406,9406
1494975600,9404,9404
1494976525,9406,9406
1494977297,9407,9407
1494978145,9399,9399
1494978975,9399,9399
1494979820,9396,9396
1494981029,9396,9396
1494981926,9401,9401
1494982581,9402,9402
1494983418,9401,9401
1494984624,9400,9400
1494985446,9401,9401
1494986560,9401,9401
1494987414,9404,9404
1494988229,9400,9400
1494989124,9400,9400
1494990321,9398,9398
1494990860,9399,9399
1494991822,9395,9395
1494992721,9397,9397
1494993375,9398,9398
1494994465,9397,9397
1494996322,9394,9394
1494996987,9397,9397
1494998061,9389,9389
1494998897,9392,9392
1494999857,9393,9393
1495001425,9391,9391
1495002326,9397,9397
1495003347,9387,9387
1495004178,9388,9388
1495005023,9378,9378
1495006226,9367,9367
1495007129,9369,9369
1495007972,9362,9362
1495008865,9363,9363
1495009830,9352,9352
1495010730,9354,9354
1495012459,9348,9348
1495013401,9338,9338
1495014329,9337,9337
1495015527,9338,9338
1495016429,9343,9343
1495017757,9330,9330
1495019851,9333,9333
1495020714,9326,9326
1495021599,9327,9327
1495023519,9312,9312
1495024335,9308,9308
1495025151,9310,9310
1495026009,9304,9304
1495026857,9306,9306
1495027828,9293,9293
1495028546,9290,9290
1495030468,9292,9292
1495031428,9282,9282
1495032325,9280,9280
1495033524,9277,9277
1495034424,9279,9279
1495035629,9261,9261
1495036526,9263,9263
1495037417,9257,9257
1495038327,9263,9263
1495039227,9244,9244
1495040176,9248,9248
1495041006,9244,9244
1495041809,9246,9246
1495043382,9234,9234
1495044333,9228,9228
1495046732,9232,9232
1495047928,9224,9224
1495049689,9219,9219
1495051831,9213,9213
1495052708,9214,9214
1495054049,9204,9204
1495055405,9195,9195
1495057343,9188,9188
1495058365,9185,9185
1495059281,9187,9187
1495060223,9178,9178
1495060945,9179,9179
1495061961,9172,9172
1495062928,9174,9174
1495063817,9165,9165
1495064776,9160,9160
1495065837,9157,9157
1495066825,9158,9158
1495067668,9144,9144
1495069495,9134,9134
1495071025,9126,9126
1495071747,9124,9124
1495073126,9112,9112
1495074025,9113,9113
1495074917,9099,9099
1495076081,9095,9095
1495077016,9080,9080
1495077924,9081,9081
1495078943,9061,9061
1495080624,9048,9048
1495081736,9077,9077
1495082548,9076,9076
1495083596,9076,9076
1495084481,9077,9077
1495085424,9064,9064
1495086144,9059,9059
1495088065,9058,9058
1495089024,9046,9046
1495089979,9048,9048
1495091130,9044,9044
1495092856,9033,9033
1495096957,9019,9019
1495098346,9012,9012
1495099228,9014,9014
1495100433,9012,9012
1495101378,9015,9015
1495102222,9013,9013
1495103137,9014,9014
1495104039,9008,9008
1495105511,9008,9008
1495107924,9006,9006
1495109128,9003,9003
1495110324,9002,9002
1495111347,9000,9000
1495113026,8995,8995
1495114103,8998,8998
1495115398,8993,8993
1495116927,8989,8989
1495118429,8985,8985
1495119381,8987,8987
1495120458,8981,8981
1495121302,8984,8984
1495122327,8978,8978
1495124123,8980,8980
1495125023,8958,8958
1495127132,8951,8951
1495128023,8954,8954
1495128498,8955,8955
1495129531,8953,8953
1495131264,8953,8953
1495133118,8928,8928
1495134548,8920,8920
1495135825,8918,8918
1495137967,8911,8911
1495141067,8913,8913
1495142118,8908,8908
1495143324,8904,8904
1495144462,8904,8904
1495145429,8903,8903
1495146236,8907,8907
1495147349,8902,8902
1495148585,8903,8903
1495149499,8905,8905
1495150517,8900,8900
1495152622,8894,8894
1495153638,8897,8897
1495154808,8897,8897
1495155833,8894,8894
1495156705,8895,8895
1495157943,8887,8887
1495160064,8883,8883
1495161023,8875,8875
1495161934,8878,8878
1495163132,8872,8872
1495164023,8874,8874
1495164977,8867,8867
1495167326,8859,8859
1495168826,8847,8847
1495169782,8850,8850
1495170619,8842,8842
1495172611,8832,8832
1495174217,8821,8821
1495175406,8814,8814
1495177145,8810,8810
1495178144,8811,8811
1495179750,8789,8789
1495180610,8791,8791
1495181430,8788,8788
1495182591,8785,8785
1495184186,8783,8783
1495185261,8780,8780
1495186225,8771,8771
1495187137,8773,8773
1495188078,8765,8765
1495188928,8770,8770
1495189828,8767,8767
1495190555,8766,8766
1495191800,8765,8765
1495192611,8766,8766
1495193432,8762,8762
1495194145,8767,8767
1495195023,8767,8767
1495196059,8764,8764
1495197029,8761,8761
1495197937,8762,8762
1495198851,8754,8754
1495199721,8756,8756
1495200627,8747,8747
1495201453,8745,8745
1495202176,8746,8746
1495203023,8743,8743
1495204228,8736,8736
1495205141,8737,8737
1495206290,8723,8723
1495207228,8729,8729
1495207699,8730,8730
1495208550,8716,8716
1495210152,8707,8707
1495211314,8709,8709
1495212359,8695,8695
1495214318,8683,8683
1495215626,8658,8658
1495216528,8660,8660
1495217597,8660,8660
1495218691,8660,8660
1495220732,8662,8662
1495221626,8664,8664
1495222832,8664,8664
1495223777,8665,8665
1495224623,8665,8665
1495225825,8662,8662
1495226678,8663,8663
1495228458,8662,8662
1495229382,8662,8662
1495230325,8663,8663
1495232061,8669,8669
1495232987,8666,8666
1495234517,8668,8668
1495235416,8680,8680
1495236620,8689,8689
1495237528,8691,8691
1495239211,8699,8699
1495240102,8702,8702
1495240953,8705,8705
1495242857,8704,8704
1495243713,8708,8708
1495246048,8720,8720
1495247228,8725,8725
1495248025,8727,8727
1495249527,8727,8727
1495250431,8733,8733
1495251627,8704,8704
1495252871,8704,8704
1495253729,8707,8707
1495255362,8709,8709
1495256177,8708,8708
1495257029,8700,8700
1495258223,8700,8700
1495258951,8701,8701
1495259785,8701,8701
1495260622,8697,8697
1495261533,8697,8697
1495262427,8697,8697
1495264224,8702,8702
1495265294,8706,8706
1495266148,8707,8707
1495266976,8713,8713
1495267842,8707,8707
1495269329,8702,8702
1495270303,8703,8703
1495271659,8700,8700
1495272627,8695,8695
1495274763,8691,8691
1495275887,8699,8699
1495276825,8698,8698
1495277762,8700,8700
1495278624,8702,8702
1495279793,8708,8708
1495280733,8709,8709
1495281971,8710,8710
1495282836,8716,8716
1495284817,8717,8717
1495287021,8714,8714
1495287931,8721,8721
1495288576,8721,8721
1495289657,8719,8719
1495290630,8716,8716
1495292117,8721,8721
1495293122,8723,8723
1495294222,8724,8724
1495295339,8724,8724
1495296876,8732,8732
1495297826,8741,8741
1495298738,8749,8749
1495300207,8773,8773
1495301425,8775,8775
