DateTime,Entries,UniqueIPs
1494986572,888,888
1494987423,889,889
1494988237,886,886
1494989132,886,886
1494990329,884,884
1494991830,880,880
1494994228,878,878
1494995318,879,879
1494996335,878,878
1494996995,879,879
1494998069,872,872
1494998905,873,873
1494999864,872,872
1495001433,869,869
1495002374,871,871
1495003367,864,864
1495005031,856,856
1495006234,847,847
1495007980,841,841
1495009839,833,833
1495010739,834,834
1495012467,830,830
1495013427,822,822
1495014339,820,820
1495015547,819,819
1495016447,822,822
1495017778,811,811
1495019859,810,810
1495020721,804,804
1495023532,790,790
1495024349,786,786
1495025162,787,787
1495026052,783,783
1495026865,784,784
1495027835,773,773
1495028563,770,770
1495030477,772,772
1495031437,767,767
1495032335,767,767
1495033548,764,764
1495034446,766,766
1495035647,750,750
1495036534,751,751
1495037426,746,746
1495038341,748,748
1495039249,735,735
1495040183,735,735
1495041019,731,731
1495041830,733,733
1495043389,722,722
1495044350,716,716
1495046744,716,716
1495047946,710,710
1495048840,711,711
1495049700,706,706
1495051838,700,700
1495054057,691,691
1495055421,683,683
1495057366,677,677
1495058372,677,677
1495059291,678,678
1495060233,672,672
1495060961,673,673
1495061968,667,667
1495062936,669,669
1495063831,663,663
1495064783,658,658
1495065866,656,656
1495067684,644,644
1495069513,636,636
1495071762,626,626
1495073145,617,617
1495074925,606,606
1495076089,602,602
1495077023,588,588
1495078959,572,572
1495080632,556,556
1495081768,575,575
1495082573,587,587
1495083605,584,584
1495085433,573,573
1495086164,567,567
1495088074,564,564
1495089034,552,552
1495091148,548,548
1495092871,536,536
1495096990,524,524
1495098366,517,517
1495100451,516,516
1495101385,516,516
1495102231,512,512
1495104089,509,509
1495105524,506,506
1495107942,504,504
1495109155,500,500
1495111377,498,498
1495113033,496,496
1495115406,495,495
1495116935,489,489
1495118449,486,486
1495119389,487,487
1495120465,480,480
1495121309,482,482
1495122347,476,476
1495124132,478,478
1495125031,474,474
1495127153,471,471
1495128048,473,473
1495129553,471,471
1495131272,471,471
1495132107,472,472
1495133154,468,468
1495134556,472,472
1495135832,471,471
1495137988,467,467
1495141074,469,469
1495142125,465,465
1495143336,462,462
1495144469,462,462
1495145437,463,463
1495146272,466,466
1495147366,461,461
1495148611,460,460
1495149506,461,461
1495150524,457,457
1495152629,451,451
1495154839,448,448
1495155863,446,446
1495158168,440,440
1495160072,438,438
1495161030,432,432
1495161962,433,433
1495163149,427,427
1495164990,421,421
1495167333,412,412
1495168851,403,403
1495169790,405,405
1495170627,398,398
1495172640,391,391
1495174224,378,378
1495175425,371,371
1495177153,365,365
1495179773,360,360
1495180617,362,362
1495181438,358,358
1495182603,353,353
1495184195,351,351
1495185269,348,348
1495186235,342,342
1495187159,343,343
1495188103,338,338
1495188936,341,341
1495189836,341,341
1495190588,340,340
1495192622,340,340
1495193439,337,337
1495194181,339,339
1495195046,341,341
1495196068,339,339
1495197037,335,335
1495198882,328,328
1495200634,319,319
1495201479,317,317
1495202183,318,318
1495203030,314,314
1495204237,308,308
1495206329,295,295
1495207253,296,296
1495208589,283,283
1495210177,275,275
1495211334,277,277
1495212416,261,261
1495214326,248,248
1495215653,223,223
1495216536,224,224
1495218700,225,225
1495220763,228,228
1495221651,230,230
1495222867,230,230
1495224631,229,229
1495225833,228,228
1495226717,229,229
1495228465,228,228
1495229389,228,228
1495232069,230,230
1495232995,228,228
1495234524,230,230
1495235423,240,240
1495236628,250,250
1495237560,252,252
1495239219,258,258
1495240110,261,261
1495240984,264,264
1495242866,261,261
1495243739,264,264
1495246083,276,276
1495248060,282,282
1495249554,282,282
1495250452,285,285
1495251655,258,258
1495252900,256,256
1495253737,257,257
1495255396,259,259
1495256184,257,257
1495257037,253,253
1495258231,254,254
1495258979,256,256
1495259792,255,255
1495260629,252,252
1495261563,252,252
1495262440,253,253
1495264231,259,259
1495265326,261,261
1495266181,264,264
1495266983,265,265
1495267849,261,261
1495269337,268,268
1495270317,268,268
1495271667,267,267
1495272635,264,264
1495274789,261,261
1495275924,266,266
1495276863,266,266
1495277769,268,268
1495278631,272,272
1495279800,276,276
1495280764,277,277
1495281997,279,279
1495282874,282,282
1495284825,281,281
1495287029,279,279
1495287958,282,282
1495288584,281,281
1495289665,280,280
1495290637,282,282
1495292124,286,286
1495293130,288,288
1495294229,291,291
1495295355,291,291
1495296884,296,296
1495297836,304,304
1495298772,311,311
1495300216,335,335
1495301432,337,337
1495302366,337,337
1495303563,337,337
1495304464,336,336
1495304980,335,335
1495306062,330,330
1495307030,331,331
1495307913,331,331
1495309136,330,330
1495310183,331,331
1495311266,329,329
1495312245,331,331
1495313186,333,333
1495315274,341,341
1495318315,343,343
1495319374,348,348
1495320236,348,348
1495321354,347,347
1495322422,348,348
1495323770,350,350
1495325672,357,357
1495326636,358,358
1495329329,357,357
1495330198,359,359
1495332933,361,361
1495333832,360,360
1495335843,367,367
1495337339,372,372
1495338199,374,374
1495339567,374,374
1495340475,377,377
1495341797,381,381
1495342590,381,381
1495343461,381,381
1495344649,376,376
1495345566,377,377
1495346767,382,382
1495347667,386,386
1495348860,389,389
1495351828,388,388
1495353065,398,398
1495354244,398,398
1495356412,401,401
1495356986,403,403
1495358019,399,399
1495359120,391,391
1495360005,391,391
1495360585,393,393
1495361476,390,390
1495362336,389,389
1495363267,384,384
1495365278,381,381
1495366220,381,381
1495368118,400,400
1495370253,400,400
1495371972,399,399
1495372858,398,398
1495373725,401,401
1495374190,399,399
1495375431,394,394
1495376481,397,397
1495377021,395,395
1495378118,397,397
1495379736,400,400
1495380657,402,402
1495381343,406,406
1495382142,407,407
1495382982,401,401
1495384537,402,402
1495385732,400,400
1495386869,404,404
1495387949,403,403
1495389199,406,406
1495390161,407,407
1495391070,408,408
1495392069,409,409
1495392999,416,416
1495393863,417,417
1495394737,415,415
1495395669,418,418
1495397673,420,420
1495398645,422,422
1495399958,426,426
1495404725,427,427
1495407335,433,433
1495408470,434,434
1495411833,436,436
1495412910,436,436
1495413938,434,434
1495415128,434,434
1495417071,435,435
1495417913,436,436
1495418733,436,436
1495419595,438,438
1495420512,436,436
1495421389,440,440
1495422930,439,439
1495424548,436,436
1495426464,436,436
1495427440,438,438
1495429829,436,436
1495430907,437,437
1495431743,437,437
1495432588,438,438
1495433386,436,436
1495434199,438,438
1495435619,442,442
1495436764,442,442
1495438050,442,442
1495442282,450,450
1495443108,453,453
1495443934,454,454
1495444473,457,457
1495445512,459,459
1495447838,461,461
1495449764,466,466
1495451129,469,469
1495452026,471,471
1495453374,470,470
1495454198,469,469
1495455264,466,466
1495456999,463,463
1495458173,462,462
1495459260,462,462
1495460433,461,461
1495461926,463,463
1495464225,463,463
1495465845,465,465
1495467335,450,450
1495468223,451,451
1495470573,422,422
1495471376,423,423
1495472430,424,424
1495473330,427,427
1495475342,428,428
1495476629,427,427
1495477634,429,429
1495478558,430,430
1495479766,435,435
1495480471,436,436
1495481398,438,438
1495482338,440,440
1495483155,441,441
1495484090,439,439
1495485040,437,437
1495485936,439,439
1495487050,441,441
1495488592,443,443
1495489532,447,447
1495490732,444,444
1495492234,443,443
1495494334,440,440
1495495230,441,441
1495496131,439,439
1495498224,443,443
1495499438,447,447
1495500155,447,447
1495501000,448,448
1495501831,448,448
1495502908,449,449
1495503938,447,447
1495505133,444,444
1495506039,446,446
1495506924,447,447
1495507836,450,450
1495508732,448,448
1495509636,450,450
1495510548,449,449
1495512630,453,453
1495513836,453,453
1495514742,452,452
1495515869,450,450
1495516837,450,450
1495518031,449,449
1495518985,451,451
1495519833,453,453
1495520909,455,455
1495521947,451,451
1495523511,442,442
1495524637,441,441
1495525361,442,442
1495526184,443,443
1495527035,444,444
1495528236,444,444
1495529796,445,445
1495530631,443,443
1495531564,441,441
1495532547,442,442
1495533714,442,442
1495534539,441,441
1495535438,438,438
1495536147,438,438
1495538066,418,418
1495538915,421,421
1495539938,419,419
1495541691,422,422
1495543361,426,426
1495544459,423,423
1495545342,423,423
1495546236,420,420
1495547074,420,420
1495548513,421,421
1495549837,420,420
1495550741,422,422
1495551391,423,423
1495552465,413,413
1495553523,413,413
1495554337,415,415
1495555260,416,416
1495556139,420,420
1495557032,422,422
1495557942,425,425
1495559102,429,429
