DateTime,Entries,UniqueIPs
1495019854,384,384
1495020716,358,358
1495023521,354,354
1495024340,351,351
1495025155,352,352
1495026040,353,353
1495026860,353,353
1495027830,353,353
1495028549,354,354
1495030471,354,354
1495031430,354,354
1495032330,356,356
1495033531,358,358
1495035632,363,363
1495036528,365,365
1495037421,365,365
1495038334,370,370
1495039233,367,367
1495043384,367,367
1495044340,368,368
1495046737,368,368
1495047932,388,388
1495049694,387,387
1495051833,389,389
1495054052,385,385
1495055413,386,386
1495057350,386,386
1495060225,383,383
1495060949,384,384
1495061964,380,380
1495063820,376,376
1495065841,377,377
1495066832,379,379
1495067673,370,370
1495069499,374,374
1495071027,374,374
1495071751,376,376
1495073134,377,377
1495074033,377,377
1495074920,373,373
1495076084,374,374
1495077019,376,376
1495077933,379,379
1495078948,381,381
1495080627,381,381
1495081739,385,385
1495082556,380,380
1495083599,380,380
1495085428,377,377
1495086150,379,379
1495088068,377,377
1495089030,375,375
1495091135,372,372
1495092018,375,375
1495092865,367,367
1495096966,373,373
1495098351,377,377
1495099233,381,381
1495100438,383,383
1495101380,384,384
1495102225,379,379
1495103142,381,381
1495104068,379,379
1495105516,377,377
1495106430,379,379
1495107929,381,381
1495109135,380,380
1495110331,383,383
1495111356,380,380
1495113028,384,384
1495114106,386,386
1495115401,384,384
1495116929,382,382
1495118436,379,379
1495119384,380,380
1495120460,381,381
1495122332,380,380
1495124126,378,378
1495125026,377,377
1495127139,375,375
1495128031,376,376
1495129536,373,373
1495131267,371,371
1495133123,367,367
1495135827,366,366
1495137974,363,363
1495141069,367,367
1495142121,366,366
1495143329,362,362
1495145432,364,364
1495146247,366,366
1495147358,366,366
1495148592,362,362
1495150519,363,363
1495152624,362,362
1495153644,363,363
1495154812,362,362
1495155838,358,358
1495156707,359,359
1495157948,358,358
1495160067,359,359
1495161025,359,359
1495161941,363,363
1495163139,360,360
1495164029,361,361
1495164985,359,359
1495166122,362,362
1495167329,357,357
1495168833,354,354
1495169785,357,357
1495170622,355,355
1495171700,355,355
1495172620,352,352
1495173383,355,355
1495174220,350,350
1495175407,349,349
1495177147,348,348
1495178147,353,353
1495179755,356,356
1495180612,358,358
1495181432,358,358
1495182597,357,357
1495184189,358,358
1495185263,357,357
1495186228,358,358
1495187145,359,359
1495188087,357,357
1495188930,359,359
1495189831,360,360
1495190563,361,361
1495192616,362,362
1495193434,361,361
1495194159,363,363
1495195032,364,364
1495196062,361,361
1495197031,357,357
1495197947,359,359
1495198859,358,358
1495199724,360,360
1495200629,359,359
1495201461,357,357
1495202179,358,358
1495203025,353,353
1495204231,351,351
1495205150,350,350
1495206300,341,341
1495207238,342,342
1495208564,339,339
1495210155,338,338
1495211325,339,339
1495212367,342,342
1495214320,339,339
1495215634,339,339
1495216531,340,340
1495218694,340,340
1495219356,341,341
1495220740,341,341
1495221631,343,343
1495222843,342,342
1495223779,342,342
1495224626,340,340
1495225827,340,340
1495226686,341,341
1495228460,346,346
1495229385,346,346
1495230334,346,346
1495232064,344,344
1495232990,344,344
1495234519,345,345
1495235419,347,347
1495236623,351,351
1495237539,359,359
1495239214,373,373
1495240105,377,377
1495240962,376,376
1495242861,389,389
1495243725,393,393
1495246058,395,395
1495248035,395,395
1495249538,396,396
1495250437,400,400
1495251633,397,397
1495252884,395,395
1495253732,398,398
1495255371,403,403
1495256180,407,407
1495257032,406,406
1495258226,411,411
1495258956,412,412
1495259787,417,417
1495260624,418,418
1495261543,419,419
1495262434,418,418
1495264226,416,416
1495265303,418,418
1495266155,419,419
1495266979,423,423
1495267844,420,420
1495269332,416,416
1495270308,419,419
1495271662,422,422
1495272629,426,426
1495274771,433,433
1495275899,435,435
1495276837,431,431
1495277764,430,430
1495278627,431,431
1495279795,431,431
1495280743,433,433
1495281978,433,433
1495282845,433,433
1495284820,428,428
1495287023,432,432
1495287940,432,432
1495288579,433,433
1495289660,438,438
1495290632,433,433
1495292119,434,434
1495293125,434,434
1495294224,430,430
1495295348,430,430
1495296879,430,430
1495297828,430,430
1495298751,432,432
1495300211,429,429
1495301427,432,432
1495302348,434,434
1495303541,429,429
1495304437,433,433
1495304974,431,431
1495306038,436,436
1495307002,434,434
1495307908,436,436
1495309130,437,437
1495310179,437,437
1495311261,438,438
1495312239,436,436
1495313155,437,437
1495314427,436,436
1495315246,435,435
1495318310,433,433
1495319369,433,433
1495320209,435,435
1495321336,434,434
1495322128,437,437
1495322937,442,442
1495323755,442,442
1495325666,440,440
1495326630,439,439
1495329323,445,445
1495330193,441,441
1495332928,441,441
1495333827,439,439
1495335817,438,438
1495337334,437,437
1495338175,434,434
1495339538,430,430
1495340447,428,428
1495340928,426,426
1495341769,418,418
1495342584,418,418
1495343456,414,414
1495344642,413,413
1495345539,415,415
1495346740,412,412
1495347636,411,411
1495348841,404,404
1495351823,406,406
1495353060,406,406
1495354215,407,407
1495355460,408,408
1495356375,409,409
1495356981,409,409
1495358013,414,414
1495359114,415,415
1495359978,416,416
1495360580,415,415
1495361445,414,414
1495362331,416,416
1495363244,417,417
1495365273,416,416
1495366215,418,418
1495368096,420,420
1495370248,417,417
1495371953,392,392
1495372839,393,393
1495373720,389,389
1495374160,391,391
1495375402,396,396
1495376447,395,395
1495376991,395,395
1495378084,398,398
1495379731,400,400
1495380652,399,399
1495381339,399,399
1495382137,401,401
1495382958,400,400
1495384532,400,400
1495385727,399,399
1495386863,394,394
1495387944,395,395
1495389194,394,394
1495390131,389,389
1495391035,388,388
1495392038,380,380
1495392994,377,377
1495393859,375,375
1495394728,378,378
1495395636,376,376
1495397668,376,376
1495398638,375,375
1495399951,372,372
1495404720,376,376
1495407330,369,369
1495408465,362,362
1495411828,360,360
1495412905,362,362
1495413933,358,358
1495415123,357,357
1495416033,359,359
1495417067,358,358
1495417906,363,363
1495418728,363,363
1495419590,364,364
1495420498,364,364
1495421383,364,364
1495422926,361,361
1495424543,357,357
1495426460,359,359
1495428334,359,359
1495429824,360,360
1495430901,361,361
1495431739,362,362
1495432583,363,363
1495433381,362,362
1495434192,362,362
1495435610,358,358
1495436759,353,353
1495438045,358,358
1495442276,346,346
1495443102,345,345
1495443929,339,339
