DateTime,Entries,UniqueIPs
1495058367,3713,3713
1495059283,3727,3727
1495060225,3714,3714
1495060948,3727,3727
1495061965,3714,3714
1495062930,3719,3719
1495063821,3707,3707
1495064778,3707,3707
1495065839,3695,3695
1495066829,3705,3705
1495067671,3681,3681
1495069497,3659,3659
1495071026,3650,3650
1495071751,3653,3653
1495073130,3657,3657
1495074029,3669,3669
1495074919,3641,3641
1495076083,3642,3642
1495077018,3626,3626
1495077930,3629,3629
1495078945,3615,3615
1495080626,3610,3610
1495081738,3620,3620
1495082553,3606,3606
1495083598,3605,3605
1495084482,3619,3619
1495085427,3607,3607
1495086148,3606,3606
1495088067,3626,3626
1495089028,3618,3618
1495089984,3640,3640
1495091133,3641,3641
1495092013,3651,3651
1495092861,3646,3646
1495096962,3584,3584
1495098349,3567,3567
1495099231,3582,3582
1495100435,3564,3564
1495101380,3571,3571
1495102224,3541,3541
1495103140,3552,3552
1495104065,3495,3495
1495105514,3418,3418
1495106428,3430,3430
1495106900,3440,3440
1495107927,3436,3436
1495109133,3398,3398
1495110329,3410,3410
1495111352,3378,3378
1495113028,3328,3328
1495114105,3356,3356
1495115400,3310,3310
1495116929,3319,3319
1495118432,3294,3294
1495119383,3306,3306
1495120459,3282,3282
1495121303,3296,3296
1495122329,3268,3268
1495124125,3267,3267
1495125025,3248,3248
1495127135,3244,3244
1495128028,3259,3259
1495128499,3268,3268
1495129534,3249,3249
1495130180,3257,3257
1495131266,3235,3235
1495132100,3254,3254
1495133117,3219,3219
1495134550,3231,3231
1495135826,3212,3212
1495137972,3212,3212
1495141068,3236,3236
1495142120,3229,3229
1495143328,3226,3226
1495144463,3240,3240
1495145431,3244,3244
1495146242,3259,3259
1495147354,3260,3260
1495148588,3260,3260
1495149501,3280,3280
1495150518,3284,3284
1495152623,3296,3296
1495153642,3319,3319
1495154811,3326,3326
1495155836,3317,3317
1495156706,3342,3342
1495157944,3342,3342
1495158151,3345,3345
1495160066,3379,3379
1495161024,3380,3380
1495161937,3391,3391
1495163135,3394,3394
1495164028,3413,3413
1495164982,3410,3410
1495166121,3432,3432
1495167328,3437,3437
1495168831,3430,3430
1495169784,3450,3450
1495170621,3445,3445
1495171699,3463,3463
1495172616,3452,3452
1495173383,3473,3473
1495174219,3461,3461
1495175405,3472,3472
1495176331,3493,3493
1495177147,3487,3487
1495178146,3501,3501
1495179753,3508,3508
1495180612,3517,3517
1495181431,3524,3524
1495182593,3524,3524
1495184188,3522,3522
1495185262,3495,3495
1495186227,3473,3473
1495187141,3488,3488
1495188084,3453,3453
1495188930,3468,3468
1495189830,3450,3450
1495190559,3455,3455
1495192615,3477,3477
1495193433,3465,3465
1495194153,3471,3471
1495195028,3479,3479
1495196061,3460,3460
1495197030,3447,3447
1495197941,3464,3464
1495198857,3434,3434
1495199722,3453,3453
1495200628,3435,3435
1495201458,3436,3436
1495202178,3456,3456
1495203024,3436,3436
1495204230,3417,3417
1495205145,3424,3424
1495206295,3412,3412
1495207233,3435,3435
1495207701,3446,3446
1495208556,3432,3432
1495210154,3425,3425
1495211319,3454,3454
1495212363,3445,3445
1495214319,3446,3446
1495215631,3414,3414
1495216530,3427,3427
1495217600,3417,3417
1495218693,3389,3389
1495219351,3399,3399
1495220736,3381,3381
1495221628,3397,3397
1495222838,3374,3374
1495223778,3392,3392
1495224626,3391,3391
1495225827,3375,3375
1495226682,3393,3393
1495228459,3388,3388
1495229384,3379,3379
1495230331,3397,3397
1495232063,3411,3411
1495232989,3411,3411
1495234518,3434,3434
1495235418,3442,3442
1495236622,3448,3448
1495237534,3454,3454
1495239213,3473,3473
1495240104,3495,3495
1495240959,3491,3491
1495242860,3500,3500
1495243720,3517,3517
1495246053,3528,3528
1495247232,3550,3550
1495248031,3557,3557
1495249535,3552,3552
1495250436,3568,3568
1495251633,3566,3566
1495252879,3557,3557
1495253731,3578,3578
1495255366,3578,3578
1495256179,3592,3592
1495257032,3587,3587
1495258225,3570,3570
1495258953,3574,3574
1495259787,3580,3580
1495260624,3573,3573
1495261538,3596,3596
1495262434,3590,3590
1495264225,3588,3588
1495265299,3604,3604
1495266154,3605,3605
1495266978,3630,3630
1495267844,3615,3615
1495269331,3602,3602
1495270307,3613,3613
1495271661,3631,3631
1495272628,3619,3619
1495274767,3628,3628
1495275895,3646,3646
1495276832,3630,3630
1495277764,3646,3646
1495278626,3625,3625
1495279795,3627,3627
1495280737,3630,3630
1495281975,3622,3622
1495282840,3649,3649
1495284819,3615,3615
1495287023,3528,3528
1495287935,3542,3542
1495288578,3550,3550
1495289659,3544,3544
1495290631,3527,3527
1495292119,3549,3549
1495293123,3532,3532
1495294223,3515,3515
1495295345,3520,3520
1495296878,3506,3506
1495297827,3482,3482
1495298745,3494,3494
1495300210,3474,3474
1495301426,3461,3461
1495302343,3467,3467
1495303535,3455,3455
1495304431,3461,3461
1495304973,3443,3443
1495306034,3450,3450
1495306998,3430,3430
1495307907,3441,3441
1495309130,3429,3429
1495310178,3442,3442
1495311260,3401,3401
1495312238,3379,3379
1495313153,3384,3384
1495314423,3380,3380
1495315242,3392,3392
1495318308,3382,3382
1495319368,3368,3368
1495320202,3389,3389
1495321333,3365,3365
1495322127,3376,3376
1495322936,3379,3379
1495323755,3351,3351
1495325665,3339,3339
1495326630,3318,3318
1495329323,3307,3307
1495330192,3289,3289
1495332927,3299,3299
1495333826,3271,3271
1495335816,3275,3275
1495337333,3289,3289
1495338170,3258,3258
1495339532,3248,3248
1495340442,3253,3253
1495340924,3255,3255
1495341763,3229,3229
1495342584,3241,3241
1495343455,3226,3226
1495344641,3205,3205
1495345535,3211,3211
1495346736,3180,3180
1495347632,3193,3193
1495348835,3169,3169
1495351822,3140,3140
1495353059,3152,3152
1495354216,3143,3143
1495355461,3129,3129
1495356368,3142,3142
1495356980,3151,3151
1495358012,3134,3134
1495359113,3111,3111
1495359971,3129,3129
1495360579,3137,3137
1495361441,3108,3108
1495362329,3120,3120
1495363238,3098,3098
1495365272,3093,3093
1495366214,3073,3073
1495368086,3056,3056
1495370247,3045,3045
1495371947,2855,2855
1495372835,2859,2859
1495373719,2842,2842
1495374156,2851,2851
1495375397,2816,2816
1495376441,2822,2822
1495376985,2793,2793
1495378078,2810,2810
1495379730,2793,2793
1495380650,2767,2767
1495381338,2775,2775
1495382137,2785,2785
1495382952,2759,2759
1495384531,2746,2746
1495385726,2747,2747
1495386862,2746,2746
1495387943,2723,2723
1495389193,2753,2753
1495390125,2743,2743
1495391024,2747,2747
1495392035,2725,2725
1495392993,2730,2730
1495393858,2703,2703
1495394727,2718,2718
1495395631,2687,2687
1495397667,2672,2672
1495398637,2650,2650
1495399950,2665,2665
1495404720,2616,2616
1495407328,2611,2611
1495408464,2588,2588
1495411828,2576,2576
1495412904,2590,2590
1495413932,2570,2570
1495415123,2560,2560
1495416032,2564,2564
1495417066,2534,2534
1495417905,2540,2540
1495418727,2506,2506
1495419589,2521,2521
1495420496,2493,2493
1495421382,2504,2504
1495422925,2490,2490
1495424543,2460,2460
1495426459,2461,2461
1495428333,2452,2452
1495429823,2437,2437
1495430900,2451,2451
1495431738,2425,2425
1495432583,2436,2436
1495433380,2424,2424
1495434190,2431,2431
1495435609,2420,2420
1495436758,2402,2402
1495438044,2408,2408
1495442275,2348,2348
1495443100,2358,2358
1495443928,2348,2348
1495444467,2355,2355
1495445502,2334,2334
1495446140,2345,2345
1495447832,2334,2334
1495449756,2331,2331
1495451124,2322,2322
1495452012,2336,2336
1495453365,2306,2306
1495454193,2318,2318
1495455258,2296,2296
1495456989,2299,2299
1495458168,2285,2285
1495459254,2312,2312
1495460427,2414,2414
1495461919,2447,2447
