DateTime,Entries,UniqueIPs
1495051826,21565,21565
1495052702,21595,21595
1495054047,21529,21529
1495055402,21486,21486
1495057339,21442,21442
1495058363,21491,21491
1495059279,21546,21546
1495060220,21526,21526
1495060943,21566,21566
1495061954,21545,21545
1495062924,21616,21616
1495063818,21605,21605
1495064774,21652,21652
1495065832,21667,21667
1495066820,21712,21712
1495067665,21671,21671
1495069490,21728,21728
1495071022,21770,21770
1495071742,21783,21783
1495073122,21824,21824
1495074020,21890,21890
1495074915,21869,21869
1495076079,21929,21929
1495077014,21908,21908
1495077920,21954,21954
1495078941,21908,21908
1495080622,21913,21913
1495081734,22010,22010
1495082543,21933,21933
1495083594,21936,21936
1495084478,21983,21983
1495085419,21965,21965
1495086140,21973,21973
1495088062,22036,22036
1495089018,22032,22032
1495089973,22109,22109
1495091125,22139,22139
1495092008,22216,22216
1495092851,22218,22218
1495096952,22228,22228
1495098339,22110,22110
1495099226,22213,22213
1495100427,22120,22120
1495101376,22183,22183
1495102220,22074,22074
1495103131,22145,22145
1495104040,22051,22051
1495105505,21966,21966
1495106421,22037,22037
1495106896,22070,22070
1495107920,21921,21921
1495109122,21763,21763
1495110318,21842,21842
1495111342,21808,21808
1495113024,21761,21761
1495114101,21847,21847
1495115396,21722,21722
1495116922,21755,21755
1495118423,21722,21722
1495119379,21805,21805
1495120456,21687,21687
1495121299,21755,21755
1495122321,21652,21652
1495124119,21671,21671
1495125021,21622,21622
1495127126,21654,21654
1495128021,21723,21723
1495128495,21782,21782
1495129527,21714,21714
1495130176,21752,21752
1495131262,21725,21725
1495132096,21803,21803
1495133107,21783,21783
1495134546,21837,21837
1495135821,21828,21828
1495137961,21898,21898
1495141065,22075,22075
1495142116,22063,22063
1495143317,22085,22085
1495144460,22123,22123
1495145425,22136,22136
1495146231,22174,22174
1495147344,22138,22138
1495148579,22129,22129
1495149497,22202,22202
1495150514,22210,22210
1495152620,22296,22296
1495153635,22372,22372
1495154802,22377,22377
1495155830,22357,22357
1495156702,22419,22419
1495157941,22384,22384
1495158143,22393,22393
1495160062,22430,22430
1495161020,22407,22407
1495161928,22467,22467
1495163130,22462,22462
1495164020,22530,22530
1495164974,22484,22484
1495166118,22557,22557
1495167322,22557,22557
1495168820,22504,22504
1495169780,22556,22556
1495170617,22549,22549
1495171695,22631,22631
1495172609,22624,22624
1495173375,22675,22675
1495174215,22650,22650
1495175401,22621,22621
1495176323,22670,22670
1495177142,22638,22638
1495178139,22685,22685
1495179747,22727,22727
1495180608,22788,22788
1495181427,22849,22849
1495182585,22880,22880
1495184183,22969,22969
1495185258,22953,22953
1495186223,22916,22916
1495187133,22991,22991
1495188066,22976,22976
1495188926,23039,23039
1495189824,22975,22975
1495190549,22962,22962
1495191797,22943,22943
1495192607,22999,22999
1495193430,22884,22884
1495194142,22924,22924
1495195021,22958,22958
1495196057,22673,22673
1495197026,22485,22485
1495197932,22548,22548
1495198848,22384,22384
1495199716,22441,22441
1495200624,22341,22341
1495201445,22335,22335
1495202174,22388,22388
1495203020,22316,22316
1495204223,22255,22255
1495205134,22325,22325
1495206283,22242,22242
1495207225,22304,22304
1495207697,22336,22336
1495208547,22292,22292
1495210150,22312,22312
1495211307,22402,22402
1495212352,22389,22389
1495214316,22410,22410
1495215623,22335,22335
1495216524,22377,22377
1495217593,22363,22363
1495218682,22326,22326
1495219344,22358,22358
1495220726,22341,22341
1495221623,22394,22394
1495222825,22378,22378
1495223775,22430,22430
1495224618,22425,22425
1495225821,22406,22406
1495226671,22452,22452
1495228456,22416,22416
1495229380,22359,22359
1495230320,22402,22402
1495232059,22410,22410
1495232982,22365,22365
1495234515,22411,22411
1495235414,22397,22397
1495236618,22379,22379
1495237523,22367,22367
1495239209,22331,22331
1495240100,22365,22365
1495240947,22262,22262
1495242855,22234,22234
1495243710,22268,22268
1495246042,22079,22079
1495247222,22133,22133
1495248022,22066,22066
1495249524,22000,22000
1495250425,22040,22040
1495251624,21929,21929
1495252868,21882,21882
1495253724,21913,21913
1495255355,21840,21840
1495256175,21865,21865
1495257027,21808,21808
1495258221,21728,21728
1495258947,21713,21713
1495259780,21735,21735
1495260620,21677,21677
1495261527,21704,21704
1495262421,21617,21617
1495264219,21511,21511
1495265288,21545,21545
1495266144,21460,21460
1495266974,21494,21494
1495267839,21410,21410
1495269323,21293,21293
1495270298,21282,21282
1495271657,21246,21246
1495272624,21123,21123
1495274756,21030,21030
1495275879,21056,21056
1495276821,20978,20978
1495277760,21015,21015
1495278620,20866,20866
1495279791,20786,20786
1495280729,20807,20807
