DateTime,Entries,UniqueIPs
1494511143,241,241
1494513757,240,240
1494514650,238,238
1494515664,235,235
1494518531,234,234
1494520657,234,234
1494521857,233,233
1494523848,232,232
1494526528,234,234
1494528150,236,236
1494529825,263,263
1494531026,257,257
1494533135,256,256
1494534033,257,257
1494538223,255,255
1494540276,259,259
1494541236,259,259
1494542119,257,257
1494543279,257,257
1494544526,258,258
1494546618,256,256
1494547533,254,254
1494549025,254,254
1494554179,253,253
1494556231,252,252
1494560551,251,251
1494563726,251,251
1494565258,249,249
1494566127,250,250
1494567030,249,249
1494569679,248,248
1494570631,248,248
1494571788,246,246
1494580459,244,244
1494582323,243,243
1494583828,243,243
1494585321,245,245
1494587130,243,243
1494588875,241,241
1494590129,242,242
1494591558,241,241
1494592959,266,266
1494594084,266,266
1494594858,267,267
1494595824,266,266
1494596545,269,269
1494597395,268,268
1494598229,229,229
1494599429,231,231
1494600329,230,230
1494601248,229,229
1494602123,228,228
1494603024,227,227
1494604997,224,224
1494606919,223,223
1494608980,225,225
1494612333,224,224
1494613828,222,222
1494615935,222,222
1494616797,223,223
1494618026,190,190
1494618931,196,196
1494619824,194,194
1494621757,192,192
1494623658,193,193
1494631230,194,194
1494632427,193,193
1494633931,191,191
1494634836,190,190
1494637832,190,190
1494639755,191,191
1494643527,191,191
1494644734,190,190
1494646523,190,190
1494647422,189,189
1494648921,188,188
1494650730,186,186
1494651934,186,186
1494654151,187,187
1494655531,183,183
1494658875,183,183
1494659722,185,185
1494660627,186,186
1494662119,187,187
1494667595,186,186
1494668428,185,185
1494670830,186,186
1494674436,187,187
1494675287,185,185
1494677222,185,185
1494678275,187,187
1494680735,184,184
1494682466,184,184
1494684926,183,183
1494685719,182,182
1494688223,184,184
1494689422,182,182
1494690978,181,181
1494693641,182,182
1494698552,181,181
1494699631,182,182
1494700735,181,181
1494701726,182,182
1494702625,181,181
1494704724,180,180
1494706705,179,179
1494707305,180,180
1494708569,179,179
1494709862,175,175
1494711753,174,174
1494713672,173,173
1494715535,172,172
1494716179,172,172
1494718071,171,171
1494718946,170,170
1494719789,171,171
1494720627,173,173
1494721554,175,175
1494723921,176,176
1494726073,177,177
1494729449,178,178
1494733232,180,180
1494736954,182,182
1494738329,184,184
1494742229,185,185
1494743401,186,186
1494744165,185,185
1494745553,184,184
1494749123,185,185
1494750041,184,184
1494751246,183,183
1494752742,183,183
1494754521,182,182
1494756059,183,183
1494756993,184,184
1494757832,183,183
1494758705,182,182
1494761394,144,144
1494763830,143,143
1494765031,144,144
1494765764,144,144
1494767668,147,147
1494768500,146,146
1494769527,147,147
1494770739,148,148
1494773141,147,147
1494775701,149,149
1494776729,149,149
1494778226,151,151
1494779429,151,151
1494782064,150,150
1494783912,151,151
1494785139,152,152
1494786932,151,151
1494788027,150,150
1494789024,125,125
1494790229,127,127
1494791135,127,127
1494794590,129,129
1494795388,128,128
1494796219,127,127
1494801029,126,126
1494802653,127,127
1494803725,126,126
1494804504,126,126
1494805377,127,127
1494806260,128,128
1494807323,128,128
1494809603,129,129
1494810534,130,130
1494812548,130,130
1494813350,131,131
1494814228,129,129
1494815427,128,128
