DateTime,AddedIPs,RemovedIPs
1494820850,59,96
1494821712,59,1
1494823332,104,124
1494824174,63,2
1494825251,71,126
1494826093,65,1
1494826932,52,123
1494828320,110,120
1494829218,60,1
1494830121,69,109
1494830541,37,58
1494831640,72,89
1494832451,67,0
1494833298,60,2
1494834317,57,131
1494835263,54,116
1494836055,58,0
1494837240,94,111
1494838212,64,0
1494839419,85,122
1494840413,66,0
1494841333,65,145
1494842442,88,100
1494843256,221,0
1494844213,67,132
1494844939,51,0
1494845773,53,1
1494846612,63,127
1494847816,85,125
1494848533,50,0
1494850455,128,126
1494851415,70,156
1494852134,50,2
1494852972,67,2
1494854059,61,192
1494854893,65,0
1494855739,43,191
1494857414,132,170
1494858496,71,1
1494859336,63,185
1494860717,87,188
1494861617,73,0
1494863773,161,189
1494864615,62,168
1494866532,232,234
1494867769,76,113
1494868612,59,1
1494869415,68,153
1494870317,70,1
1494871812,113,173
1494872659,74,2
1494873496,45,159
1494874513,73,0
1494875411,60,175
1494876614,66,158
1494877515,53,69
1494878908,101,119
1494879923,75,2
1494880933,70,160
1494883213,148,187
1494884111,64,159
1494885640,103,166
1494886517,53,0
1494887415,61,139
1494888132,56,0
1494889508,90,152
1494890413,57,2
1494890894,18,0
1494891730,69,132
1494893114,73,138
1494894017,60,0
1494894915,58,139
1494895768,41,0
1494896711,47,157
1494897803,74,2
1494898718,48,147
1494899519,58,2
1494900581,67,129
1494901495,69,0
1494902532,59,164
1494903428,69,0
1494904450,74,95
1494905292,52,1
1494906314,53,167
1494906971,46,0
1494907813,51,101
1494909018,87,124
1494909733,49,2
1494910571,55,0
1494911654,66,162
1494912866,80,145
1494914714,122,134
1494915618,79,1
1494916094,32,0
1494917119,69,114
1494918314,85,136
1494919214,73,0
1494919699,35,0
1494920636,77,126
1494921782,72,114
1494922457,59,0
1494923265,55,0
1494924133,72,167
1494925035,101,0
1494926054,83,89
1494927015,92,106
1494928571,129,40
1494929414,44,104
1494930612,105,118
1494931333,70,37
1494932715,126,94
1494933620,65,2
1494934931,120,145
1494935770,63,1
1494936611,62,81
1494937693,76,0
1494938535,75,160
1494939913,115,97
1494940814,77,0
1494941638,81,107
1494942590,83,40
1494943517,74,104
1494944411,73,0
1494945441,84,120
1494946516,75,49
1494947412,63,73
1494948610,110,140
1494949511,61,41
1494951614,169,85
1494952934,99,161
1494954313,120,97
1494955217,74,14
1494956068,63,122
1494956537,46,35
1494958452,166,90
1494959295,77,2
1494960911,150,126
1494962274,115,71
1494963143,64,103
1494964059,75,0
1494965412,115,123
1494967215,144,113
1494968874,126,139
1494969732,74,2
1494970716,63,118
1494971710,72,45
1494972851,92,77
1494973814,66,140
1494974716,66,0
1494975595,56,142
1494976513,56,5
1494977293,41,0
1494978136,64,173
1494978970,57,0
1494979812,55,84
1494981020,66,124
1494981916,60,0
1494982572,46,1
1494983413,52,119
1494984616,65,115
1494985436,57,36
1494986552,61,73
1494987408,53,1
1494988215,48,113
1494989114,62,1
1494990313,84,118
1494990853,40,0
1494991814,58,107
1494992713,57,40
1494993370,46,1
1494994456,62,86
1494996313,124,120
1494996973,36,1
1494998055,77,113
1494998891,69,0
1494999850,68,149
1495001416,111,116
1495002309,65,0
1495003337,68,111
1495004172,52,0
1495005014,56,101
1495006218,87,125
1495007114,62,0
1495007967,59,130
1495008853,46,8
1495009815,60,132
1495010715,52,1
1495012453,202,237
1495013396,59,261
1495014314,53,47
1495015522,88,87
1495016419,79,0
1495017748,92,162
1495019846,145,87
1495020707,50,126
1495021593,59,0
1495023513,136,147
1495024325,51,125
1495025137,77,1
1495026000,86,116
1495026851,66,10
1495027815,79,121
1495028536,48,51
1495030456,134,85
1495031415,65,128
1495032314,80,39
1495033512,93,84
1495034415,58,2
1495035616,89,149
1495036516,73,0
1495037313,66,76
1495038316,71,3
1495039217,60,152
1495040171,69,1
1495041001,57,103
1495041799,59,0
1495043375,123,147
1495044320,62,94
1495046717,151,116
1495047916,80,130
1495048811,58,1
1495049678,54,127
1495051817,161,127
1495052695,49,0
1495054043,99,111
1495055396,91,131
1495057334,139,230
1495058361,59,105
1495059276,58,6
1495060214,57,106
1495060934,46,0
1495061957,59,115
1495062916,59,8
1495063809,66,121
1495064766,56,37
1495065827,72,66
1495066814,67,0
1495067659,56,101
1495069485,108,105
1495071014,103,118
1495071736,48,39
1495073113,108,92
1495074014,56,0
1495074912,58,104
1495076076,79,30
1495077010,57,74
1495077913,64,0
1495078933,92,107
1495080616,103,105
1495081728,81,1
1495082537,63,154
1495083591,65,62
1495084475,49,4
1495085416,53,138
1495086134,55,42
1495088056,133,78
1495089014,65,131
1495089944,53,0
1495091116,83,136
1495092000,52,0
1495092842,64,121
1495096941,268,335
1495098326,95,97
1495099220,64,0
1495100418,91,142
1495101372,73,0
1495102209,65,143
1495103123,70,0
1495104030,51,149
1495105500,100,156
1495106411,60,0
1495106892,23,0
1495107917,59,135
1495109117,100,150
1495110312,91,1
1495111336,69,149
1495113016,126,135
1495114092,65,2
1495115393,91,192
1495116915,94,99
1495118415,110,168
1495119373,78,0
1495120452,83,142
1495121294,60,0
1495122315,73,136
1495124113,138,145
1495125015,91,122
1495127119,139,159
1495128012,80,1
1495128492,37,0
1495129516,106,166
1495130172,43,0
1495131252,90,224
1495132093,63,0
1495133111,76,225
1495134542,97,115
1495135814,92,128
1495137954,149,153
1495141061,239,125
1495142111,83,146
1495143320,94,126
1495144457,90,42
1495145417,67,81
1495146223,52,1
1495147337,82,94
1495148573,93,166
1495149494,56,0
1495150511,81,111
1495152614,163,172
1495153627,61,1
1495154795,79,101
1495155823,78,116
1495156696,51,0
1495157937,94,98
1495158137,11,0
1495160055,129,128
1495161014,89,129
1495161920,62,0
1495163124,93,134
1495164011,54,0
1495164966,69,103
1495166115,112,0
1495167315,89,117
1495168814,113,170
1495169774,68,0
1495170614,67,73
1495171692,81,0
1495172602,53,127
1495173372,53,0
1495174211,67,112
1495175398,99,144
1495176314,67,0
1495177136,56,122
1495178135,77,10
1495179739,78,102
1495180605,55,1
1495181418,74,120
1495182575,69,215
1495184176,128,45
1495185255,75,74
1495186216,55,145
1495187123,66,0
1495188059,72,132
1495188920,63,1
1495189815,68,129
1495190542,49,49
1495191788,75,69
1495192603,66,1
1495193421,60,132
1495194134,76,1
1495195018,115,0
1495196053,110,158
1495197021,132,127
1495197920,109,0
1495198842,92,129
1495199712,94,1
1495200615,98,128
1495201438,78,53
1495202171,62,1
1495203014,62,93
1495204214,122,154
1495205126,87,0
1495206276,124,159
1495207214,91,2
1495207694,38,0
1495208538,91,134
1495210147,145,175
1495211300,103,0
1495212341,79,138
1495214313,168,123
1495215619,113,172
1495216516,73,0
1495217583,136,91
1495218671,141,112
1495219335,91,0
1495220722,151,125
1495221614,95,1
1495222818,142,160
1495223771,97,2
1495224615,70,78
1495225815,133,106
1495226663,99,0
1495228451,163,146
1495229375,96,118
1495230317,91,0
1495232055,163,133
1495232973,92,118
1495234512,147,38
1495235411,76,80
1495236612,93,118
1495237516,77,45
1495239206,112,69
1495240097,61,1
1495240939,69,116
1495242852,165,124
1495243694,62,1
1495246035,184,238
1495247215,92,1
1495248014,44,135
1495249515,126,158
1495250418,57,0
1495251617,80,117
1495252861,69,140
1495253715,61,2
1495255346,100,109
1495256172,65,0
1495257018,56,128
1495258215,83,105
1495258939,48,42
1495259773,52,0
1495260614,54,87
1495261520,58,0
1495262414,60,112
1495264214,128,120
1495265281,72,1
1495266136,62,96
1495266971,59,1
1495267831,58,128
1495269314,102,123
1495270291,76,50
1495271653,93,92
1495272618,54,119
1495274748,129,119
1495275870,87,2
1495276813,65,105
1495277756,74,0
1495278613,62,124
1495279788,77,139
1495280721,74,0
1495281956,79,143
1495282826,62,0
1495284812,130,101
1495287013,153,245
1495287918,55,0
1495288571,51,0
1495289652,66,156
1495290623,88,107
1495292111,109,0
1495293116,78,137
1495294214,78,132
1495295331,67,0
1495296870,103,120
1495297818,64,146
1495298724,63,0
1495300199,112,167
1495301417,77,121
1495302320,63,42
1495303516,100,78
1495304415,73,1
1495304937,34,0
1495306016,72,131
1495306978,74,108
1495307900,60,0
1495309122,86,125
1495310171,93,1
1495311251,85,141
1495312229,66,127
1495313128,60,42
1495314402,109,96
1495315220,54,0
1495318294,233,253
1495319338,74,3
1495320180,61,124
1495321314,82,145
1495322113,49,0
1495322929,44,1
1495323739,47,99
1495325653,129,137
1495326615,73,121
1495329312,203,110
1495330148,54,0
1495332913,202,241
1495333815,58,123
1495335799,109,154
1495337319,120,1
1495338149,42,145
1495339515,74,96
1495340420,68,1
1495340906,25,0
1495341742,58,141
1495342574,62,0
1495343441,55,80
1495344628,78,128
1495345520,52,0
1495346719,78,133
1495347615,59,0
1495348814,91,149
1495351813,184,241
1495353052,89,1
1495354194,69,128
1495355436,68,109
1495356339,65,2
1495356972,60,0
1495358004,73,132
1495359092,74,118
1495359943,67,1
1495360571,46,1
1495361422,41,123
1495362321,67,0
1495363214,62,135
