DateTime,Entries,UniqueIPs
1494825251,16363,16363
1494826093,16427,16427
1494826932,16356,16356
1494828320,16346,16346
1494829218,16405,16405
1494830121,16365,16365
1494830541,16344,16344
1494831640,16327,16327
1494832451,16394,16394
1494833298,16452,16452
1494834317,16378,16378
1494835263,16316,16316
1494836055,16374,16374
1494837240,16357,16357
1494838212,16421,16421
1494839419,16384,16384
1494840413,16450,16450
1494841333,16370,16370
1494842442,16358,16358
1494843256,16579,16579
1494844213,16514,16514
1494844939,16565,16565
1494845773,16617,16617
1494846612,16553,16553
1494847816,16513,16513
1494848533,16563,16563
1494850455,16565,16565
1494851415,16479,16479
1494852134,16527,16527
1494852972,16592,16592
1494854059,16461,16461
1494854893,16526,16526
1494855739,16378,16378
1494857414,16340,16340
1494858496,16410,16410
1494859336,16288,16288
1494860717,16187,16187
1494861617,16260,16260
1494863773,16232,16232
1494864615,16126,16126
1494866532,16124,16124
1494867769,16087,16087
1494868612,16145,16145
1494869415,16060,16060
1494870317,16129,16129
1494871812,16069,16069
1494872659,16141,16141
1494873496,16027,16027
1494874513,16100,16100
1494875411,15985,15985
1494876614,15893,15893
1494877515,15877,15877
1494878908,15859,15859
1494879923,15932,15932
1494880933,15842,15842
1494883213,15803,15803
1494884111,15708,15708
1494885640,15645,15645
1494886517,15698,15698
1494887415,15620,15620
1494888132,15676,15676
1494889508,15614,15614
1494890413,15669,15669
1494890894,15687,15687
1494891730,15624,15624
1494893114,15559,15559
1494894017,15619,15619
1494894915,15538,15538
1494895768,15579,15579
1494896711,15469,15469
1494897803,15541,15541
1494898718,15442,15442
1494899519,15498,15498
1494900581,15436,15436
1494901495,15505,15505
1494902532,15400,15400
1494903428,15469,15469
1494904450,15448,15448
1494905292,15499,15499
1494906314,15385,15385
1494906971,15431,15431
1494907813,15381,15381
1494909018,15344,15344
1494909733,15391,15391
1494910571,15446,15446
1494911654,15350,15350
1494912866,15285,15285
1494914714,15273,15273
1494915618,15351,15351
1494916094,15383,15383
1494917119,15338,15338
1494918314,15287,15287
1494919214,15360,15360
1494919699,15395,15395
1494920636,15346,15346
1494921782,15304,15304
1494922457,15363,15363
1494923265,15418,15418
1494924133,15323,15323
1494925035,15424,15424
1494926054,15418,15418
1494927015,15404,15404
1494928571,15493,15493
1494929414,15433,15433
1494930612,15420,15420
1494931333,15453,15453
1494932715,15485,15485
1494933620,15548,15548
1494934931,15523,15523
1494935770,15585,15585
1494936611,15566,15566
1494937693,15642,15642
1494938535,15557,15557
1494939913,15575,15575
1494940814,15652,15652
1494941638,15626,15626
1494942590,15669,15669
1494943517,15639,15639
1494944411,15712,15712
1494945441,15676,15676
1494946516,15702,15702
1494947412,15692,15692
1494948610,15662,15662
1494949511,15682,15682
1494951614,15766,15766
1494952934,15704,15704
1494954313,15727,15727
1494955217,15787,15787
1494956068,15728,15728
1494956537,15739,15739
1494958452,15815,15815
1494959295,15890,15890
1494960911,15914,15914
1494962274,15958,15958
1494963143,15919,15919
1494964059,15994,15994
1494965412,15986,15986
1494967215,16017,16017
1494968874,16004,16004
1494969732,16076,16076
1494970716,16021,16021
1494971710,16048,16048
1494972851,16063,16063
1494973814,15989,15989
1494974716,16055,16055
1494975595,15969,15969
1494976513,16020,16020
1494977293,16061,16061
1494978136,15952,15952
1494978970,16009,16009
1494979812,15980,15980
1494981020,15922,15922
1494981916,15982,15982
1494982572,16027,16027
1494983413,15960,15960
1494984616,15910,15910
1494985436,15931,15931
1494986552,15919,15919
1494987408,15971,15971
1494988215,15906,15906
1494989114,15967,15967
1494990313,15933,15933
1494990853,15973,15973
1494991814,15924,15924
1494992713,15941,15941
1494993370,15986,15986
1494994456,15962,15962
1494996313,15966,15966
1494996973,16001,16001
1494998055,15965,15965
1494998891,16034,16034
1494999850,15953,15953
1495001416,15948,15948
1495002309,16013,16013
1495003337,15970,15970
1495004172,16022,16022
1495005014,15977,15977
1495006218,15939,15939
1495007114,16001,16001
1495007967,15930,15930
1495008853,15968,15968
1495009815,15896,15896
1495010715,15947,15947
1495012453,15912,15912
1495013396,15710,15710
1495014314,15716,15716
1495015522,15717,15717
1495016419,15796,15796
1495017748,15726,15726
1495019846,15784,15784
1495020707,15708,15708
1495021593,15767,15767
1495023513,15756,15756
1495024325,15682,15682
1495025137,15758,15758
1495026000,15728,15728
1495026851,15784,15784
1495027815,15742,15742
1495028536,15739,15739
1495030456,15788,15788
1495031415,15725,15725
1495032314,15766,15766
1495033512,15775,15775
1495034415,15831,15831
1495035616,15771,15771
1495036516,15844,15844
1495037313,15834,15834
1495038316,15902,15902
1495039217,15810,15810
1495040171,15878,15878
1495041001,15832,15832
1495041799,15891,15891
1495043375,15867,15867
1495044320,15835,15835
1495046717,15870,15870
1495047916,15820,15820
1495048811,15877,15877
1495049678,15804,15804
1495051817,15838,15838
1495052695,15887,15887
1495054043,15875,15875
1495055396,15835,15835
1495057334,15744,15744
1495058361,15698,15698
1495059276,15750,15750
1495060214,15701,15701
1495060934,15747,15747
1495061957,15691,15691
1495062916,15742,15742
1495063809,15687,15687
1495064766,15706,15706
1495065827,15712,15712
1495066814,15779,15779
1495067659,15734,15734
1495069485,15737,15737
1495071014,15722,15722
1495071736,15731,15731
1495073113,15747,15747
1495074014,15803,15803
1495074912,15757,15757
1495076076,15806,15806
1495077010,15789,15789
1495077913,15853,15853
1495078933,15838,15838
1495080616,15836,15836
1495081728,15916,15916
1495082537,15825,15825
1495083591,15828,15828
1495084475,15873,15873
1495085416,15788,15788
1495086134,15801,15801
1495088056,15856,15856
1495089014,15790,15790
1495089944,15843,15843
1495091116,15790,15790
1495092000,15842,15842
1495092842,15785,15785
1495096941,15718,15718
1495098326,15716,15716
1495099220,15780,15780
1495100418,15729,15729
1495101372,15802,15802
1495102209,15724,15724
1495103123,15794,15794
1495104030,15696,15696
1495105500,15640,15640
1495106411,15700,15700
1495106892,15723,15723
1495107917,15647,15647
1495109117,15597,15597
1495110312,15687,15687
1495111336,15607,15607
1495113016,15598,15598
1495114092,15661,15661
1495115393,15560,15560
1495116915,15555,15555
1495118415,15497,15497
1495119373,15575,15575
1495120452,15516,15516
1495121294,15576,15576
1495122315,15513,15513
1495124113,15506,15506
1495125015,15475,15475
1495127119,15455,15455
1495128012,15534,15534
1495128492,15571,15571
1495129516,15511,15511
1495130172,15554,15554
1495131252,15420,15420
1495132093,15483,15483
1495133111,15334,15334
1495134542,15316,15316
1495135814,15280,15280
1495137954,15276,15276
1495141061,15390,15390
1495142111,15327,15327
1495143320,15295,15295
1495144457,15343,15343
1495145417,15329,15329
1495146223,15380,15380
1495147337,15368,15368
1495148573,15295,15295
1495149494,15351,15351
1495150511,15321,15321
1495152614,15312,15312
1495153627,15372,15372
1495154795,15350,15350
1495155823,15312,15312
1495156696,15363,15363
1495157937,15359,15359
1495158137,15370,15370
1495160055,15371,15371
1495161014,15331,15331
1495161920,15393,15393
1495163124,15352,15352
1495164011,15406,15406
1495164966,15372,15372
1495166115,15484,15484
1495167315,15456,15456
1495168814,15399,15399
1495169774,15467,15467
1495170614,15461,15461
1495171692,15542,15542
1495172602,15468,15468
1495173372,15521,15521
1495174211,15476,15476
1495175398,15431,15431
1495176314,15498,15498
1495177136,15432,15432
1495178135,15499,15499
1495179739,15475,15475
1495180605,15529,15529
1495181418,15483,15483
1495182575,15337,15337
1495184176,15420,15420
1495185255,15421,15421
1495186216,15331,15331
1495187123,15397,15397
1495188059,15337,15337
1495188920,15399,15399
1495189815,15338,15338
1495190542,15338,15338
1495191788,15344,15344
1495192603,15409,15409
1495193421,15337,15337
1495194134,15412,15412
1495195018,15527,15527
1495196053,15479,15479
1495197021,15484,15484
1495197920,15593,15593
1495198842,15556,15556
1495199712,15649,15649
1495200615,15619,15619
1495201438,15644,15644
1495202171,15705,15705
1495203014,15674,15674
1495204214,15642,15642
1495205126,15729,15729
1495206276,15694,15694
1495207214,15783,15783
1495207694,15821,15821
1495208538,15778,15778
1495210147,15748,15748
1495211300,15851,15851
1495212341,15792,15792
1495214313,15837,15837
1495215619,15778,15778
1495216516,15851,15851
1495217583,15896,15896
1495218671,15925,15925
1495219335,16016,16016
1495220722,16042,16042
1495221614,16136,16136
1495222818,16118,16118
1495223771,16213,16213
1495224615,16205,16205
1495225815,16232,16232
1495226663,16331,16331
1495228451,16348,16348
1495229375,16326,16326
1495230317,16417,16417
1495232055,16447,16447
1495232973,16421,16421
1495234512,16530,16530
1495235411,16526,16526
1495236612,16501,16501
1495237516,16533,16533
1495239206,16576,16576
1495240097,16636,16636
1495240939,16589,16589
1495242852,16630,16630
1495243694,16691,16691
1495246035,16637,16637
1495247215,16728,16728
1495248014,16637,16637
1495249515,16605,16605
1495250418,16662,16662
1495251617,16625,16625
1495252861,16554,16554
1495253715,16613,16613
1495255346,16604,16604
1495256172,16669,16669
1495257018,16597,16597
1495258215,16575,16575
1495258939,16581,16581
1495259773,16633,16633
1495260614,16600,16600
1495261520,16658,16658
1495262414,16606,16606
1495264214,16614,16614
1495265281,16685,16685
1495266136,16651,16651
1495266971,16709,16709
1495267831,16639,16639
1495269314,16618,16618
1495270291,16644,16644
1495271653,16645,16645
1495272618,16580,16580
1495274748,16590,16590
1495275870,16675,16675
1495276813,16635,16635
1495277756,16709,16709
1495278613,16647,16647
1495279788,16585,16585
1495280721,16659,16659
1495281956,16595,16595
1495282826,16657,16657
1495284812,16686,16686
1495287013,16594,16594
1495287918,16649,16649
1495288571,16700,16700
1495289652,16610,16610
1495290623,16591,16591
1495292111,16700,16700
1495293116,16641,16641
1495294214,16587,16587
1495295331,16654,16654
1495296870,16637,16637
1495297818,16555,16555
1495298724,16618,16618
1495300199,16563,16563
1495301417,16519,16519
1495302320,16540,16540
1495303516,16562,16562
1495304415,16634,16634
1495304937,16668,16668
1495306016,16609,16609
1495306978,16575,16575
1495307900,16635,16635
1495309122,16596,16596
1495310171,16688,16688
1495311251,16632,16632
1495312229,16571,16571
1495313128,16589,16589
1495314402,16602,16602
1495315220,16656,16656
1495318294,16636,16636
1495319338,16707,16707
1495320180,16644,16644
1495321314,16581,16581
1495322113,16630,16630
1495322929,16673,16673
1495323739,16621,16621
1495325653,16613,16613
1495326615,16565,16565
1495329312,16658,16658
1495330148,16712,16712
1495332913,16673,16673
1495333815,16608,16608
1495335799,16563,16563
1495337319,16682,16682
1495338149,16579,16579
1495339515,16557,16557
1495340420,16624,16624
1495340906,16649,16649
1495341742,16566,16566
1495342574,16628,16628
1495343441,16603,16603
1495344628,16553,16553
1495345520,16605,16605
1495346719,16550,16550
1495347615,16609,16609
1495348814,16551,16551
1495351813,16494,16494
1495353052,16582,16582
1495354194,16523,16523
1495355436,16482,16482
1495356339,16545,16545
1495356972,16605,16605
1495358004,16546,16546
1495359092,16502,16502
1495359943,16568,16568
1495360571,16613,16613
1495361422,16531,16531
1495362321,16598,16598
1495363214,16525,16525
1495365257,16454,16454
1495366207,16337,16337
1495368064,16256,16256
1495370236,16255,16255
