DateTime,Entries,UniqueIPs
1495078803,12084,12084
1495079109,12037,12037
1495079705,12036,12036
1495080303,12065,12065
1495080902,12065,12065
1495081505,12038,12038
1495082104,12021,12021
1495082406,12014,12014
1495083003,11962,11962
1495083306,11931,11931
1495083903,11966,11966
1495084503,12047,12047
1495085103,12042,12042
1495085703,12049,12049
1495086005,12075,12075
1495086603,12093,12093
1495087205,12087,12087
1495087804,12047,12047
1495088402,12047,12047
1495088705,12027,12027
1495089303,12027,12027
1495089904,12019,12019
1495090503,12019,12019
1495091105,12005,12005
1495091713,11940,11940
1495092303,11963,11963
1495092905,11937,11937
1495093505,11930,11930
1495094104,11927,11927
1495094703,11930,11930
1495095303,11929,11929
1495095904,11935,11935
1495096503,11933,11933
1495096807,11882,11882
1495097403,11872,11872
1495098005,11856,11856
1495098604,11856,11856
1495098906,11842,11842
1495099503,11842,11842
1495100104,11843,11843
1495100406,11821,11821
1495101005,11828,11828
1495101603,11829,11829
1495102212,11806,11806
1495102802,11801,11801
1495103403,11805,11805
1495104004,11822,11822
1495104603,11829,11829
1495105204,11824,11824
1495105804,11817,11817
1495106108,11779,11779
1495106703,11744,11744
1495107303,11736,11736
1495107903,11770,11770
1495108206,11720,11720
1495108804,11705,11705
1495109106,11664,11664
1495109704,11648,11648
1495110304,11634,11634
1495110606,11621,11621
1495111205,11685,11685
1495111804,11672,11672
1495112406,11630,11630
1495113006,11592,11592
1495113606,11541,11541
1495114203,11515,11515
1495114505,11489,11489
1495115103,11486,11486
1495115706,11480,11480
1495116305,11478,11478
1495116905,11479,11479
1495117504,11473,11473
1495118105,11474,11474
1495118705,11522,11522
1495119303,11527,11527
1495119907,11486,11486
1495120503,11479,11479
1495121105,11447,11447
1495121704,11446,11446
1495122303,11416,11416
1495122902,11416,11416
1495123506,11407,11407
1495124111,11381,11381
1495124704,11372,11372
1495125606,11551,11551
1495126204,11571,11571
1495126806,11553,11553
1495127403,11606,11606
1495127704,11597,11597
1495128304,11620,11620
1495128606,11574,11574
1495129205,11616,11616
1495129806,11589,11589
1495130406,11544,11544
1495131004,11653,11653
1495131603,11631,11631
1495132205,11671,11671
1495132804,11654,11654
1495133108,11604,11604
1495133705,11665,11665
1495134305,11632,11632
1495134904,11648,11648
1495135504,11715,11715
1495136103,11714,11714
1495136704,11710,11710
1495137306,11658,11658
1495137902,11657,11657
1495138504,11647,11647
1495139104,11632,11632
1495139703,11633,11633
1495140303,11631,11631
1495140905,11766,11766
1495141503,11763,11763
1495142103,11883,11883
1495142406,11835,11835
1495143006,11829,11829
1495143603,11850,11850
1495143905,11827,11827
1495144503,11813,11813
1495145105,11811,11811
1495145705,11856,11856
1495146307,11845,11845
1495146905,11828,11828
1495147503,11843,11843
1495148103,11837,11837
1495148703,11827,11827
1495149305,11788,11788
1495149903,11784,11784
1495150502,11785,11785
1495151106,11740,11740
1495151703,11724,11724
1495152303,11720,11720
1495152903,11816,11816
1495153502,11814,11814
1495153807,11783,11783
1495154404,11761,11761
1495155003,11858,11858
1495155307,11817,11817
