DateTime,Entries,UniqueIPs
1492591683,7093,7093
1492595523,7080,7080
1492597446,7080,7080
1492601287,7079,7079
1492609204,7079,7079
1492613043,7099,7099
1492616883,7102,7102
1492622644,7130,7130
1492628885,7153,7153
1492632726,7163,7163
1492636564,7149,7149
1492644484,7096,7096
1492650244,7105,7105
1492654084,7081,7081
1492659844,7073,7073
1492669444,7101,7101
1492675214,7086,7086
1492683124,7093,7093
1492686963,7101,7101
1492694644,7102,7102
1492700414,7114,7114
1492706170,7117,7117
1492710005,7110,7110
1492713844,7141,7141
1492721523,7136,7136
1492729211,7107,7107
1492733284,7051,7051
1492739044,7031,7031
1492742884,7056,7056
1492748644,7059,7059
1492754412,7069,7069
1492760407,7071,7071
1492764243,7079,7079
1492770015,7091,7091
1492776013,7095,7095
1492782005,7095,7095
1492785844,7087,7087
1492795684,7098,7098
1492801684,7111,7111
1492803605,7131,7131
1492807443,7094,7094
1492815619,7064,7064
1492821365,7080,7080
1492825444,7065,7065
1492829284,7047,7047
1492836965,7046,7046
1492844884,7063,7063
1492848723,7068,7068
1492854484,7074,7074
1492856418,7082,7082
1492864085,7121,7121
1492869844,7130,7130
1492875606,7126,7126
1492879446,7119,7119
1492887125,7137,7137
1492889044,7130,7130
1492894814,7120,7120
1492902485,7065,7065
1492908244,7082,7082
1492910164,7083,7083
1492915924,7063,7063
1492921685,7059,7059
1492927684,7074,7074
1492935363,7085,7085
1492943044,7100,7100
1492948811,7113,7113
1492954805,7130,7130
1492962484,7136,7136
1492972085,7132,7132
1492975924,7128,7128
1492985524,7100,7100
1492991284,7083,7083
1492997045,7062,7062
1493002807,7061,7061
1493008563,7060,7060
1493010485,7053,7053
1493014563,7081,7081
1493022245,7065,7065
1493028013,7088,7088
1493035924,7094,7094
1493042164,7095,7095
1493046010,7086,7086
1493053685,7119,7119
1493057524,7129,7129
1493063284,7138,7138
1493069044,7107,7107
1493072883,7093,7093
1493078644,7079,7079
1493082483,7061,7061
1493088483,7047,7047
1493098084,7040,7040
1493102164,7087,7087
1493107923,7084,7084
1493111764,7092,7092
1493119465,7087,7087
1493125215,7100,7100
1493133364,7105,7105
1493139124,7119,7119
1493142965,7125,7125
1493146809,7116,7116
1493152580,7123,7123
1493160244,7070,7070
1493167923,7046,7046
1493175609,7035,7035
1493181604,7046,7046
1493185444,7032,7032
1493189284,7058,7058
1493196964,7038,7038
1493198884,7037,7037
1493202723,7026,7026
1493206805,7031,7031
1493210644,7021,7021
1493218323,7034,7034
1493226013,7027,7027
1493231763,7029,7029
1493235605,7046,7046
1493243284,7000,7000
1493250964,6995,6995
1493256723,6981,6981
1493262483,6977,6977
1493268483,6982,6982
1493270404,6977,6977
1493278084,6999,6999
1493281924,6997,6997
1493287685,7024,7024
1493293444,7031,7031
1493299443,7014,7014
1493305221,7027,7027
1493313124,7038,7038
1493320804,7035,7035
1493324644,7029,7029
1493328485,7013,7013
1493332324,6983,6983
1493340004,7004,7004
1493341924,6981,6981
1493347683,6986,6986
1493357285,6977,6977
1493361123,7001,7001
1493367132,7003,7003
1493372883,7004,7004
