DateTime,Entries,UniqueIPs
1494320910,1183,1198
1494322828,1166,1180
1494324749,1161,1173
1494326655,1153,1165
1494328596,1133,1145
1494330510,1127,1139
1494332445,1117,1130
1494334362,1112,1124
1494336269,1118,1131
1494338710,1116,1129
1494340599,1120,1133
1494342533,1121,1134
1494344424,1123,1137
1494346824,1139,1153
1494348739,1141,1156
1494350655,1148,1164
1494352579,1151,1167
1494354505,1149,1165
1494356487,1148,1164
1494358347,1157,1173
1494360524,1148,1164
1494362455,1141,1157
1494364358,1152,1168
1494366262,1161,1177
1494368195,1157,1174
1494370116,1153,1170
1494372010,1154,1171
1494373956,1150,1167
1494375852,1146,1163
1494377794,1171,1189
1494379705,1169,1187
1494381708,1166,1184
1494383555,1161,1179
1494385469,1148,1166
1494387387,1170,1188
1494391209,1138,1157
1494393145,1141,1159
1494395050,1134,1152
1494397035,1138,1156
1494400828,1098,1116
1494404671,1098,1115
1494406583,1098,1115
1494408510,1105,1120
1494410683,1111,1126
1494412600,1096,1111
1494414520,1094,1109
1494416425,1081,1095
1494418352,1092,1106
1494420268,1092,1106
1494422196,1090,1105
1494424362,1086,1101
1494428197,1054,1069
1494430114,1059,1074
1494432121,1044,1059
1494434320,1035,1049
1494436169,1032,1046
1494438107,1026,1040
1494439959,1016,1029
1494445706,995,1007
1494447640,1000,1013
1494449557,992,1005
1494451459,980,994
1494454059,958,972
1494456013,952,966
1494457947,948,962
1494459847,953,968
1494461791,957,972
1494463712,952,967
1494465621,936,951
1494467544,919,933
1494469452,922,936
1494471419,928,942
1494473310,929,942
1494475306,929,942
1494477157,951,964
1494479067,946,959
1494480999,935,947
1494482921,943,954
1494484834,936,948
1494486759,968,980
1494488659,965,978
1494490585,997,1010
1494496360,909,921
1494498255,911,923
1494500170,913,925
1494502109,897,909
1494504119,897,909
1494505945,900,912
1494507900,911,923
1494509801,925,939
1494511721,938,953
1494513629,948,963
1494515553,959,974
1494517472,961,976
1494519389,967,981
1494521306,978,992
1494523246,980,994
1494525165,981,995
1494527057,977,991
1494528987,986,1000
1494532936,996,1011
1494534751,997,1013
1494536584,1014,1030
1494540905,997,1012
1494544822,993,1008
1494546761,982,997
1494548653,988,1004
1494552505,958,974
1494554494,954,970
1494556347,941,957
1494558334,914,930
1494560420,919,934
1494562326,938,953
1494564263,939,954
1494566188,955,970
1494568108,961,976
1494570042,966,981
1494571943,972,986
1494573852,964,978
1494575769,955,968
1494577725,963,976
1494579700,977,990
1494581542,986,999
1494583469,1008,1021
1494585392,1000,1013
1494587316,1014,1027
1494589258,1036,1049
1494591157,1051,1061
1494593059,1056,1067
1494594991,1051,1062
1494596904,1051,1062
1494600744,1044,1055
1494602653,1044,1056
1494604578,1043,1056
1494606520,1042,1055
1494608497,1040,1053
1494610374,1033,1048
1494612292,1030,1045
1494614191,1027,1042
1494616108,1026,1041
1494618028,1034,1049
1494619954,1018,1033
1494623784,1002,1016
1494625697,1024,1040
1494629581,1035,1050
1494631458,1048,1063
1494635311,1036,1050
1494637298,1064,1078
1494639159,1072,1086
1494641070,1091,1105
1494642983,1108,1123
1494644895,1125,1139
1494646822,1109,1123
1494648742,1101,1114
1494650651,1136,1149
1494652581,1146,1159
1494654505,1150,1163
1494656426,1148,1161
1494658332,1137,1150
1494662176,1083,1096
1494666116,1050,1064
1494670438,1023,1038
1494672246,1033,1048
1494674176,1023,1038
1494676097,1023,1038
1494678352,1017,1032
1494680176,1023,1037
1494682104,1022,1036
1494684051,1010,1024
1494687876,1000,1015
1494689796,995,1009
1494691692,993,1008
1494693625,992,1007
1494695544,996,1011
1494697453,1001,1014
1494699381,997,1011
1494701306,996,1010
1494703240,996,1010
1494705171,996,1011
1494707075,996,1011
1494708996,1013,1028
1494710915,1021,1036
1494712939,1028,1043
1494718599,994,1009
1494720529,1021,1036
1494724376,991,1006
1494726295,985,1000
1494728200,979,994
1494730097,977,993
1494732055,971,987
1494735867,957,973
1494737782,944,960
1494740225,935,952
1494742103,915,933
1494744031,922,940
1494745957,909,925
1494747875,939,955
1494749799,927,943
1494751975,956,973
1494753857,972,989
1494755792,996,1013
1494759736,977,993
1494761555,979,993
1494763506,974,991
1494765398,971,989
1494767326,961,981
1494769231,971,990
1494771159,978,997
1494773085,998,1017
1494775251,993,1010
1494777151,989,1006
1494779080,980,997
1494780992,963,980
1494782914,963,980
1494784902,954,971
1494786742,950,966
1494788691,955,971
1494790606,958,974
1494792523,962,978
1494794437,970,986
1494796357,979,996
1494798270,979,996
1494800273,978,996
1494802115,1004,1022
1494804040,1033,1051
1494805947,1041,1060
1494807856,1044,1063
1494809775,1068,1088
1494813909,1067,1088
1494815790,1082,1103
1494817721,1090,1111
1494819639,1095,1118
1494821560,1120,1143
1494823468,1120,1144
1494825389,1120,1145
1494827562,1122,1147
1494829452,1142,1167
1494831371,1155,1180
1494833310,1163,1189
1494835308,1161,1187
1494837142,1166,1193
1494839331,1177,1206
1494841237,1168,1196
1494843155,1169,1197
1494845067,1182,1210
1494847014,1180,1208
1494848935,1172,1199
1494851088,1162,1188
1494852981,1160,1186
1494854905,1169,1193
1494856908,1178,1201
1494860924,1152,1174
1494862841,1161,1185
1494864747,1166,1189
1494867172,1175,1197
