DateTime,AddedIPs,RemovedIPs
1494324749,51,28
1494326655,45,46
1494328596,41,46
1494330510,21,47
1494332445,37,24
1494334362,49,37
1494336269,35,47
1494338710,36,34
1494340599,43,33
1494342533,33,43
1494344424,51,33
1494346824,36,53
1494348739,24,34
1494350655,26,30
1494352579,40,24
1494354505,14,41
1494356487,29,15
1494358347,20,27
1494360524,16,19
1494362455,39,18
1494364358,51,37
1494366262,52,52
1494368195,36,50
1494370116,33,32
1494372010,34,31
1494373956,42,39
1494375852,48,36
1494377794,57,53
1494379705,40,52
1494381708,49,44
1494383555,41,47
1494385469,36,36
1494387387,39,47
1494391209,47,37
1494393145,54,45
1494395050,51,60
1494397035,49,48
1494400828,44,48
1494404671,50,44
1494406583,48,50
1494408510,51,48
1494410683,40,51
1494412600,20,41
1494414520,49,23
1494416425,21,47
1494418352,40,20
1494420268,34,38
1494422196,26,36
1494424362,23,28
1494428197,23,21
1494430114,34,24
1494432121,23,34
1494434320,20,24
1494436169,15,18
1494438107,21,17
1494439959,17,23
1494445706,22,17
1494447640,29,22
1494449557,21,24
1494451459,39,26
1494454059,23,38
1494456013,18,18
1494457947,35,17
1494459847,38,33
1494461791,50,39
1494463712,41,47
1494465621,36,43
1494467544,27,37
1494469452,46,19
1494471419,43,51
1494473310,49,47
1494475306,46,46
1494477157,43,45
1494479067,33,43
1494480999,46,38
1494482921,66,51
1494484834,47,59
1494486759,56,49
1494488659,52,55
1494490585,55,56
1494496360,24,54
1494498255,34,24
1494500170,29,34
1494502109,27,29
1494504119,23,27
1494505945,45,23
1494507900,47,44
1494509801,48,43
1494511721,39,46
1494513629,24,46
1494515553,50,22
1494517472,33,50
1494519389,37,37
1494521306,32,37
1494523246,25,32
1494525165,25,28
1494527057,13,23
1494528987,14,12
1494532936,39,15
1494534751,28,38
1494536584,31,25
1494540905,33,31
1494544822,38,33
1494546761,22,35
1494548653,38,23
1494552505,22,39
1494554494,17,23
1494556347,29,20
1494558334,21,28
1494560420,54,19
1494562326,55,51
1494564263,45,53
1494566188,56,48
1494568108,52,53
1494570042,57,57
1494571943,58,54
1494573852,54,56
1494575769,34,61
1494577725,59,34
1494579700,26,59
1494581542,24,26
1494583469,57,23
1494585392,26,52
1494587316,55,28
1494589258,47,57
1494591157,39,49
1494593059,42,38
1494594991,37,42
1494596904,49,35
1494600744,46,48
1494602653,41,51
1494604578,49,40
1494606520,38,48
1494608497,28,40
1494610374,21,28
1494612292,23,22
1494614191,13,22
1494616108,18,15
1494618028,16,17
1494619954,22,16
1494623784,32,20
1494625697,50,28
1494629581,41,52
1494631458,50,40
1494635311,49,47
1494637298,43,53
1494639159,37,42
1494641070,49,40
1494642983,50,42
1494644895,43,50
1494646822,29,42
1494648742,45,30
1494650651,53,47
1494652581,60,56
1494654505,50,58
1494656426,57,50
1494658332,48,53
1494662176,53,55
1494666116,48,51
1494670438,35,46
1494672246,47,39
1494674176,46,43
1494676097,47,46
1494678352,41,45
1494680176,41,46
1494682104,28,42
1494684051,39,25
1494687876,49,39
1494689796,40,46
1494691692,41,41
1494693625,49,39
1494695544,39,55
1494697453,23,44
1494699381,15,23
1494701306,9,15
1494703240,14,8
1494705171,20,13
1494707075,15,20
1494708996,29,16
1494710915,39,26
1494712939,40,34
1494718599,32,43
1494720529,48,34
1494724376,35,48
1494726295,46,28
1494728200,27,46
1494730097,50,25
1494732055,45,52
1494735867,42,44
1494737782,34,42
1494740225,49,36
1494742103,35,50
1494744031,59,39
1494745957,43,59
1494747875,53,38
1494749799,47,57
1494751975,51,46
1494753857,58,55
1494755792,54,56
1494759736,43,51
1494761555,37,45
