DateTime,Entries,UniqueIPs
1494577725,64,64
1494579700,31,31
1494581542,29,29
1494583469,63,63
1494585392,37,37
1494587316,64,64
1494589258,54,54
1494591157,44,44
1494593059,48,48
1494594991,43,43
1494596904,57,57
1494600744,55,55
1494602653,45,45
1494604578,54,54
1494606520,44,44
1494608497,32,32
1494610374,25,25
1494612292,26,26
1494614191,17,17
1494616108,20,20
1494618028,19,19
1494619954,25,25
1494623784,37,37
1494625697,59,59
1494629581,48,48
1494631458,58,58
1494635311,60,60
1494637298,50,50
1494639159,45,45
1494641070,54,54
1494642983,62,62
1494644895,55,55
1494646822,42,42
1494648742,57,57
1494650651,63,63
1494652581,67,67
1494654505,59,59
1494656426,66,66
1494658332,61,61
1494662176,59,59
1494666116,56,56
1494670438,45,45
1494672246,53,53
1494674176,56,56
1494676097,57,57
1494678352,53,53
1494680176,48,48
1494682104,34,34
1494684051,48,48
1494687876,58,58
1494689796,52,52
1494691692,52,52
1494693625,62,62
1494695544,46,46
1494697453,25,25
1494699381,17,17
1494701306,11,11
1494703240,17,17
1494705171,24,24
1494707075,19,19
1494708996,32,32
1494710915,45,45
1494712939,51,51
1494718599,40,40
1494720529,54,54
1494724376,41,41
1494726295,59,59
1494728200,40,40
1494730097,65,65
1494732055,58,58
1494735867,56,56
1494737782,48,48
1494740225,61,61
1494742103,46,46
1494744031,66,66
1494745957,50,50
1494747875,65,65
1494749799,55,55
1494751975,60,60
1494753857,63,63
1494755792,61,61
1494759736,53,53
1494761555,45,45
1494763506,65,65
1494765398,59,59
1494767326,51,51
1494769231,61,61
1494771159,59,59
1494773085,54,54
1494775251,39,39
1494777151,59,59
1494779080,35,35
1494780992,42,42
1494782914,43,43
1494784902,18,18
1494786742,9,9
1494788691,23,23
1494790606,23,23
1494792523,33,33
1494794437,36,36
1494796357,56,56
1494798270,61,61
1494800273,62,62
1494802115,59,59
1494804040,64,64
1494805947,52,52
1494807856,54,54
1494809775,47,47
1494813909,71,71
1494815790,56,56
1494817721,64,64
1494819639,53,53
1494821560,60,60
1494823468,62,62
1494825389,52,52
1494827562,54,54
1494829452,67,67
1494831371,75,75
1494833310,66,66
1494835308,63,63
1494837142,61,61
1494839331,71,71
1494841237,58,58
1494843155,58,58
1494845067,45,45
1494847014,49,49
1494848935,38,38
1494851088,49,49
1494852981,56,56
1494854905,51,51
1494856908,61,61
1494860924,42,42
1494862841,54,54
1494864747,48,48
1494867172,36,36
1494869096,32,32
1494872924,10,10
1494878923,56,56
1494880843,51,51
1494882764,66,66
1494884674,61,61
1494886598,58,58
1494888515,56,56
1494890426,50,50
1494892341,47,47
1494894255,44,44
1494896172,54,54
1494898126,57,57
1494900161,68,68
1494901971,50,50
1494903877,57,57
1494905811,56,56
1494907728,62,62
1494909642,62,62
1494911562,70,70
1494913454,58,58
1494915379,70,70
1494917296,67,67
1494921407,69,69
1494923322,60,60
1494925327,59,59
1494927160,68,68
1494929095,55,55
1494930999,53,53
1494932903,54,54
1494934815,53,53
1494936748,51,51
1494938671,54,54
1494940604,43,43
1494942521,48,48
1494944441,53,53
1494946363,56,56
1494948532,44,44
1494950524,50,50
1494952375,30,30
1494954280,22,22
1494956203,26,26
1494958103,22,22
1494960022,18,18
1494961966,32,32
1494963870,30,30
1494965791,49,49
1494967719,46,46
1494969614,39,39
1494971548,27,27
1494973458,49,49
1494975379,17,17
1494977303,34,34
1494979302,32,32
1494981150,25,25
1494983075,33,33
1494984990,40,40
1494986922,53,53
1494988842,57,57
1494992668,55,55
1494994611,56,56
1494998435,61,61
1495000384,60,60
1495002277,63,63
1495004191,62,62
1495006123,68,68
1495008138,54,54
1495009974,45,45
1495011875,63,63
1495013799,54,54
1495015692,56,56
1495017612,50,50
1495019545,55,55
1495021484,56,56
1495023376,36,36
1495025575,42,42
1495027729,55,55
1495031561,52,52
1495033483,54,54
1495035401,37,37
1495037318,28,28
1495039216,26,26
1495041163,24,24
1495043231,14,14
1495045252,18,18
1495049075,21,21
