DateTime,Entries,UniqueIPs
1494910599,2453,2453
1494911569,2454,2454
1494912791,2455,2455
1494913714,2457,2457
1494914684,2462,2462
1494915651,2468,2468
1494916597,2464,2464
1494917561,2467,2467
1494918505,2470,2470
1494919460,2474,2474
1494920416,2474,2474
1494921420,2475,2475
1494922366,2468,2468
1494923327,2467,2467
1494924282,2465,2465
1494925332,2457,2457
1494926433,2459,2459
1494927381,2460,2460
1494928333,2462,2462
1494929310,2461,2461
1494930253,2464,2464
1494931213,2469,2469
1494932191,2467,2467
1494933155,2472,2472
1494934122,2476,2476
1494935079,2477,2477
1494936119,2481,2481
1494937263,2478,2478
1494938199,2479,2479
1494939153,2484,2484
1494940130,2484,2484
1494941081,2487,2487
1494942032,2487,2487
1494943008,2481,2481
1494943959,2478,2478
1494944927,2475,2475
1494945884,2481,2481
1494946899,2481,2481
1494948142,2479,2479
1494949217,2477,2477
1494950174,2473,2473
1494951181,2483,2483
1494952388,2487,2487
1494953322,2482,2482
1494954285,2480,2480
1494955233,2484,2484
1494956216,2485,2485
1494957156,2483,2483
1494958108,2469,2469
1494959061,2470,2470
1494960028,2467,2467
1494960983,2466,2466
1494961982,2460,2460
1494962918,2462,2462
1494963875,2463,2463
1494964919,2471,2471
1494966024,2474,2474
1494966991,2472,2472
1494967933,2464,2464
1494968926,2462,2462
1494969863,2459,2459
1494970818,2463,2463
1494971785,2462,2462
1494972768,2465,2465
1494973718,2463,2463
1494974669,2458,2458
1494975711,2454,2454
1494976810,2453,2453
1494977791,2453,2453
1494978757,2457,2457
1494979695,2456,2456
1494980663,2449,2449
1494981623,2445,2445
1494982581,2447,2447
1494983579,2439,2439
1494984517,2442,2442
1494985469,2447,2447
1494986520,2443,2443
1494987422,2447,2447
1494988370,2449,2449
1494989322,2452,2452
1494990289,2444,2444
1494991242,2438,2438
1494992190,2438,2438
1494993172,2445,2445
1494994125,2445,2445
1494995070,2450,2450
1494996047,2453,2453
1494997000,2453,2453
1494997960,2457,2457
1494998923,2453,2453
