DateTime,Entries,UniqueIPs
1495160417,18418,18769
1495161382,18414,18765
1495162332,18411,18762
1495163309,18405,18756
1495164258,18402,18753
1495165222,18408,18759
1495166178,18410,18762
1495167162,18404,18755
1495168110,18398,18749
1495169104,18409,18760
1495170104,18410,18761
1495171233,18412,18763
1495172190,18417,18768
1495173150,18419,18769
1495174134,18412,18762
1495175071,18422,18772
1495176030,18424,18774
1495177004,18428,18778
1495177954,18436,18786
1495178908,18432,18781
1495179874,18436,18785
1495180913,18424,18772
1495182030,18429,18777
1495182980,18414,18762
1495183934,18416,18764
1495184909,18411,18760
1495185854,18409,18757
1495186813,18406,18754
1495187789,18397,18745
1495188751,18384,18732
1495189716,18384,18733
1495190677,18388,18737
1495191723,18400,18751
1495192839,18413,18764
1495193790,18412,18763
1495194765,18421,18772
1495195709,18414,18765
1495196660,18424,18776
1495197627,18434,18785
1495198584,18433,18784
1495199561,18437,18788
1495200515,18435,18789
1495201477,18440,18794
1495202545,18437,18792
1495203626,18448,18803
1495204580,18452,18806
1495205553,18454,18808
1495206508,18455,18809
1495207459,18464,18818
1495208411,18467,18821
1495209484,18470,18824
1495210581,18477,18831
1495211546,18489,18843
1495212503,18501,18855
1495213475,18504,18859
1495214453,18501,18855
1495215391,18488,18843
1495216364,18489,18844
1495217302,18485,18840
1495218257,18492,18847
1495219234,18490,18845
1495220207,18487,18842
1495221155,18489,18845
1495222112,18485,18841
1495223084,18494,18850
1495224103,18507,18863
1495225227,18511,18867
1495226173,18502,18858
1495227154,18501,18857
1495228108,18496,18852
1495229054,18497,18852
1495230020,18509,18864
1495230979,18503,18858
1495231937,18509,18864
1495232894,18513,18867
1495233847,18521,18875
1495234897,18526,18881
1495236034,18530,18887
1495236992,18531,18888
1495237957,18533,18890
1495238918,18532,18889
1495239871,18543,18900
1495240833,18549,18906
1495241804,18550,18907
1495242755,18553,18910
1495243751,18552,18909
1495244737,18559,18916
1495245701,18561,18918
1495246834,18565,18922
1495247797,18577,18934
1495248782,18578,18935
1495249721,18579,18936
1495250673,18587,18944
1495251633,18588,18947
1495252601,18588,18947
1495253567,18587,18948
1495254513,18589,18950
1495255477,18605,18966
1495256502,18608,18969
1495257653,18612,18973
1495258596,18611,18972
1495259568,18619,18981
1495260500,18611,18973
1495261487,18625,18987
1495262431,18620,18980
1495263406,18618,18978
1495264364,18623,18983
1495265320,18623,18983
1495266276,18627,18987
1495267335,18626,18986
1495268423,18634,18994
1495269386,18632,18993
1495270357,18635,18996
1495271294,18635,18996
1495272261,18640,19001
1495273221,18653,19014
1495274170,18659,19020
1495275150,18662,19023
1495276116,18665,19026
1495277066,18672,19033
1495278113,18682,19043
1495279212,18695,19056
1495280191,18697,19058
1495281155,18703,19064
1495282118,18706,19067
1495283076,18708,19068
1495284036,18715,19075
1495284995,18714,19075
1495285966,18723,19084
1495286947,18719,19081
1495287867,18733,19095
1495288891,18739,19100
1495289792,18736,19097
1495290769,18746,19107
1495291719,18744,19105
1495292677,18738,19099
1495293646,18744,19105
1495294598,18739,19100
1495295551,18750,19111
1495296611,18750,19111
1495297701,18747,19107
1495298658,18755,19115
1495299686,18752,19112
1495300851,18736,19096
1495301830,18738,19098
1495302776,18738,19098
1495303702,18741,19101
1495304800,18753,19113
1495306132,18754,19114
1495307080,18750,19110
1495308047,18749,19109
1495308993,18745,19105
1495309966,18748,19108
1495310908,18747,19107
1495312396,18753,19114
1495313321,18751,19112
1495314282,18759,19120
1495315239,18761,19122
1495316214,18758,19119
1495317160,18766,19127
1495318387,18775,19136
1495319317,18776,19137
1495320269,18785,19147
1495321318,18785,19147
1495322425,18794,19156
1495323385,18793,19155
1495324351,18795,19157
1495325317,18790,19152
1495326279,18792,19154
1495327253,18785,19147
1495328194,18784,19146
1495329167,18781,19143
1495330110,18790,19152
1495331066,18794,19157
1495332117,18793,19156
1495333222,18797,19160
1495334180,18797,19160
1495335139,18796,19160
1495336092,18797,19161
1495337062,18800,19164
1495338013,18811,19175
1495338977,18811,19175
1495339943,18812,19176
1495340900,18808,19171
1495341852,18805,19168
1495342900,18803,19166
1495344039,18815,19178
1495345008,18811,19173
1495345978,18820,19182
1495346905,18824,19186
1495347869,18824,19187
1495348832,18825,19188
1495349806,18824,19187
1495350774,18827,19190
1495351721,18822,19185
1495352668,18830,19193
1495353735,18827,19190
1495354813,18822,19185
1495355787,18818,19180
1495356730,18824,19186
1495357703,18823,19185
1495358662,18809,19171
1495359622,18814,19176
1495360577,18811,19173
1495361562,18816,19177
1495362519,18812,19173
1495363469,18814,19175
1495364504,18828,19189
1495365616,18829,19188
1495366586,18825,19184
1495367540,18831,19190
1495368516,18833,19192
1495369472,18808,19166
1495370446,18802,19161
1495371396,18806,19165
1495372365,18808,19167
1495373321,18809,19166
1495374265,18807,19164
1495375315,18810,19167
1495376425,18814,19171
1495377387,18807,19164
1495378333,18821,19178
1495379307,18811,19168
1495380254,18808,19165
1495381213,18825,19182
1495382186,18832,19188
1495383140,18827,19183
1495384103,18821,19177
1495385061,18813,19169
1495386091,18819,19175
1495387257,18823,19180
1495388193,18826,19182
1495389163,18834,19190
1495390107,18832,19188
1495391080,18836,19192
1495392048,18832,19187
1495393012,18826,19181
1495394054,18826,19181
1495395136,18828,19184
1495396144,18832,19189
1495397323,18823,19179
1495398283,18827,19183
1495399233,18834,19191
1495400194,18832,19189
1495401164,18842,19199
1495404821,18843,19200
1495407443,18844,19202
1495408389,18850,19208
1495409610,18848,19205
1495411770,18851,19209
1495412673,18855,19213
1495413640,18857,19215
1495414609,18851,19209
1495415561,18850,19208
1495416545,18850,19208
1495417483,18847,19205
1495418501,18854,19212
1495419405,18852,19210
1495420378,18848,19206
1495421327,18842,19200
1495422276,18835,19193
1495423246,18839,19197
1495424191,18834,19192
1495425168,18835,19193
1495426123,18836,19194
1495427072,18839,19197
1495428038,18834,19195
1495429000,18832,19193
1495429961,18821,19182
