DateTime,Entries,UniqueIPs
1494906274,447,447
1494907309,455,455
1494908414,458,458
1494909654,455,455
1494910597,453,453
1494911566,454,454
1494912784,455,455
1494913712,457,457
1494914682,462,462
1494915649,468,468
1494916595,464,464
1494917559,467,467
1494918503,470,470
1494919458,474,474
1494920414,474,474
1494921417,475,475
1494922364,468,468
1494923325,467,467
1494924279,465,465
1494925330,457,457
1494926431,459,459
1494927379,460,460
1494928332,462,462
1494929309,461,461
1494930251,464,464
1494931211,469,469
1494932189,467,467
1494933153,472,472
1494934120,476,476
1494935076,477,477
1494936117,481,481
1494937261,478,478
1494938197,479,479
1494939151,484,484
1494940128,484,484
1494941080,487,487
1494942030,487,487
1494943006,481,481
1494943956,478,478
1494944925,475,475
1494945882,481,481
1494946896,481,481
1494948139,479,479
1494949215,477,477
1494950172,473,473
1494951178,483,483
1494952386,487,487
1494953320,482,482
1494954282,480,480
1494955231,484,484
1494956214,485,485
1494957154,483,483
1494958105,469,469
1494959059,470,470
1494960026,467,467
1494960981,466,466
1494961979,460,460
1494962916,462,462
1494963872,463,463
1494964917,471,471
1494966022,474,474
1494966989,472,472
1494967930,464,464
1494968924,462,462
1494969861,459,459
1494970815,463,463
1494971782,462,462
1494972766,465,465
1494973715,463,463
1494974666,458,458
1494975709,454,454
1494976807,453,453
1494977789,453,453
1494978755,457,457
1494979692,456,456
1494980661,449,449
1494981621,445,445
1494982579,447,447
1494983576,439,439
1494984515,442,442
1494985466,447,447
1494986518,443,443
1494987420,447,447
1494988368,449,449
1494989320,452,452
1494990287,444,444
1494991240,438,438
1494992189,438,438
1494993169,445,445
1494994122,445,445
1494995068,450,450
1494996045,453,453
1494996998,453,453
1494997958,457,457
1494998921,453,453
1494999901,455,455
1495000911,458,458
1495002027,451,451
1495002972,451,451
1495003939,454,454
1495004900,457,457
1495005849,455,455
1495006819,453,453
1495007787,447,447
1495008745,444,444
1495009985,444,444
1495010934,445,445
1495011877,445,445
1495012847,447,447
1495013801,448,448
1495015028,444,444
1495015959,445,445
1495016929,446,446
1495017873,446,446
1495018952,436,436
1495020031,439,439
1495020974,442,442
1495021971,448,448
1495022900,452,452
1495023850,449,449
1495025089,447,447
1495026104,443,443
1495027234,450,450
1495028197,457,457
1495029150,457,457
1495030107,464,464
1495031050,464,464
1495032040,472,472
1495033006,475,475
1495033955,482,482
1495034923,478,478
1495035873,486,486
1495036921,481,481
1495038039,476,476
1495038995,475,475
1495039952,471,471
1495040900,467,467
1495041870,468,468
1495042820,476,476
1495043777,479,479
1495044769,472,472
1495045722,474,474
1495046681,475,475
1495047732,473,473
1495048823,476,476
1495049784,475,475
1495050743,474,474
1495051696,470,470
1495052673,474,474
1495053611,470,470
1495054581,471,471
1495055560,470,470
1495056530,470,470
1495057470,464,464
1495058536,462,462
1495059621,466,466
1495060581,466,466
1495061540,466,466
1495062498,466,466
1495063462,468,468
1495064412,469,469
1495065379,460,460
1495066361,461,461
1495067315,459,459
1495068270,458,458
1495069315,455,455
1495070423,454,454
1495071383,455,455
1495072341,460,460
1495073292,463,463
1495074266,467,467
1495075236,465,465
1495076189,461,461
1495077173,466,466
1495078119,463,463
1495079110,464,464
1495080097,458,458
1495081244,467,467
1495082228,465,465
1495083158,460,460
1495084113,459,459
1495085052,458,458
1495086013,451,451
1495086979,450,450
1495087968,442,442
1495088908,447,447
1495089874,450,450
1495090893,449,449
1495092051,447,447
1495093000,447,447
1495093951,443,443
1495094930,441,441
1495095876,435,435
1495096833,440,440
1495097797,438,438
1495098762,443,443
1495099717,443,443
1495100674,451,451
1495101714,444,444
1495102821,445,445
1495103771,444,444
1495104743,447,447
1495105702,451,451
1495106654,457,457
1495107612,457,457
1495108589,457,457
