DateTime,Entries,UniqueIPs
1495160420,20861,22842
1495161384,20865,22844
1495162334,20376,22316
1495163311,19174,21015
1495164259,19174,21015
1495165224,19187,21028
1495166180,19185,21026
1495167164,19191,21033
1495168111,19199,21042
1495169108,19193,21038
1495170106,19195,21039
1495171235,19207,21053
1495172192,19205,21050
1495173152,19224,21072
1495174136,19219,21069
1495175074,19221,21069
1495176033,19225,21074
1495177006,19231,21081
1495177956,19243,21092
1495178910,19241,21089
1495179876,19244,21091
1495180915,19260,21109
1495182032,19268,21118
1495182982,19270,21122
1495183936,19276,21133
1495184911,19281,21137
1495185857,19283,21140
1495186814,19284,21139
1495187791,19282,21137
1495188753,19277,21130
1495189718,18058,19818
1495190679,18058,19817
1495191725,18063,19823
1495192842,18080,19847
1495193792,18080,19845
1495194766,18084,19847
1495195711,18095,19857
1495196662,18091,19851
1495197628,18101,19861
1495198586,18102,19860
1495199563,18111,19867
1495200517,18115,19871
1495201479,18102,19856
1495202546,18109,19867
1495203628,18112,19870
1495204582,18106,19865
1495205556,18124,19884
1495206510,18128,19889
1495207461,18126,19887
1495208413,18136,19902
1495209487,18131,19899
1495210582,18129,19897
1495211551,18139,19906
1495212505,18142,19913
1495213478,18138,19909
1495214456,18138,19910
1495215393,18127,19891
1495216366,18138,19902
1495217303,18140,19904
1495218259,18144,19908
1495219236,18150,19913
1495220209,18146,19909
1495221157,18148,19912
1495222114,18145,19908
1495223086,18144,19905
1495224105,18148,19908
1495225230,18159,19920
1495226175,18153,19913
1495227156,18157,19918
1495228110,18152,19914
1495229056,18148,19908
1495230022,18146,19906
1495230982,18148,19910
1495231939,18160,19921
1495232896,18159,19917
1495233850,18147,19904
1495234899,18150,19905
1495236037,18154,19913
1495236994,18146,19902
1495237959,18148,19907
1495238920,18148,19908
1495239873,18144,19904
1495240835,18146,19904
1495241806,18146,19902
1495242757,18146,19901
1495243753,18152,19909
1495244740,18147,19903
1495245703,18144,19898
1495246836,18140,19894
1495247799,18135,19888
1495248784,18136,19888
1495249723,18133,19884
1495250675,18127,19876
1495251635,18131,19879
1495252603,18128,19876
1495253568,18121,19867
1495254515,18119,19865
1495255479,18113,19862
1495256504,18121,19871
1495257656,18119,19870
1495258598,18119,19869
1495259570,18129,19880
1495260502,18125,19873
1495261488,18127,19876
1495262433,18128,19879
1495263408,18126,19877
1495264366,16795,18474
1495265322,16799,18479
1495266279,16800,18480
1495267337,16788,18467
1495268425,16781,18461
1495269389,16778,18456
1495270360,16778,18456
1495271295,16783,18451
