DateTime,Entries,UniqueIPs
1493251227,443,443
1493254827,440,440
1493258428,438,438
1493262028,436,436
1493269227,434,434
1493316077,436,436
1493319677,439,439
1493323277,441,441
1493326875,444,444
1493330476,445,445
1493334076,444,444
1493337676,444,444
1493341275,443,443
1493348475,444,444
1493352064,445,445
1493359276,446,446
1493362868,450,450
1493370075,452,452
1493373675,452,452
1493377264,453,453
1493380869,454,454
1493384473,453,453
1493388063,455,455
1493391656,460,460
1493395258,463,463
1493398853,462,462
1493402464,466,466
1493406056,466,466
1493409656,468,468
1493413253,468,468
1493416847,469,469
1493420453,469,469
1493424063,472,472
1493427657,476,476
1493431247,476,476
1493434856,475,475
1493438464,477,477
1493442064,477,477
1493445678,475,475
1493449278,478,478
1493452877,477,477
1493456477,475,475
1493460076,476,476
1493463676,477,477
1493467276,475,475
1493470876,475,475
1493478074,474,474
1493481674,473,473
1493485274,469,469
1493492475,467,467
1493496072,468,468
1493499670,466,466
1493503269,466,466
1493506866,465,465
1493510466,465,465
1493514071,466,466
1493517666,468,468
1493521250,467,467
1493524859,465,465
1493528458,466,466
1493535665,467,467
1493539265,467,467
1493542865,466,466
1493546464,465,465
1493550074,465,465
1493553661,464,464
1493557272,464,464
1493560869,461,461
1493564465,464,464
1493571673,465,465
1493578875,465,465
1493582474,465,465
1493586075,482,482
1493589675,481,481
1493593275,481,481
1493596874,480,480
1493600476,478,478
1493604074,479,479
1493611273,478,478
1493614874,478,478
1493618475,477,477
1493622075,476,476
1493625675,475,475
1493629275,463,463
1493632874,462,462
1493636473,461,461
1493640074,462,462
1493643676,468,468
1493647272,468,468
1493650873,465,465
1493654474,462,462
1493658073,459,459
1493661674,455,455
1493665273,452,452
1493668876,449,449
1493672474,449,449
1493676075,452,452
1493679675,450,450
1493683277,450,450
1493686876,449,449
1493690477,446,446
1493694079,449,449
1493697679,450,450
1493701279,448,448
1493708479,447,447
1493712080,447,447
1493719279,447,447
1493722880,444,444
1493726478,444,444
1493733677,443,443
1493737279,442,442
1493740879,439,439
1493744476,434,434
1493748077,451,451
1493751679,455,455
1493755279,454,454
1493758880,457,457
1493762478,456,456
1493766078,455,455
1493769679,454,454
1493773278,455,455
1493776877,443,443
1493780478,440,440
1493784076,441,441
1493787676,437,437
1493791276,434,434
1493794877,435,435
1493802078,434,434
1493805674,431,431
1493809278,429,429
1493812876,426,426
1493816477,424,424
1493820076,426,426
1493827276,425,425
1493830880,427,427
1493834478,426,426
1493838078,425,425
1493841679,425,425
1493845279,425,425
1493848879,426,426
1493852475,429,429
1493856076,425,425
1493859676,425,425
1493866876,426,426
1493870478,426,426
1493877677,427,427
1493884877,428,428
1493888477,429,429
1493895676,429,429
1493899275,430,430
1493902876,429,429
