DateTime,AddedIPs,RemovedIPs
1493554912,110,138
1493558508,124,139
1493562109,118,121
1493565714,137,118
1493569311,106,136
1493572912,139,138
1493576506,121,130
1493580109,111,127
1493583711,105,126
1493587315,131,130
1493590908,112,113
1493594509,118,127
1493598113,114,106
1493601710,115,127
1493605302,97,148
1493608902,106,127
1493612511,103,112
1493616104,99,106
1493619701,102,117
1493623297,122,127
1493626898,103,161
1493630497,106,166
1493634090,116,149
1493637691,124,161
1493641291,121,144
1493644926,117,140
1493648479,133,143
1493652199,112,152
1493655687,106,142
1493659280,124,181
1493662882,132,178
1493666503,126,140
1493670132,132,155
1493673679,125,132
1493677278,107,107
1493680889,128,127
1493684498,121,122
1493688082,98,109
1493691672,107,128
1493695283,124,130
1493698899,120,117
1493702485,109,123
1493706075,101,118
1493709674,123,131
1493713288,108,145
1493716883,128,129
1493720472,156,134
1493724116,108,145
1493727666,118,149
1493731268,135,167
1493734867,142,146
1493738497,138,154
1493742080,149,147
1493745667,134,146
1493749267,128,118
1493752884,114,141
1493756488,147,132
1493760073,144,120
1493763670,134,141
1493767277,126,126
1493770894,120,132
1493774479,147,115
1493778066,129,132
1493781674,144,112
1493785289,105,120
1493788883,191,124
1493792473,124,127
1493796073,128,136
1493799685,113,128
1493803286,124,136
1493806873,119,140
1493810477,127,160
1493814080,111,144
1493817714,142,141
1493821266,129,130
1493824867,110,134
1493828466,136,134
1493832096,122,134
1493835676,129,133
1493839266,129,131
1493842865,125,133
1493846483,125,146
1493850086,140,149
1493853664,102,141
1493857259,86,142
1493860863,107,150
1493864479,120,131
1493868061,125,168
1493871656,133,127
1493875253,141,158
1493878875,138,97
1493882471,136,66
1493886066,124,42
1493889673,134,27
1493893288,139,35
1493896899,133,43
1493900490,140,29
1493904095,124,20
1493907703,111,26
1493911324,121,15
1493914914,110,23
1493918516,103,19
1493922119,117,101
1493925723,119,144
1493929320,128,158
1493936508,191,259
1493940117,140,139
1493943715,103,128
1493947317,116,135
1493950918,131,118
1493954529,124,104
1493958122,125,113
1493961708,112,127
1493965302,119,120
1493968905,127,137
1493972512,102,106
1493976107,137,130
1493979706,130,119
1493983307,125,119
1493986911,110,143
1493990513,125,117
1493994110,129,105
1493997710,125,132
1494001309,118,146
1494004915,130,127
1494008512,144,125
1494012113,152,132
1494015721,129,141
1494019317,127,114
1494022912,99,155
1494026505,109,132
1494030105,118,103
1494033713,120,112
1494037312,112,92
1494040910,107,114
1494044511,105,101
1494048120,117,92
1494051718,123,113
1494055317,112,109
1494058921,92,103
1494062507,137,115
1494066116,192,114
1494069722,167,119
1494073322,177,100
1494076923,158,130
1494080528,157,125
1494084132,150,102
1494087729,149,107
1494091333,154,142
1494094927,161,159
1494098535,140,156
1494102137,153,179
1494105728,130,179
1494109326,141,172
1494112922,109,185
1494116524,121,148
1494120124,98,144
1494123723,114,144
1494127319,118,140
1494130921,112,145
1494134510,114,133
1494138106,116,136
1494141712,118,126
1494145306,128,99
1494148911,106,124
1494152503,110,135
1494156103,145,131
1494159706,130,124
1494163306,115,128
1494166910,123,125
1494170505,108,126
1494174108,130,111
1494177713,203,141
1494181313,178,139
1494184918,139,116
1494188516,154,113
1494192112,145,138
1494195716,136,117
1494199318,94,130
1494202921,116,120
1494206518,90,120
1494210121,122,101
1494213716,115,113
1494217316,93,109
1494220917,95,103
1494224515,112,111
1494228118,101,117
1494231713,105,108
1494235317,105,122
1494238922,227,111
1494242533,245,112
1494246137,166,121
1494249735,137,110
1494253338,146,134
1494256933,91,119
1494260531,114,123
1494264133,113,107
1494267734,111,136
1494271331,110,114
1494274930,105,137
1494278531,107,131
1494282127,115,111
1494285730,119,128
1494289332,109,107
1494292929,98,98
1494296531,98,109
1494300127,100,116
1494303726,116,135
1494307326,116,105
1494310923,99,107
1494314523,103,116
1494318123,95,113
1494321721,116,120
1494325319,102,142
1494328921,117,112
1494332524,165,119
1494336127,148,108
1494339728,144,141
1494343328,98,132
1494346926,141,162
1494350524,120,151
1494354129,129,139
1494357724,123,130
1494361320,122,134
1494364921,112,133
1494368518,115,132
1494372114,99,109
1494375713,112,138
1494379314,110,133
1494382913,107,123
1494386521,94,147
1494390109,102,103
1494393704,94,175
1494397304,89,118
1494400906,100,110
1494404500,103,116
1494408100,103,123
1494411699,121,142
1494415304,266,132
1494418917,278,110
1494422525,312,137
1494426136,262,122
1494429741,203,104
1494433347,277,141
1494436958,250,112
1494440566,268,119
1494444175,254,119
1494447774,159,129
1494451375,144,123
1494454974,127,130
1494458584,143,109
1494462180,117,97
1494465778,115,110
1494469376,116,130
1494472975,107,138
1494476573,104,130
1494480166,102,128
1494483770,118,132
1494487372,107,138
1494490969,124,147
1494494572,88,123
1494498168,105,147
1494501768,99,127
1494505373,110,146
1494508964,122,131
1494512568,117,134
1494516169,122,133
1494519776,120,107
1494523362,139,107
1494526960,141,124
1494530563,141,118
1494534159,133,131
1494537765,115,108
1494541366,151,113
1494544960,106,129
1494548564,124,105
1494552161,113,111
1494555763,123,112
1494559368,124,123
1494562971,113,115
1494566571,108,114
1494570166,107,108
