DateTime,AddedIPs,RemovedIPs
1493601663,93,119
1493605249,85,143
1493608850,94,121
1493612460,100,107
1493616059,87,101
1493619652,90,112
1493623252,109,122
1493626851,96,155
1493630449,96,161
1493634049,100,144
1493637649,104,158
1493641252,105,131
1493644874,105,127
1493648440,112,130
1493652128,94,138
1493655651,91,125
1493659243,112,159
1493662846,112,159
1493666467,112,127
1493670068,107,134
1493673629,97,121
1493677223,89,103
1493680832,108,122
1493684432,112,115
1493688015,92,107
1493691610,99,123
1493695222,111,112
1493698840,109,106
1493702416,106,102
1493706015,90,112
1493709622,120,111
1493713242,100,134
1493716841,117,116
1493720432,143,120
1493724054,103,119
1493727610,107,135
1493731211,120,150
1493734803,127,109
1493738444,108,134
1493742022,129,127
1493745614,109,118
1493749218,112,101
1493752833,97,124
1493756438,125,113
1493760019,123,100
1493763618,116,122
1493767222,112,108
1493770834,88,110
1493774418,123,86
1493778009,111,121
1493781629,126,97
1493785244,91,100
1493788831,178,106
1493792417,109,114
1493796012,119,123
1493799632,102,119
1493803229,109,122
1493806819,108,129
1493810418,112,153
1493814025,102,127
1493817647,117,129
1493821213,110,112
1493824811,100,120
1493828400,123,108
1493832056,109,114
1493835633,111,121
1493839240,116,114
1493842837,113,116
1493846453,113,118
1493850036,131,133
1493853619,100,123
1493857209,79,119
1493860815,98,130
1493864430,98,117
1493868012,113,152
1493871615,127,111
1493875210,131,139
1493878833,124,87
1493882421,125,51
1493886010,111,40
1493889627,113,28
1493893245,123,30
1493896843,113,41
1493900438,112,21
1493904037,112,24
1493907648,98,22
1493911275,108,17
1493914863,98,16
1493918460,84,17
1493922071,98,85
1493925676,102,124
1493929268,107,133
1493936456,169,229
1493940064,120,124
1493943665,95,111
1493947273,100,122
1493950876,117,107
1493954485,107,101
1493958076,111,102
1493961657,92,124
1493965245,100,108
1493968850,111,131
1493972460,95,103
1493976059,116,121
1493979650,104,112
1493983248,109,112
1493986856,97,126
1493990456,111,108
1493994046,96,96
1493997644,105,113
1494001246,101,114
1494004857,107,112
1494008449,115,115
1494012048,134,113
1494015655,113,119
1494019252,110,106
1494022848,92,133
1494026440,103,114
1494030038,110,88
1494033650,108,98
1494037251,100,79
1494040856,95,99
1494044450,90,90
1494048072,103,82
1494051674,110,104
1494055261,100,90
1494058864,86,92
1494062454,121,103
1494066061,171,103
1494069654,151,105
1494073265,154,91
1494076856,137,119
1494080455,144,109
1494084053,131,95
1494087656,132,101
1494091261,134,127
1494094867,145,142
1494098468,122,135
1494102079,131,157
1494105669,114,161
1494109260,116,153
1494112860,92,173
1494116458,109,126
1494120057,83,134
1494123654,98,128
1494127257,107,126
1494130888,103,132
1494134447,91,120
1494138042,95,115
1494141662,106,113
1494145253,116,91
1494148856,103,105
1494152450,108,120
1494156046,129,108
1494159647,109,108
1494163236,96,116
1494166849,108,109
1494170451,97,103
1494174049,125,88
1494177659,180,125
1494181253,159,118
1494184863,126,100
1494188466,135,98
1494192064,135,111
1494195671,120,104
1494199271,89,114
1494202873,100,107
1494206465,74,96
1494210064,101,86
1494213655,107,102
1494217257,88,103
1494220858,89,91
1494224455,94,102
1494228063,98,105
1494231653,97,97
1494235254,90,108
1494238862,213,95
1494242472,230,97
1494246076,149,106
1494249667,121,99
1494253273,128,117
1494256872,81,102
1494260472,93,105
1494264076,93,97
1494267679,94,112
1494271280,88,95
1494274878,86,110
1494278477,92,102
1494282079,100,92
1494285674,107,112
1494289269,92,100
1494292870,86,85
1494296471,91,99
1494300061,83,109
1494303660,94,117
1494307264,103,96
1494310856,89,92
1494314461,91,104
1494318060,90,106
1494321659,101,108
1494325256,94,131
1494328855,101,105
1494332463,122,108
1494336060,106,95
1494339656,115,123
1494343255,83,106
1494346854,108,138
1494350455,95,128
1494354056,110,118
1494357657,101,113
1494361254,105,115
1494364856,100,116
1494368455,94,117
1494372052,93,97
1494375649,94,105
1494379243,90,112
1494382845,89,103
1494386451,82,128
1494390043,98,92
1494393638,81,160
1494397235,83,103
1494400846,87,103
1494404437,90,107
1494408038,93,112
1494411639,100,131
1494415235,249,112
1494418854,268,102
1494422462,284,119
1494426070,242,108
1494429675,194,91
1494433283,259,123
1494436897,229,98
1494440503,253,100
1494444113,226,107
1494447709,130,120
1494451308,122,114
1494454909,108,123
1494458518,126,99
1494462135,97,89
1494465710,101,103
1494469307,98,105
1494472903,96,121
1494476508,95,123
1494480105,94,122
1494483699,100,109
1494487304,98,133
1494490897,116,135
1494494513,80,112
1494498107,94,132
1494501704,88,105
1494505305,109,115
1494508893,100,120
1494512500,104,121
1494516106,106,105
1494519713,105,97
1494523311,122,89
1494526904,118,106
1494530501,125,102
1494534099,117,110
1494537703,103,98
1494541302,127,102
1494544893,92,112
1494548491,107,103
1494552093,91,96
1494555694,109,98
1494559292,100,107
1494562899,101,99
1494566508,91,93
1494570094,98,94
1494573692,94,115
1494577280,101,99
1494580879,99,126
1494584493,105,102
1494588095,106,108
1494591697,129,97
1494595301,163,106
1494598906,132,94
1494602500,107,105
1494606101,113,97
1494609701,111,111
1494613312,93,117
1494616905,112,126
1494620516,98,110
1494624128,118,114
1494627700,114,92
1494631299,129,100
1494634899,121,101
1494638502,113,100
1494642109,115,102
1494645711,127,90
1494649328,126,90
1494652920,116,95
1494656515,119,108
1494660116,135,99
1494663707,124,95
1494667312,128,131
1494670908,105,164
1494674503,150,132
1494678104,130,151
1494681703,143,144
1494685303,211,127
1494688909,220,139
1494692511,191,131
1494696113,157,135
1494699723,177,130
1494703325,162,130
1494706927,156,110
