DateTime,Entries,UniqueIPs
1493562059,21704,21704
1493565679,21711,21711
1493569268,21668,21668
1493572877,21660,21660
1493576480,21655,21655
1493580084,21632,21632
1493583679,21603,21603
1493587290,21587,21587
1493590865,21580,21580
1493594463,21555,21555
1493598069,21552,21552
1493601663,21526,21526
1493605249,21468,21468
1493608850,21441,21441
1493612460,21434,21434
1493616059,21420,21420
1493619652,21398,21398
1493623252,21385,21385
1493626851,21326,21326
1493630449,21261,21261
1493634049,21217,21217
1493637649,21163,21163
1493641252,21137,21137
1493644874,21115,21115
1493648440,21097,21097
1493652128,21053,21053
1493655651,21019,21019
1493659243,20972,20972
1493662846,20925,20925
1493666467,20910,20910
1493670068,20883,20883
1493673629,20859,20859
1493677223,20845,20845
1493680832,20831,20831
1493684432,20828,20828
1493688015,20813,20813
1493691610,20789,20789
1493695222,20788,20788
1493698840,20791,20791
1493702416,20795,20795
1493706015,20773,20773
1493709622,20782,20782
1493713242,20748,20748
1493716841,20749,20749
1493720432,20772,20772
1493724054,20756,20756
1493727610,20728,20728
1493731211,20698,20698
1493734803,20716,20716
1493738444,20690,20690
1493742022,20692,20692
1493745614,20683,20683
1493749218,20694,20694
1493752833,20667,20667
1493756438,20679,20679
1493760019,20702,20702
1493763618,20696,20696
1493767222,20700,20700
1493770834,20678,20678
1493774418,20715,20715
1493778009,20705,20705
1493781629,20734,20734
1493785244,20725,20725
1493788831,20797,20797
1493792417,20792,20792
1493796012,20788,20788
1493799632,20771,20771
1493803229,20758,20758
1493806819,20737,20737
1493810418,20696,20696
1493814025,20671,20671
1493817647,20659,20659
1493821213,20657,20657
1493824811,20637,20637
1493828400,20652,20652
1493832056,20647,20647
1493835633,20637,20637
1493839240,20639,20639
1493842837,20636,20636
1493846453,20631,20631
1493850036,20629,20629
1493853619,20606,20606
1493857209,20566,20566
1493860815,20534,20534
1493864430,20515,20515
1493868012,20476,20476
1493871615,20492,20492
1493875210,20484,20484
1493878833,20521,20521
1493882421,20595,20595
1493886010,20666,20666
1493889627,20751,20751
1493893245,20844,20844
1493896843,20916,20916
1493900438,21007,21007
1493904037,21095,21095
1493907648,21171,21171
1493911275,21262,21262
1493914863,21344,21344
1493918460,21411,21411
1493922071,21424,21424
1493925676,21402,21402
1493929268,21376,21376
1493936456,21316,21316
1493940064,21312,21312
1493943665,21296,21296
1493947273,21274,21274
1493950876,21284,21284
1493954485,21290,21290
1493958076,21299,21299
1493961657,21267,21267
1493965245,21259,21259
1493968850,21239,21239
1493972460,21231,21231
1493976059,21226,21226
1493979650,21218,21218
1493983248,21215,21215
1493986856,21186,21186
1493990456,21189,21189
1493994046,21189,21189
1493997644,21181,21181
1494001246,21168,21168
1494004857,21163,21163
1494008449,21163,21163
1494012048,21184,21184
1494015655,21178,21178
1494019252,21182,21182
1494022848,21141,21141
1494026440,21130,21130
1494030038,21152,21152
1494033650,21162,21162
1494037251,21183,21183
1494040856,21179,21179
1494044450,21179,21179
1494048072,21200,21200
1494051674,21206,21206
1494055261,21216,21216
1494058864,21210,21210
1494062454,21228,21228
1494066061,21296,21296
1494069654,21342,21342
1494073265,21405,21405
1494076856,21423,21423
1494080455,21458,21458
1494084053,21494,21494
1494087656,21525,21525
1494091261,21532,21532
1494094867,21535,21535
1494098468,21522,21522
1494102079,21496,21496
1494105669,21449,21449
1494109260,21412,21412
1494112860,21331,21331
1494116458,21314,21314
1494120057,21263,21263
1494123654,21233,21233
1494127257,21214,21214
1494130888,21185,21185
1494134447,21156,21156
1494138042,21136,21136
1494141662,21129,21129
1494145253,21154,21154
1494148856,21152,21152
1494152450,21140,21140
1494156046,21161,21161
1494159647,21162,21162
1494163236,21142,21142
1494166849,21141,21141
1494170451,21135,21135
1494174049,21172,21172
1494177659,21227,21227
1494181253,21268,21268
1494184863,21294,21294
1494188466,21331,21331
1494192064,21355,21355
1494195671,21371,21371
1494199271,21346,21346
1494202873,21339,21339
1494206465,21317,21317
1494210064,21332,21332
1494213655,21337,21337
1494217257,21322,21322
1494220858,21320,21320
1494224455,21312,21312
1494228063,21305,21305
1494231653,21305,21305
1494235254,21287,21287
1494238862,21405,21405
1494242472,21538,21538
1494246076,21581,21581
1494249667,21603,21603
1494253273,21614,21614
1494256872,21593,21593
1494260472,21581,21581
1494264076,21577,21577
1494267679,21559,21559
1494271280,21552,21552
1494274878,21528,21528
1494278477,21518,21518
1494282079,21526,21526
1494285674,21521,21521
1494289269,21513,21513
1494292870,21514,21514
1494296471,21506,21506
1494300061,21480,21480
1494303660,21457,21457
1494307264,21464,21464
1494310856,21461,21461
1494314461,21448,21448
1494318060,21432,21432
1494321659,21425,21425
1494325256,21388,21388
1494328855,21384,21384
1494332463,21398,21398
1494336060,21409,21409
1494339656,21401,21401
1494343255,21378,21378
1494346854,21348,21348
1494350455,21315,21315
1494354056,21307,21307
1494357657,21295,21295
1494361254,21285,21285
1494364856,21269,21269
1494368455,21246,21246
1494372052,21242,21242
1494375649,21231,21231
1494379243,21209,21209
1494382845,21195,21195
1494386451,21149,21149
1494390043,21155,21155
1494393638,21076,21076
1494397235,21056,21056
1494400846,21040,21040
1494404437,21023,21023
1494408038,21004,21004
1494411639,20973,20973
1494415235,21110,21110
1494418854,21276,21276
1494422462,21441,21441
1494426070,21575,21575
1494429675,21678,21678
1494433283,21814,21814
1494436897,21945,21945
1494440503,22098,22098
1494444113,22217,22217
1494447709,22227,22227
1494451308,22235,22235
1494454909,22220,22220
1494458518,22247,22247
1494462135,22255,22255
1494465710,22253,22253
1494469307,22246,22246
1494472903,22221,22221
1494476508,22193,22193
1494480105,22165,22165
1494483699,22156,22156
