DateTime,AddedIPs,RemovedIPs
1493560903,13,3
1493564501,11,6
1493568105,5,1
1493571704,5,5
1493575305,7,2
1493578904,4,4
1493582504,10,2
1493586105,11,7
1493589704,4,3
1493593305,4,0
1493596905,7,0
1493600506,4,1
1493604105,1,1
1493607705,3,1
1493611305,1,1
1493614907,6,2
1493618506,1,2
1493622105,5,1
1493625707,5,1
1493629307,7,1
1493632906,8,7
1493636505,9,6
1493640107,5,5
1493643711,4,6
1493647304,2,8
1493650905,5,9
1493654509,9,7
1493658105,11,5
1493661706,15,6
1493665304,14,6
1493668891,7,5
1493672499,9,8
1493676102,6,5
1493679697,4,4
1493683296,6,0
1493686906,3,4
1493690508,2,4
1493694108,3,6
1493697708,7,1
1493701308,5,11
1493704909,6,1
1493708510,4,11
1493712108,6,14
1493715710,8,6
1493719310,5,4
1493722914,7,4
1493726509,5,9
1493730109,8,4
1493733707,9,4
1493737311,9,7
1493740912,5,6
1493744508,6,3
1493748108,9,3
1493751711,9,13
1493755312,8,2
1493758912,4,10
1493762509,5,5
1493766111,2,6
1493769712,1,5
1493773310,4,5
1493776909,7,4
1493780510,0,2
1493784106,2,5
1493787708,3,1
1493791308,1,6
1493794909,9,8
1493798509,4,6
1493802110,4,4
1493805702,9,5
1493809311,13,7
1493812909,6,5
1493816512,11,6
1493820110,7,5
1493823710,6,4
1493827309,6,5
1493830915,20,5
1493834511,3,19
1493838111,9,13
1493841711,2,17
1493845310,6,13
1493848910,3,11
1493852506,4,10
1493856108,3,6
1493859706,3,5
1493863306,1,38
1493866907,2,5
1493870507,2,3
1493874102,1,9
1493877706,6,11
1493881307,5,7
1493884907,7,3
1493888505,5,9
1493892106,7,7
1493895705,4,4
1493899307,3,2
1493902906,5,1
1493906506,5,1
1493910107,5,4
1493913708,5,4
1493917309,35,4
1493920908,5,6
1493924481,8,10
1493928083,5,10
1493931696,3,7
1493935278,6,3
1493938879,2,0
1493942481,3,3
1493946097,3,1
1493949694,2,3
1493953282,1,2
1493956891,6,2
1493960484,2,5
1493964086,6,6
1493967695,5,1
1493971278,4,5
1493974894,7,7
1493978481,7,7
1493982092,4,8
1493985680,7,8
1493989294,8,2
1493992877,5,5
1493996504,10,7
1494000081,6,5
1494003685,7,10
1494007281,3,8
1494010880,19,18
1494014482,6,5
1494018101,6,9
1494021688,2,17
1494025279,2,7
1494028876,5,3
1494032502,15,11
1494036079,5,5
1494039682,6,3
1494043280,7,4
1494046871,11,4
1494050479,4,6
1494054079,1,5
1494057686,4,2
1494061287,4,2
1494064881,6,10
1494068504,7,6
1494072081,16,5
1494075695,30,3
1494079294,17,2
1494082884,11,6
1494086496,11,8
1494090083,5,6
1494093680,6,4
1494097283,5,5
1494100880,3,3
1494104484,9,3
1494108085,3,3
1494111683,4,4
1494115283,3,2
1494118882,2,4
1494122485,2,6
1494126083,4,1
1494129682,3,0
1494133284,1,2
1494136884,3,2
1494140481,2,2
1494144083,9,6
1494147680,3,1
1494151284,5,6
1494154883,10,8
1494158486,7,11
1494162096,14,7
1494165679,5,8
1494169280,9,13
1494172888,8,6
1494176484,3,5
1494180083,6,8
1494183681,9,8
1494187279,3,9
1494190878,8,9
1494194491,3,5
1494198073,5,3
1494201712,4,5
1494205311,9,4
1494208911,3,3
1494212508,1,2
1494216111,1,1
1494219712,2,3
1494223310,4,3
1494226909,4,7
1494230507,5,8
1494234109,4,7
1494237712,5,7
1494241311,6,7
1494244909,6,6
1494248511,4,3
1494252109,9,4
1494255711,3,6
1494259311,5,11
1494262909,7,12
1494266509,6,12
1494270111,5,12
1494273711,2,12
1494277307,5,9
1494280909,3,4
1494284501,0,8
1494288111,1,5
1494291708,4,6
1494295310,3,5
1494298908,0,1
1494302508,3,7
1494306106,2,10
1494309708,2,3
1494313305,2,3
1494316910,3,4
1494320511,5,8
1494324111,5,6
1494327710,8,11
1494331310,3,6
1494334909,2,4
1494338510,6,5
1494342111,6,11
1494345709,7,4
1494349310,1,6
1494352909,6,8
1494356509,7,16
1494360109,5,4
1494363719,5,7
1494367309,6,3
1494370908,3,2
1494374509,0,2
1494378109,2,4
1494381710,1,1
1494385310,3,4
1494388908,2,1
1494392507,2,3
1494396108,3,2
1494399708,6,5
1494403308,3,3
1494406908,7,8
1494410509,6,8
1494414108,4,5
1494417709,5,9
1494421307,8,9
1494424908,6,7
1494428508,3,7
1494432107,5,8
1494435708,12,10
1494439305,7,2
1494442904,6,5
1494446505,3,2
1494450103,2,6
1494453706,8,1
1494457304,1,5
1494460904,3,2
1494464503,1,3
1494468102,2,4
1494471697,0,4
1494475300,4,2
1494478902,2,2
1494482499,4,9
1494486103,5,4
1494489699,5,4
1494493302,1,2
1494496899,2,9
1494500501,3,3
1494504097,3,5
1494507701,5,3
1494511301,3,7
1494514904,11,4
1494518507,7,3
1494522098,4,8
1494525702,1,2
1494529300,6,8
1494532902,5,6
1494536504,12,3
1494540100,6,5
1494543703,2,1
1494547300,2,3
1494550896,2,3
1494554465,3,4
1494558063,2,0
1494561662,2,5
1494565263,5,28
1494568862,2,3
1494572461,1,6
1494576061,7,6
1494579660,2,5
1494583260,4,8
1494586861,2,3
1494590460,4,5
1494594058,4,8
1494597706,7,7
1494601306,4,7
1494604907,4,7
1494608508,4,5
1494612104,10,7
1494615705,6,15
1494619304,3,6
1494622888,6,3
1494626510,2,5
1494630109,0,1
1494633710,4,5
1494637308,4,5
1494640908,0,3
1494644509,7,5
1494648097,2,7
1494651711,7,5
1494655310,3,2
1494658914,1,2
1494662513,6,6
1494666109,2,4
1494669712,3,3
1494673309,4,5
1494676907,7,8
1494680512,1,11
1494684108,4,7
1494687710,9,26
1494691307,3,31
1494694906,5,11
1494698506,4,5
1494702108,4,3
1494705707,3,4
1494709305,8,8
1494712905,2,3
1494716506,4,5
1494720103,3,1
1494723705,0,4
1494727252,1,3
1494730854,2,4
1494734453,1,2
1494738054,4,3
1494741652,6,5
1494745252,4,3
1494748852,3,7
1494752452,2,7
1494756053,6,5
1494759651,10,12
1494763251,2,6
1494766855,8,15
1494770452,7,5
1494774053,6,7
1494777653,1,4
1494781253,5,2
1494784851,0,7
1494788452,8,11
1494792054,1,3
1494795651,4,11
1494799252,7,2
1494802851,2,6
1494806452,3,4
1494810052,2,6
1494813652,9,3
1494817254,1,7
1494820854,0,1
1494824452,3,1
1494828055,5,3
1494831653,0,6
1494835255,1,4
1494838854,1,4
1494842453,4,2
1494846054,2,7
1494849661,2,7
1494853253,6,3
1494856852,2,10
1494860451,2,2
1494864054,5,8
1494867652,8,9
1494871251,5,4
1494874852,4,5
1494878454,2,5
1494882053,4,2
1494885653,4,5
1494889256,6,1
1494892850,1,3
1494896451,0,4
1494900052,2,3
1494903652,3,1
1494907252,3,5
1494910852,1,0
1494914452,2,3
1494918052,2,4
1494921653,5,4
1494925253,4,0
1494928851,1,4
1494932460,0,6
1494936051,3,4
1494939652,1,2
1494943252,4,4
1494946851,5,5
1494950452,7,7
1494954052,6,6
1494957660,4,4
1494961257,3,5
1494964851,0,8
1494968452,1,3
1494972050,3,6
1494975651,0,3
1494979251,3,3
1494982850,4,2
1494986451,3,1
1494990050,1,5
1494993652,5,2
1494997251,3,3
1495000851,4,2
1495004452,3,5
1495008053,4,3
1495011653,6,3
1495015252,5,8
1495018851,7,4
1495022454,0,3
1495026051,4,5
