DateTime,AddedIPs,RemovedIPs
1493609763,72,79
1493615523,73,68
1493617442,90,67
1493621283,48,39
1493625123,48,46
1493628963,52,47
1493632806,45,43
1493636643,80,87
1493638563,145,119
1493642404,53,36
1493646242,76,48
1493650083,53,53
1493653922,46,50
1493658007,52,47
1493659923,41,51
1493663762,52,46
1493667603,48,41
1493671444,28,50
1493675522,39,51
1493679363,38,49
1493683207,71,62
1493685122,35,49
1493689204,65,57
1493693043,95,86
1493696883,101,82
1493700722,65,83
1493706483,90,47
1493708410,57,49
1493712484,55,41
1493714403,48,46
1493718243,56,52
1493722083,53,46
1493725922,48,46
1493730008,39,47
1493731922,80,45
1493735762,43,64
1493739843,54,48
1493743922,60,59
1493747763,57,59
1493751609,74,62
1493753523,22,4242
1493755442,4207,0
1493757362,67,61
1493761203,52,69
1493767203,107,126
1493775122,111,128
1493780884,85,100
1493782804,86,132
1493786642,107,67
1493790722,75,60
1493796483,48,56
1493798425,38,48
1493800563,46,50
1493804404,45,44
1493808243,47,38
1493812084,56,55
1493815923,57,38
1493821684,68,57
1493823605,57,53
1493825522,66,65
1493827682,65,66
1493829604,123,101
1493833442,59,67
1493837282,104,117
1493839202,149,128
1493843043,54,60
1493844963,69,60
1493848809,50,62
1493850963,67,93
1493855043,74,60
1493858882,35,57
1493862722,71,71
1493868723,176,191
1493872562,75,78
1493876645,76,54
1493880483,46,44
1493884323,46,48
1493888164,61,44
1493892013,49,34
1493893923,47,37
1493897762,59,41
1493901843,45,58
1493905683,50,48
1493909522,61,32
1493911684,604,632
1493913610,632,604
1493915523,113,97
1493919362,55,67
1493923204,46,53
1493927043,65,71
1493930883,57,68
1493934722,44,85
1493938563,54,67
1493942413,72,54
1493944322,42,1792
1493946242,1749,0
1493948162,69,72
1493952004,85,91
1493957763,96,93
1493961842,71,79
1493963763,81,70
1493967610,49,55
1493969522,31,45
1493973362,60,39
1493977203,46,37
1493981042,48,54
1493985122,42,42
1493988964,51,55
1493992809,52,50
1493996885,47,61
1493998804,52,47
1494002643,57,54
1494006722,54,57
1494008643,126,94
1494010564,63,59
1494014408,52,58
1494016322,52,70
1494020402,53,72
1494024482,48,61
1494028323,76,61
1494032169,38,58
1494036009,69,61
1494037923,77,86
1494039843,2,0
1494041763,96,102
1494045604,69,72
1494049443,80,57
1494053283,43,38
1494057122,53,51
1494060964,49,44
1494064813,48,40
1494066724,57,48
1494070563,48,57
1494072723,98,83
1494074644,50,49
1494078483,55,64
1494082323,42,45
1494086163,59,49
1494090009,52,48
1494094083,53,48
1494096002,48,64
1494099843,65,61
1494103683,52,57
1494107523,47,61
1494109444,61,47
1494111611,71,109
1494113522,69,62
1494117363,34,54
1494121203,68,71
1494125044,82,85
1494128883,94,100
1494132723,69,72
1494136809,71,52
1494140643,46,43
1494142562,49,39
1494146403,58,54
1494148327,54,49
1494150243,49,54
1494152163,54,49
1494154083,58,47
1494157922,56,59
1494161763,49,42
1494165605,47,43
1494167523,64,50
