DateTime,Entries,UniqueIPs
1493621283,6995,6995
1493625123,6997,6997
1493628963,7002,7002
1493632806,7004,7004
1493636643,6997,6997
1493638563,7023,7023
1493642404,7040,7040
1493646242,7068,7068
1493650083,7068,7068
1493653922,7064,7064
1493658007,7069,7069
1493659923,7059,7059
1493663762,7065,7065
1493667603,7072,7072
1493671444,7050,7050
1493675522,7038,7038
1493679363,7027,7027
1493683207,7036,7036
1493685122,7022,7022
1493689204,7030,7030
1493693043,7039,7039
1493696883,7058,7058
1493700722,7040,7040
1493706483,7083,7083
1493708410,7091,7091
1493712484,7105,7105
1493714403,7107,7107
1493718243,7111,7111
1493722083,7118,7118
1493725922,7120,7120
1493730008,7112,7112
1493731922,7147,7147
1493735762,7126,7126
1493739843,7132,7132
1493743922,7133,7133
1493747763,7131,7131
1493751609,7143,7143
1493753523,2923,2923
1493755442,7130,7130
1493757362,7136,7136
1493761203,7119,7119
1493767203,7100,7100
1493775122,7083,7083
1493780884,7068,7068
1493782804,7022,7022
1493786642,7062,7062
1493790722,7077,7077
1493796483,7069,7069
1493798425,7059,7059
1493800563,7055,7055
1493804404,7056,7056
1493808243,7065,7065
1493812084,7066,7066
1493815923,7085,7085
1493821684,7096,7096
1493823605,7100,7100
1493825522,7101,7101
1493827682,7100,7100
1493829604,7122,7122
1493833442,7114,7114
1493837282,7101,7101
1493839202,7122,7122
1493843043,7116,7116
1493844963,7125,7125
1493848809,7113,7113
1493850963,7087,7087
1493855043,7101,7101
1493858882,7079,7079
1493862722,7079,7079
1493868723,7064,7064
1493872562,7061,7061
1493876645,7083,7083
1493880483,7085,7085
1493884323,7083,7083
1493888164,7100,7100
1493892013,7115,7115
1493893923,7125,7125
1493897762,7143,7143
1493901843,7130,7130
1493905683,7132,7132
1493909522,7161,7161
1493911684,7133,7133
1493913610,7161,7161
1493915523,7177,7177
1493919362,7165,7165
1493923204,7158,7158
1493927043,7152,7152
1493930883,7141,7141
1493934722,7100,7100
1493938563,7087,7087
1493942413,7105,7105
1493944322,5355,5355
1493946242,7104,7104
1493948162,7101,7101
1493952004,7095,7095
1493957763,7098,7098
1493961842,7090,7090
1493963763,7101,7101
