DateTime,Entries,UniqueIPs
1494022809,314120,325096
1494027008,314121,325097
1494032409,314122,325098
1494034508,314123,325099
1494038108,314124,325100
1494059408,314125,325101
1494065408,314126,325102
1494069008,314127,325103
1494069608,314126,325102
1494070809,314127,325103
1494074709,314128,325104
1494075008,314130,325106
1494075609,314131,325107
1494075908,314132,325108
1494090008,314133,325110
1494093609,314133,325111
1494094208,314134,325112
1494096609,314136,325115
1494109808,314137,325116
1494110409,314138,325117
1494126308,314137,325116
1494128709,314137,325117
1494130208,314136,325116
1494134713,314137,325117
1494136808,314138,325118
1494142209,314139,325119
1494148809,314140,325120
1494150908,314142,325122
1494151208,314145,325125
1494151508,314148,325128
1494151808,314150,325130
1494152108,314152,325132
1494152709,314153,325133
1494153608,314155,325135
1494153908,314157,325137
1494154508,314158,325139
1494157208,314159,325140
1494159307,314160,325141
1494160208,314161,325142
1494161108,314161,325142
1494162909,314162,325143
1494164108,314162,325144
1494165008,314161,325143
1494166208,314165,325147
1494166809,314174,325156
1494167108,314178,325161
1494167409,314182,325165
1494167708,314184,325167
1494168308,314185,325168
1494169209,314188,325171
1494169508,314188,325172
1494169808,314189,325173
1494170108,314190,325174
1494171008,314194,325178
1494171308,314195,325179
1494171608,314197,325181
1494174008,314196,325180
1494176108,314197,325181
1494177008,314198,325182
1494179108,314199,325183
1494179707,314200,325184
1494180008,314201,325185
1494180308,314204,325188
1494180608,314205,325189
1494182408,314207,325191
1494184808,314209,325193
1494188408,314210,325194
1494192609,314210,325193
1494197708,314211,325194
1494201308,314212,325195
1494205208,314213,325196
1494206108,314215,325198
1494206409,314214,325197
1494207908,314215,325198
1494208208,314216,325199
1494208508,314217,325200
1494209408,314217,325201
1494210907,314216,325200
1494211508,314217,325201
1494211808,314218,325202
1494213009,314224,325208
1494213309,314228,325212
1494214508,314230,325214
1494215109,314231,325215
1494224408,314230,325214
1494225308,314231,325215
1494227109,314230,325214
1494227408,314229,325213
1494227708,314230,325214
1494228608,314231,325215
1494229209,314232,325216
1494246608,314233,325217
1494248708,314232,325216
1494252607,314233,325217
