DateTime,AddedIPs,RemovedIPs
1491715209,0,1
1491718509,0,1
1491720309,0,1
1491736809,0,1
1491762609,0,1
1491762908,0,1
1491763209,0,1
1491767110,1,0
1491770708,7,0
1491772510,8,0
1491795909,0,1
1491816308,0,1
1491854708,0,1
1491855908,6,0
1491857710,37,0
1491878708,0,1
1491927909,0,1
1491933008,0,1
1491945908,0,1
1491978310,0,1
1491994209,0,1
1491999009,0,1
1492017307,0,1
1492018808,0,1
1492020009,0,3
1492021809,0,1
1492022410,0,1
1492033509,0,1
1492036508,0,1
1492062909,0,1
1492093508,0,2
1492093809,0,1
1492095008,0,1
1492095308,0,2
1492095609,0,1
1492095909,0,3
1492096809,0,4
1492098909,0,1
1492113309,0,1
1492156811,0,1
1492199708,0,1
1492200008,0,1
1492200609,0,2
1492218008,0,1
1492239309,0,1
1492266908,0,1
1492273508,0,2
1492302009,0,1
1492323911,0,1
1492342508,18,0
1492365608,0,1
1492377608,0,1
1492378509,0,1
1492396509,0,1
1492422308,0,1
1492444508,0,2
1492444808,0,1
1492452608,8,0
1492453208,44,0
1492453810,52,0
1492454409,38,0
1492454708,2,0
1492455308,6,0
1492459810,0,1
1492462809,0,1
1492463708,0,1
1492464009,0,1
1492464308,0,1
1492464611,0,2
1492467009,0,1
1492473008,0,1
1492473609,0,1
1492475409,0,1
1492483208,0,1
1492497308,0,1
1492504810,0,1
1492505409,0,1
1492507209,0,1
1492508108,0,1
1492508408,0,2
1492508710,0,1
1492521008,0,1
1492521308,0,2
1492521609,0,1
1492521909,0,1
1492523709,0,1
1492524608,0,2
1492524908,0,1
1492525209,0,1
1492525509,0,1
1492525810,0,2
1492526109,0,1
1492531209,0,1
1492531509,0,1
1492532108,2,0
1492533011,0,1
1492539009,0,1
1492540809,0,1
1492541409,0,1
1492560608,0,1
1492579510,0,2
1492580409,0,1
1492595109,0,1
1492598408,0,1
1492601110,0,1
1492606809,0,1
1492610108,0,1
1492617309,0,1
1492637709,0,1
1492638008,0,1
1492639809,0,1
1492646709,0,1
1492672510,0,1
1492724708,0,1
1492745109,0,1
1492758609,0,1
1492782009,0,1
1492785008,0,1
1492788608,0,1
1492790708,0,1
1492803608,0,1
1492805709,0,1
1492808709,36,0
1492810208,26,0
1492810508,24,0
1492810809,10,0
1492811109,1,0
1492811408,1,0
1492811708,1,0
1492812309,0,1
1492812909,0,2
1492813509,0,2
1492818009,0,1
1492845009,0,1
1492875609,0,1
1492887009,0,1
1492897508,0,1
1492901709,0,1
1492906809,0,1
1492907411,0,2
1492908008,0,1
1492908309,0,1
1492908908,0,1
1492909208,0,1
1492912809,0,1
1492934708,0,1
1492935009,0,1
1492956608,0,1
1492957810,0,1
1492958408,0,1
1492961708,0,1
1492965909,0,1
1492990509,0,1
1493025908,0,1
1493034009,0,1
1493042109,0,1
1493043008,0,1
1493046909,0,1
1493052309,0,1
1493056809,0,1
1493059809,0,1
1493062509,0,1
1493064308,0,1
1493083809,0,1
1493091009,0,1
1493093708,0,1
1493098508,0,1
1493121009,0,1
1493124908,0,1
1493131808,0,1
1493157308,0,1
1493178608,0,1
1493187009,0,1
1493200508,0,1
1493243709,0,1
1493255709,0,1
1493272508,0,1
1493286308,0,2
1493298009,0,1
1493312708,0,3
1493313309,0,2
1493313609,0,4
1493313909,0,1
1493314809,0,1
1493317809,0,1
1493318408,0,1
1493320209,0,1
1493321409,4,0
1493322309,37,0
1493331009,0,1
1493353209,0,1
1493359208,0,1
1493378108,0,1
1493380209,0,1
1493395809,0,1
1493397910,0,2
1493399409,0,1
1493402710,32,0
1493403308,29,0
1493404508,0,1
1493404810,0,2
1493405109,0,1
1493406008,0,1
1493406309,0,1
1493406609,0,1
1493409308,0,1
1493409909,0,2
1493410809,0,1
1493411109,0,1
1493411409,0,1
1493415909,0,1
1493416209,0,1
1493424011,0,1
1493445308,0,1
1493455208,0,1
1493455809,0,1
1493456108,0,1
1493460309,0,1
1493478008,0,1
1493488509,0,1
1493488808,0,1
1493496909,0,1
1493500809,0,1
1493502909,0,1
1493508009,0,1
1493523909,0,1
1493542208,0,1
1493565608,0,1
1493571611,0,1
1493590209,26,0
1493590509,10,0
1493603409,0,1
1493605508,0,1
1493664008,0,1
1493676908,0,2
1493707510,0,1
1493707809,0,1
1493717709,0,1
1493720708,0,1
1493736909,0,1
1493744109,0,1
1493749209,0,1
1493757308,56,0
1493760008,0,1
1493770508,0,1
1493784309,0,1
1493823308,0,1
1493823608,0,1
1493831710,0,1
1493851208,0,1
1493874909,0,1
1493881210,0,1
1493889609,0,1
1493890809,0,1
1493891108,0,2
1493891412,0,2
1493892009,0,1
1493892308,0,2
1493893209,0,6
1493895009,0,1
1493895908,0,1
1493898908,0,1
1493899808,0,1
1493901609,0,1
1493902808,0,1
1493923209,0,1
1493936108,0,1
1493936409,0,2
1493940609,0,1
1493944208,0,1
1493952608,0,1
1493958309,0,1
1493982609,0,1
1493983508,0,2
1493987409,0,1
1493989211,0,1
1493992809,0,1
1494015608,0,1
1494015908,0,2
1494016208,0,1
1494019509,0,2
1494020109,0,2
1494020408,0,2
1494020709,0,1
1494021008,0,1
1494021309,0,1
1494023409,0,1
1494024309,0,2
1494024609,0,2
1494024909,0,2
1494025209,0,1
1494025809,0,1
1494056708,0,1
1494060308,0,1
1494062709,0,1
1494093308,0,1
1494096609,0,1
1494103810,0,1
1494154208,0,1
1494160810,0,1
1494162309,0,1
1494228009,0,1
1494252608,0,1
1494288908,0,1
1494298809,0,1
1494305408,0,1
1494335708,0,1
1494340809,0,1
1494341409,0,1
1494347114,0,1
1494369009,0,1
1494369308,0,1
1494372008,0,1
1494387308,0,1
1494402909,0,1
1494406209,0,1
1494423608,0,1
1494441008,0,1
1494447009,0,1
1494518708,0,1
1494533409,0,1
1494534608,0,1
1494538509,0,1
1494613209,0,1
1494614709,0,1
1494615008,0,5
1494615308,0,5
1494619209,0,1
1494624909,0,2
1494627609,0,1
1494635109,0,1
1494645911,0,1
1494674108,0,2
1494685209,0,1
1494685510,0,1
1494690909,0,1
1494695108,0,1
1494706809,0,1
1494726608,0,1
1494730508,0,1
1494755708,0,1
1494774310,0,1
1494792009,0,1
1494841509,0,2
1494864009,0,1
1494867909,0,1
1494869408,0,1
1494872109,14,0
1494872410,17,0
1494875109,3,0
1494880808,0,1
1494900008,0,1
1494903909,0,1
1494949809,0,1
1494957010,0,1
1494967809,0,1
1494968109,35,0
1494968409,15,0
1494968708,6,0
1494969010,46,1
1494969308,25,0
1494970508,28,0
1494970809,22,0
1494971709,22,0
1494972309,28,0
1494973208,26,0
1494991208,0,1
1494991510,0,1
1494992408,0,1
1494996908,0,1
1495023309,42,0
1495024208,6,0
1495031710,16,1
1495032008,10,0
1495034109,0,3
1495034408,0,1
1495034708,0,1
1495035009,0,1
1495035310,0,1
1495035909,0,1
1495036208,0,1
1495036508,0,2
1495036808,0,1
1495037109,0,1
1495037409,0,3
1495038010,0,1
1495038910,0,1
1495039808,0,1
1495048508,0,1
1495054208,0,2
1495054508,0,1
1495055109,0,1
1495055409,0,1
1495076409,0,1
1495077009,0,1
1495085409,0,1
1495090208,0,1
1495090509,0,2
1495090809,0,1
1495122309,0,3
1495122608,0,4
1495122909,0,3
1495123209,0,2
1495123509,0,1
1495123809,0,3
1495124109,0,2
1495124409,0,3
1495124709,0,2
1495125009,0,1
1495125609,0,3
1495130409,0,1
1495131008,0,2
1495131309,0,2
1495131609,0,1
1495133109,0,1
1495134309,0,1
1495142409,0,1
1495142714,0,1
1495143609,0,1
1495158908,0,2
1495159209,0,4
1495159509,0,4
1495159809,0,4
1495160109,0,3
1495160409,0,3
1495160709,0,1
1495166708,0,1
1495182909,0,2
1495183208,0,1
1495196409,0,1
1495199109,0,3
1495199409,0,1
1495204508,0,1
1495204808,0,1
1495205409,0,1
1495206008,0,1
1495207510,0,1
1495207809,0,1
1495245909,0,1
1495246508,0,1
1495247409,0,1
1495249809,0,1
1495254009,0,2
1495265409,0,1
1495267210,0,1
1495267809,0,1
1495269308,0,1
1495276210,0,1
1495277708,0,1
1495282809,0,1
1495287010,0,2
1495288508,0,1
1495315510,0,1
1495320009,0,3
1495330209,0,1
1495341909,0,1
1495345509,0,1
1495359909,0,2
1495360209,0,1
1495360808,0,1
1495361109,0,1
1495362008,0,1
1495362908,0,1
1495368909,0,1
1495370109,0,1
1495372209,0,2
1495373708,35,0
1495375208,99,0
1495375508,1,1
1495376409,2,0
1495377309,0,1
1495377909,0,2
1495378208,0,1
1495378809,29,1
1495379108,23,2
1495379408,16,1
1495379709,1,2
1495380009,6,1
1495380309,0,2
1495380609,1,2
1495380908,20,2
1495381208,22,3
1495381508,7,1
1495381808,14,2
1495382108,8,2
1495384210,5,0
1495384509,9,0
1495385109,17,0
1495386008,18,0
1495387508,16,0
1495387811,33,0
1495388709,11,0
1495389909,0,1
1495390508,21,0
1495390808,38,0
1495392009,1,0
1495395610,0,1
1495412709,1,0
1495413309,0,2
1495413609,0,2
