DateTime,Entries,UniqueIPs
1491499808,300299,309887
1491500409,300296,309884
1491502809,300295,309883
1491517509,300294,309882
1491523508,300293,309881
1491557409,300292,309880
1491575408,300291,309879
1491580810,300290,309878
1491585309,300289,309877
1491592209,300288,309876
1491594608,300287,309875
1491635109,300286,309874
1491644408,300284,309872
1491644709,300283,309871
1491655509,300282,309870
1491656109,300281,309869
1491659408,300279,309867
1491659709,300277,309865
1491663308,300276,309864
1491673509,300275,309863
1491690308,300274,309862
1491715209,300273,309861
1491718509,300272,309860
1491720309,300271,309859
1491736809,300270,309858
1491762609,300269,309857
1491762908,300268,309856
1491763209,300267,309855
1491767110,300268,309856
1491770708,300275,309863
1491772510,300283,309871
1491795909,300282,309870
1491816308,300281,309869
1491854708,300280,309868
1491855908,300286,309874
1491857710,300323,309911
1491878708,300322,309910
1491927909,300321,309909
1491933008,300320,309908
1491945908,300319,309907
1491978310,300319,309906
1491994209,300318,309905
1491999009,300317,309904
1492017307,300316,309903
1492018808,300315,309902
1492020009,300313,309899
1492021809,300312,309898
1492022410,300311,309897
1492033509,300310,309896
1492036508,300309,309895
1492062909,300308,309894
1492093508,300306,309892
1492093809,300305,309891
1492095008,300304,309890
1492095308,300302,309888
1492095609,300301,309887
1492095909,300298,309884
1492096809,300294,309880
1492098909,300293,309879
1492113309,300292,309878
1492156811,300291,309877
1492199708,300290,309876
1492200008,300289,309875
1492200609,300287,309873
1492218008,300286,309872
1492239309,300285,309871
1492266908,300284,309870
1492273508,300282,309868
1492302009,300281,309867
1492323911,300280,309866
1492342508,300298,309884
1492365608,300297,309883
1492377608,300296,309882
1492378509,300295,309881
1492396509,300294,309880
1492422308,300293,309879
1492444508,300291,309877
1492444808,300290,309876
1492452608,300298,309884
1492453208,300342,309928
1492453810,300394,309980
1492454409,300432,310018
1492454708,300434,310020
1492455308,300440,310026
1492459810,300439,310025
1492462809,300438,310024
1492463708,300437,310023
1492464009,300436,310022
1492464308,300435,310021
1492464611,300433,310019
1492467009,300432,310018
1492473008,300431,310017
1492473609,300430,310016
1492475409,300430,310015
1492483208,300429,310014
1492497308,300428,310013
1492504810,300427,310012
1492505409,300426,310011
1492507209,300425,310010
1492508108,300424,310009
1492508408,300422,310007
1492508710,300421,310006
1492521008,300420,310005
1492521308,300418,310003
1492521609,300417,310002
1492521909,300416,310001
1492523709,300415,310000
1492524608,300413,309998
1492524908,300412,309997
1492525209,300411,309996
1492525509,300410,309995
1492525810,300408,309993
1492526109,300407,309992
1492531209,300406,309991
1492531509,300405,309990
1492532108,300407,309992
1492533011,300406,309991
1492539009,300405,309990
1492540809,300404,309989
1492541409,300403,309988
1492560608,300402,309987
1492579510,300400,309985
1492580409,300399,309984
1492595109,300398,309983
1492598408,300397,309982
1492601110,300396,309981
1492606809,300395,309980
1492610108,300394,309979
1492617309,300393,309978
1492637709,300392,309977
1492638008,300391,309976
1492639809,300390,309975
1492646709,300389,309974
1492672510,300388,309973
1492724708,300387,309972
1492745109,300386,309971
1492758609,300385,309970
1492782009,300384,309969
1492785008,300383,309968
1492788608,300382,309967
1492790708,300381,309966
1492803608,300380,309965
1492805709,300379,309964
1492808709,300415,310000
1492810208,300440,310026
1492810508,300464,310050
1492810809,300474,310060
1492811109,300475,310061
1492811408,300476,310062
1492811708,300477,310063
1492812309,300476,310062
1492812909,300474,310060
1492813509,300472,310058
1492818009,300472,310057
1492845009,300471,310056
1492875609,300470,310055
1492887009,300469,310054
1492897508,300468,310053
1492901709,300467,310052
1492906809,300466,310051
1492907411,300464,310049
1492908008,300463,310048
1492908309,300462,310047
1492908908,300461,310046
1492909208,300460,310045
1492912809,300459,310044
1492934708,300458,310043
1492935009,300457,310042
1492956608,300456,310041
1492957810,300455,310040
1492958408,300454,310039
1492961708,300453,310038
1492965909,300452,310037
1492990509,300451,310036
1493025908,300450,310035
1493034009,300449,310034
1493042109,300448,310033
1493043008,300447,310032
1493046909,300446,310031
1493052309,300445,310030
1493056809,300444,310029
1493059809,300443,310028
1493062509,300442,310027
1493064308,300441,310026
1493083809,300440,310025
1493091009,300439,310024
1493093708,300438,310023
1493098508,300437,310022
1493121009,300436,310021
1493124908,300435,310020
1493131808,300434,310019
1493157308,300433,310018
1493178608,300432,310017
1493187009,300431,310016
1493200508,300430,310015
1493243709,300429,310014
1493255709,300428,310013
1493272508,300428,310012
1493286308,300426,310010
1493298009,300425,310009
1493312708,300422,310006
1493313309,300420,310004
1493313609,300416,310000
1493313909,300415,309999
1493314809,300414,309998
1493317809,300413,309997
1493318408,300412,309996
1493320209,300411,309995
1493321409,300415,309999
1493322309,300452,310036
1493331009,300451,310035
1493353209,300450,310034
1493359208,300449,310033
1493378108,300448,310032
1493380209,300447,310031
1493395809,300446,310030
1493397910,300444,310028
1493399409,300443,310027
1493402710,300475,310059
1493403308,300504,310088
1493404508,300503,310087
1493404810,300501,310085
1493405109,300500,310084
1493406008,300499,310083
1493406309,300498,310082
1493406609,300497,310081
1493409308,300496,310080
1493409909,300494,310078
1493410809,300493,310077
1493411109,300492,310076
1493411409,300491,310075
1493415909,300490,310074
1493416209,300489,310073
1493424011,300488,310072
1493445308,300487,310071
1493455208,300486,310070
1493455809,300485,310069
1493456108,300484,310068
1493460309,300483,310067
1493478008,300482,310066
1493488509,300481,310065
1493488808,300480,310064
1493496909,300479,310063
1493500809,300478,310062
1493502909,300477,310061
1493508009,300476,310060
1493523909,300475,310059
1493542208,300474,310058
1493565608,300473,310057
1493571611,300473,310056
1493590209,300498,310082
1493590509,300508,310092
1493603409,300507,310091
1493605508,300506,310090
1493664008,300505,310089
1493676908,300503,310087
1493707510,300502,310086
1493707809,300501,310085
1493717709,300500,310084
1493720708,300499,310083
1493736909,300498,310082
1493744109,300497,310081
1493749209,300496,310080
1493757308,300552,310136
1493760008,300551,310135
1493770508,300550,310134
1493784309,300549,310133
1493823308,300548,310132
1493823608,300547,310131
1493831710,300546,310130
1493851208,300545,310129
1493874909,300544,310128
1493881210,300543,310127
1493889609,300542,310126
1493890809,300541,310125
1493891108,300539,310123
1493891412,300537,310121
1493892009,300536,310120
1493892308,300534,310118
1493893209,300528,310112
1493895009,300527,310111
1493895908,300526,310110
1493898908,300525,310109
1493899808,300524,310108
1493901609,300523,310107
1493902808,300522,310106
1493923209,300521,310105
1493936108,300520,310104
1493936409,300518,310102
1493940609,300517,310101
1493944208,300516,310100
1493952608,300515,310099
1493958309,300514,310098
1493982609,300513,310097
1493983508,300511,310095
1493987409,300510,310094
1493989211,300509,310093
1493992809,300508,310092
1494015608,300507,310091
1494015908,300505,310089
1494016208,300504,310088
1494019509,300502,310086
1494020109,300500,310084
1494020408,300498,310082
1494020709,300497,310081
1494021008,300496,310080
1494021309,300495,310079
1494023409,300494,310078
1494024309,300492,310076
1494024609,300490,310074
1494024909,300488,310072
1494025209,300487,310071
1494025809,300486,310070
1494056708,300485,310069
1494060308,300484,310068
1494062709,300483,310067
1494093308,300482,310066
1494096609,300482,310065
1494103810,300481,310064
1494154208,300480,310063
1494160810,300479,310062
1494162309,300478,310061
1494228009,300477,310060
1494252608,300476,310059
1494288908,300475,310058
1494298809,300474,310057
1494305408,300473,310056
1494335708,300472,310055
1494340809,300471,310054
1494341409,300470,310053
1494347114,300469,310052
1494369009,300468,310051
1494369308,300467,310050
1494372008,300466,310049
1494387308,300465,310048
1494402909,300464,310047
1494406209,300463,310046
1494423608,300462,310045
1494441008,300461,310044
1494447009,300460,310043
1494518708,300459,310042
1494533409,300458,310041
1494534608,300457,310040
1494538509,300456,310039
1494613209,300455,310038
1494614709,300454,310037
1494615008,300449,310032
1494615308,300450,310027
1494619209,300449,310026
1494624909,300447,310024
1494627609,300446,310023
1494635109,300445,310022
1494645911,300444,310021
1494674108,300442,310019
1494685209,300441,310018
1494685510,300440,310017
1494690909,300439,310016
1494695108,300439,310015
1494706809,300438,310014
1494726608,300437,310013
1494730508,300436,310012
1494755708,300435,310011
1494774310,300434,310010
1494792009,300433,310009
1494841509,300432,310007
1494864009,300431,310006
1494867909,300430,310005
1494869408,300429,310004
1494872109,300443,310018
1494872410,300460,310035
1494875109,300463,310038
1494880808,300462,310037
1494900008,300461,310036
1494903909,300460,310035
1494949809,300459,310034
1494957010,300458,310033
1494967809,300457,310032
1494968109,300491,310067
1494968409,300506,310082
1494968708,300511,310088
1494969010,300556,310133
1494969308,300581,310158
1494970508,300609,310186
1494970809,300631,310208
1494971709,300653,310230
1494972309,300681,310258
1494973208,300707,310284
1494991208,300706,310283
1494991510,300705,310282
1494992408,300704,310281
1494996908,300703,310280
1495023309,300744,310322
1495024208,300750,310328
1495031710,300762,310343
1495032008,300772,310353
1495034109,300769,310350
1495034408,300768,310349
1495034708,300767,310348
1495035009,300766,310347
1495035310,300765,310346
1495035909,300764,310345
1495036208,300763,310344
1495036508,300761,310342
1495036808,300760,310341
1495037109,300759,310340
1495037409,300756,310337
1495038010,300755,310336
1495038910,300754,310335
1495039808,300753,310334
1495048508,300752,310333
1495054208,300750,310331
