DateTime,Entries,UniqueIPs
1488766803,890,890
1488774484,890,890
1488782163,890,890
1488789843,890,890
1488797528,890,890
1488805204,890,890
1488812883,890,890
1488820818,889,889
1488828483,889,889
1488832325,889,889
1488840004,890,890
1488847684,890,890
1488855605,890,890
1488863523,891,891
1488871203,891,891
1488878883,891,891
1488886564,892,892
1488894243,891,891
1488898082,891,891
1488905764,891,891
1488913443,891,891
1488921123,890,890
1488928804,891,891
1488940322,892,892
1488948004,895,895
1488955682,894,894
1488959523,894,894
1488967211,894,894
1488975123,894,894
1488982805,894,894
1488990483,891,891
1488998163,891,891
1489005844,891,891
1489013523,890,890
1489021210,890,890
1489025282,891,891
1489032963,892,892
1489040644,892,892
1489048323,892,892
1489056004,892,892
1489063682,890,890
1489079284,890,890
1489083123,890,890
1489090807,890,890
1489098483,890,890
1489106163,889,889
1489113843,889,889
1489121524,889,889
1489129213,889,889
1489133042,889,889
1489140724,888,888
1489148417,888,888
1489164004,887,887
1489171684,888,888
1489179366,888,888
1489187043,889,889
1489194723,889,889
1489206244,889,889
1489213923,889,889
1489221604,890,890
1489229282,889,889
1489237205,888,888
1489244884,888,888
1489252563,888,888
1489260243,889,889
1489267922,889,889
1489271763,889,889
1489279443,889,889
1489287124,891,891
1489294806,896,896
1489302483,896,896
1489310162,895,895
1489317843,895,895
1489325522,895,895
1489333204,894,894
1489340883,896,896
1489348564,896,896
1489356243,896,896
1489363923,894,894
1489371604,894,894
1489379284,894,894
1489386964,893,893
1489394643,892,892
1489402323,892,892
1489414084,892,892
1489421763,892,892
1489429443,892,892
1489437123,892,892
1489444803,892,892
1489452484,892,892
1489460165,891,891
1489467843,891,891
1489475528,891,891
1489479363,891,891
1489494963,891,891
1489518004,891,891
1489525684,890,890
1489533609,890,890
1489541524,891,891
1489545363,890,890
1489553043,890,890
1489560724,889,889
1489576082,888,888
1489599137,887,887
1489602966,890,890
1489610644,889,889
1489618323,888,888
1489626005,888,888
1489633683,889,889
1489641362,889,889
1489649045,889,889
1489660562,889,889
1489680006,887,887
1489687684,888,888
1489695363,890,890
1489703284,891,891
1489710963,889,889
1489718643,888,888
1489722485,889,889
1489730163,889,889
1489741683,889,889
1489745523,889,889
1489760884,889,889
1489768562,889,889
1489776243,888,888
1489783924,888,888
1489795442,889,889
1489803123,888,888
1489810807,887,887
1489818483,888,888
1489826164,889,889
1489833843,887,887
1489841523,887,887
1489849206,887,887
1489857123,888,888
1489860963,890,890
1489868645,890,890
1489876326,889,889
1489884004,889,889
1489891682,891,891
1489899363,891,891
1489918813,891,891
1489926483,890,890
1489934163,890,890
1489941843,888,888
1489949523,888,888
1489957209,889,889
1489972803,888,888
1489980482,888,888
1489988176,888,888
1489992003,889,889
1489999683,889,889
1490007364,888,888
1490015284,888,888
1490023202,887,887
1490030883,886,886
1490038563,886,886
1490046244,886,886
1490061607,886,886
1490069283,885,885
1490077203,885,885
1490085124,886,886
1490092804,885,885
1490100483,886,886
1490104323,886,886
1490112006,886,886
1490119683,886,886
1490127363,886,886
1490135044,885,885
1490142728,883,883
1490150403,883,883
1490158082,884,884
1490165763,884,884
1490173443,884,884
1490177283,882,882
1490184963,882,882
1490215686,882,882
1490223364,882,882
1490242803,882,882
1490273523,882,882
1490281210,882,882
1490289123,881,881
1490292964,882,882
1490300644,882,882
1490316244,882,882
1490323923,882,882
1490331607,882,882
1490339284,883,883
1490346963,883,883
1490350803,883,883
1490366173,882,882
1490381524,882,882
1490389208,882,882
1490397123,882,882
1490405044,883,883
1490412723,883,883
1490416567,881,881
1490424243,881,881
1490431923,881,881
1490439609,881,881
1490454963,881,881
1490462645,881,881
1490470323,881,881
1490478003,881,881
1490485683,881,881
1490499123,881,881
1490507043,881,881
1490514729,881,881
1490526483,881,881
1490534403,881,881
1490549779,880,880
1490565123,880,880
1490576642,883,883
1490584323,882,882
1490592003,882,882
1490599684,882,882
1490611204,883,883
1490615043,883,883
1490630405,883,883
1490638084,883,883
1490645763,883,883
1490649603,883,883
1490672643,884,884
1490680323,885,885
1490691842,885,885
1490695684,885,885
1490707203,886,886
1490714883,886,886
1490722576,886,886
1490730243,881,881
