DateTime,Entries,UniqueIPs
1495368722,32047,39114
1495369383,32043,39110
1495369922,32110,39177
1495370521,32112,39180
1495371122,32111,39178
1495371732,32110,39178
1495371813,32108,39176
1495372321,32107,39175
1495372982,32102,39170
1495373522,32099,39167
1495373762,32145,39213
1495374122,32149,39216
1495374722,32151,39218
1495375684,32066,39133
1495376583,32052,39118
1495377122,32047,39114
1495377182,32047,39113
1495377604,32099,39165
1495377722,32105,39172
1495378321,32101,39167
1495378921,32099,39164
1495379521,32097,39164
1495380182,32099,39168
1495380721,32098,39168
1495381444,32106,39176
1495381922,32112,39182
1495382522,32119,39190
1495382553,32116,39187
1495383121,32092,39163
1495383363,32044,39115
1495383842,32051,39122
1495384322,32051,39123
1495384381,32050,39122
1495384922,32051,39123
1495385283,32096,39168
1495386154,32094,39166
1495386722,32087,39158
1495387204,32026,39097
1495387683,32037,39108
1495387925,32025,39095
1495388521,32028,39099
1495389122,32090,39161
1495389722,32093,39164
1495389753,32092,39163
1495390321,32095,39167
1495390922,32084,39156
1495391522,32081,39155
1495392121,32082,39156
1495392722,32087,39162
1495392963,32136,39211
1495393354,32140,39216
1495393921,32135,39210
1495394522,32137,39213
1495394884,32045,39121
1495395362,32043,39119
1495395722,32048,39126
1495396321,32041,39119
1495396806,32108,39186
1495397015,32104,39182
1495398121,32100,39179
1495398723,32135,39215
1495399203,32142,39222
1495399322,32144,39224
1495399922,32147,39227
1495400643,32043,39124
1495401121,32041,39122
1495404724,32021,39101
1495407366,31910,38990
1495408321,31906,38986
1495409523,31960,39040
1495411353,31953,39033
1495411922,31953,39035
1495412521,31954,39036
1495413122,31954,39037
1495413303,31962,39045
1495413604,31994,39077
1495413722,31998,39081
1495414321,31995,39079
1495414953,31993,39079
1495415524,31871,38956
1495416122,31861,38947
1495416721,31864,38950
1495416962,31868,38954
1495417442,31910,38997
1495417923,31897,38985
1495418521,31897,38984
1495419121,31895,38983
1495419365,31837,38925
1495419721,31840,38928
1495420321,31832,38920
1495420803,31834,38922
1495420936,31834,38922
1495421282,31941,39029
1495421522,31944,39032
1495422153,31938,39026
1495422722,31940,39029
1495423204,31846,38935
1495423321,31845,38934
1495424642,31837,38925
1495425123,31926,39015
1495425722,31928,39017
1495425753,31926,39015
1495426322,31916,39011
1495426921,31918,39013
1495427522,31911,39006
