DateTime,AddedIPs,RemovedIPs
1494339903,1,0
1494343202,5,11
1494345902,0,3839
1494346523,3872,11
1494349446,0,22272
1494349803,0,512
1494350403,515,3
1494353402,0,1280
1494353710,9,5
1494354430,1280,0
1494357602,10,5
1494361502,4,6
1494364805,3,2
1494368107,2,2
1494368402,3,8
1494372302,4,16
1494374702,3,0
1494375002,255,256
1494375602,35,9
1494379016,4,4
1494383102,15,6
1494386702,9,31
1494390005,3,7
1494393334,2,1
1494397685,2,14
1494399602,0,6
1494400802,12,10
1494403501,256,256
1494404405,4,10
1494405907,2,0
1494408249,7,8
1494410169,1,0
1494411308,13,9
1494414048,3,0
1494415502,12,22
1494416705,1,0
1494418803,19,2
1494422702,8,3
1494423302,0,3
1494426302,10,3
1494428702,0,3583
1494429533,3,12
1494430231,3583,0
1494431702,2048,8192
1494432941,15,5
1494435901,3840,31232
1494436569,1,0
1494436802,1,2
1494438002,256,256
1494440404,3,5
1494443102,512,512
1494444245,4,10
1494447003,512,512
1494447603,4,19
1494451202,5,10
1494451502,0,256
1494452432,256,0
1494452885,1,0
1494454804,18,4
1494455461,1,1
1494458125,1,0
1494458602,10,14
1494459002,1,1
1494461101,2,0
1494461741,27,3
1494463505,1280,256
1494464102,256,256
1494465338,8,2
1494467107,256,256
1494468602,256,256
1494468919,3,14
1494472517,12,21
1494476703,12,25
1494479765,9,7
1494482101,256,256
1494483606,3,2
1494487446,7,5
1494490531,4,18
1494494701,4,14
1494498002,10,16
1494501319,7,5
1494504920,3,9
1494507002,0,1
1494509102,7,5
1494510902,1,0
1494512645,31,4
1494514565,0,1
1494515724,3,4
1494519002,1792,2048
1494519602,3,7
1494521106,1,0
1494522013,2560,44288
1494523202,7,6
1494526341,256,256
1494526802,0,10
1494527508,0,2816
1494528245,3072,0
1494528306,1,0
1494530427,11,9
1494532040,256,256
1494534250,13,17
1494534902,1,1
1494535505,256,256
1494539766,8,13
1494541202,0,512
1494541803,28,1
1494542706,256,0
1494543302,256,0
1494545505,5,8
1494546489,0,768
1494546671,768,0
1494547213,1,0
1494549003,26,0
1494550502,0,4863
1494551402,4863,0
1494551728,5,3
1494553505,256,256
1494556088,5,6
1494559502,5,26
1494562805,3,3
1494563702,256,256
1494566108,1,5
1494570485,5,5
1494573902,4,10
1494577215,11,2
1494580546,3,4
1494584887,7,8
1494587734,2,11
1494590703,1,1
1494591902,10,24
1494595502,4,9
1494598527,7,10
1494602402,18,9
1494605401,1536,1536
1494606020,13,35
1494607207,1,0
1494608702,1536,38400
1494609602,14,2
1494610290,0,768
1494611767,768,0
1494612907,1,0
1494613203,10,4
1494613716,1,0
1494614707,1,0
1494617102,33,1
1494620405,2,1
1494621002,1,1
1494624247,6,5
1494627316,0,5
1494631202,4,10
1494633844,2,0
1494634581,31,3
1494636306,0,256
1494636902,256,0
1494638110,9,9
1494642302,4,8
1494642602,2,2
1494645367,1,0
1494645602,5,22
1494649207,5,24
1494652802,19,4
1494656141,4,3
1494660302,3,6
1494663606,10,9
1494667451,4,19
1494667685,2,3
1494670812,3,11
1494674102,27,2
1494676822,1,0
1494677762,4,2
1494681327,6,4
1494684003,1,1
1494684952,5,0
1494688202,1536,1536
1494689101,1,5
1494692402,3,6
1494693603,1,1
1494694326,0,1
1494694811,1024,27648
1494695285,256,256
1494696303,8,2
1494699602,4,3
1494701045,512,512
1494701106,1,0
1494702302,256,256
1494703503,5,1
1494705123,512,512
1494707044,3,5
1494708965,256,256
1494710887,0,6
1494713732,2,24
1494717603,2,4
1494718242,256,256
1494719703,256,256
1494720003,2,0
1494720988,24,5
1494722531,256,256
1494724803,11,6
1494728163,19,12
1494730083,1,0
1494732004,8,17
1494735305,1,5
1494740168,5,4
1494742802,2,18
1494744006,256,256
1494746115,4,17
1494747905,1,0
1494750302,5,12
1494753848,15,7
1494755284,1,1
1494757202,7,4
1494757684,0,1
1494760802,28,6
1494764413,7,13
1494768245,11,8
1494771602,10,6
1494772803,1,1
1494775205,5,11
1494778202,1280,1280
1494778513,6,32
1494781203,0,5120
1494782116,5,16
1494783840,512,512
1494786010,16,12
1494789312,18,3
1494790502,256,256
1494793503,12,7
1494794885,256,256
1494795302,256,256
1494796805,23,2
1494798727,256,256
1494800644,5,4
1494801603,256,256
1494804484,0,6
1494805506,256,256
1494806102,256,256
1494806414,2,0
1494807611,26,1
1494811447,2,9
1494812402,256,256
1494814519,6,7
1494818108,8,27
1494821716,8,14
1494825603,14,23
1494829670,5,8
1494832803,26,3
1494836411,3,4
1494838330,1,1
1494839708,1,1
1494839718,10,10
1494844088,9,6
1494847502,6,5
