DateTime,Entries,UniqueIPs
1495389007,91153,9586858
1495389602,91163,9586870
1495390096,91163,9586870
1495390203,91168,9586875
1495390805,91176,9586888
1495391405,91165,9586877
1495392045,91114,9586814
1495392303,91126,9586842
1495392904,91106,9586822
1495393505,91114,9586837
1495394042,91110,9586834
1495394105,91100,9586824
1495394704,91093,9586816
1495395302,91104,9586827
1495396133,91106,9586829
1495396502,91108,9586831
1495397102,91112,9586835
1495397704,91110,9586833
1495398025,91153,9586876
1495398303,91149,9586870
1495398902,91145,9586866
1495399505,91156,9586875
1495399934,91152,9586871
1495400104,91152,9586871
1495400704,91165,9586889
1495401304,91139,9586861
1495404809,91176,9586902
1495407429,91137,9586866
1495408203,91152,9586887
1495409597,91182,9586914
1495411758,91227,9586964
1495411804,91204,9586936
1495412403,91226,9586967
1495412705,91216,9586956
1495413303,91217,9586955
1495413637,91227,9586964
1495413908,91222,9586960
1495414506,91193,9586931
1495415104,91190,9586928
1495415557,91206,9586944
1495415703,91228,9586969
1495416303,91232,9586973
1495416903,91228,9586969
1495417472,91214,9586954
1495417503,91217,9586957
1495418103,91214,9586954
1495418702,91216,9586956
1495419403,91222,9586963
1495419643,91223,9586964
1495419903,91220,9586961
1495420503,91222,9586963
1495421324,91223,9586964
1495421703,91220,9586961
1495422304,91219,9586958
1495422903,91239,9586991
1495423235,91248,9587000
1495423806,91249,9586999
1495424407,91274,9587013
1495425164,91270,9587013
1495425603,91289,9587035
1495426356,91295,9587041
1495426803,91301,9587047
1495427061,91314,9587060
1495427404,91338,9587087
1495428003,91336,9587085
1495428603,91337,9587086
1495428998,91322,9587071
1495429502,91321,9587069
1495430105,91310,9587055
1495430926,91312,9587054
1495431309,91294,9587036
1495431905,91307,9587052
1495432502,91337,9587091
1495432960,91343,9587097
1495433404,91329,9587082
1495434004,91317,9587062
1495434770,91304,9587049
1495434903,91312,9587056
1495435504,91353,9587098
1495436103,91374,9587126
1495436681,91373,9587124
1495436703,91369,9587120
1495437305,91356,9587105
1495437904,91375,9587128
1495438601,91380,9587132
1495439103,91423,9587178
1495439703,91450,9587216
1495440527,91485,9587253
1495441002,91499,9587272
1495441705,91535,9587309
1495441804,91526,9587300
1495442446,91516,9587288
1495442705,91511,9587283
1495443303,91530,9587308
1495443605,91592,9587384
1495444371,91654,9587458
1495444805,91648,9587449
1495445107,91638,9587431
1495445703,91641,9587434
1495446269,91642,9587436
1495446303,91654,9587447
1495446904,91667,9587463
1495447503,91682,9587481
1495448221,91676,9587475
1495448409,91677,9587476
1495448703,91754,9587567
1495449303,91807,9587627
1495450128,91851,9587677
1495450504,91893,9587719
1495451105,91925,9587751
1495451703,91925,9587751
1495452304,91985,9587831
1495452905,91967,9587808
1495453974,91969,9587812
1495454103,91970,9587816
1495454703,91978,9587824
1495455006,91972,9587818
1495455627,91970,9587816
1495455887,91980,9587825
1495456204,92012,9587873
1495456803,92021,9587888
1495457403,92147,9588015
1495457795,92162,9588030
1495458003,92161,9588029
1495458306,92476,9588350
1495458903,92502,9588389
1495459727,92539,9588434
1495460103,92544,9588439
1495460405,92525,9588410
1495461003,92532,9588428
1495461745,92536,9588429
1495461903,92532,9588425
1495462205,92529,9588422
1495463569,92458,9588342
1495464003,92487,9588376
1495464602,92484,9588373
1495465203,92495,9588392
1495465724,92502,9588399
1495465803,92497,9588394
1495466105,92514,9588414
1495466704,92505,9588405
1495467304,92517,9588422
1495467613,92514,9588419
1495467903,92517,9588422
1495468507,92470,9588379
1495469816,92329,9588227
1495470279,92348,9588248
1495470604,92392,9588302
1495471202,92387,9588293
1495471719,92374,9588279
1495471802,92374,9588279
1495472406,92457,9588363
1495473003,92463,9588371
1495473648,92459,9588368
1495474203,92469,9588381
1495474804,92461,9588373
1495475563,92559,9588491
1495476005,92539,9588464
1495476605,92606,9588552
1495477204,92588,9588528
1495477460,92574,9588514
1495477804,92589,9588535
1495478403,92619,9588580
1495478707,92603,9588557
1495479381,92611,9588564
1495479607,92613,9588563
1495480204,92612,9588562
1495480803,92615,9588565
1495481295,92603,9588553
1495481403,92597,9588547
1495481705,92594,9588544
1495482304,92590,9588540
1495482903,92590,9588540
1495483317,92589,9588539
1495483503,92590,9588540
1495484103,92590,9588539
1495484916,92595,9588544
1495485161,92590,9588538
1495485405,92661,9588612
1495485606,92677,9588628
1495486203,92668,9588618
1495486807,92657,9588599
1495487076,92656,9588598
1495487404,92653,9588595
1495488004,92660,9588601
1495488604,92663,9588604
1495488996,92662,9588601
1495489502,92633,9588564
1495490105,92632,9588563
1495491191,92633,9588563
1495492088,92622,9588552
1495492504,92635,9588570
1495493078,92644,9588580
1495493103,92646,9588582
1495493705,92632,9588563
1495494304,92619,9588546
1495494988,92612,9588539
1495495205,92612,9588538
1495495804,92571,9588497
1495496404,92554,9588480
1495496902,92551,9588477
1495497003,92549,9588474
1495497305,92532,9588454
1495497903,92523,9588443
1495498505,92515,9588428
1495498835,92523,9588436
1495499103,92522,9588435
1495499534,92528,9588441
1495499704,92519,9588432
1495500771,92527,9588442
1495500903,92542,9588461
1495501504,92538,9588451
1495502103,92517,9588425
1495502680,92518,9588426
1495502703,92518,9588426
1495503302,92519,9588427
1495503903,92516,9588423
1495504599,92515,9588422
1495504804,92509,9588416
1495505403,92508,9588415
1495506003,92511,9588418
1495506517,92516,9588423
1495506759,92513,9588420
1495507803,92511,9588418
1495508536,92518,9588425
1495509003,92517,9588424
1495509605,92480,9588379
1495510205,92470,9588361
1495510806,92446,9588341
1495511403,92434,9588329
1495512006,92432,9588326
1495512525,92415,9588308
