DateTime,Entries,UniqueIPs
1495077543,25860,26420
1495077721,25849,26409
1495078921,25842,26402
1495079523,25844,26404
1495080121,25845,26406
1495080722,25821,26382
1495081142,25821,26382
1495081322,25819,26383
1495082522,25807,26370
1495083122,25806,26369
1495083722,25795,26359
1495084322,25793,26362
1495084743,25791,26360
1495085581,25787,26356
1495086121,25774,26343
1495086722,25751,26321
1495087921,25743,26313
1495088342,25744,26314
1495088521,25742,26311
1495089122,25735,26305
1495089721,25744,26316
1495090322,25745,26317
1495090921,25743,26314
1495091521,25740,26311
1495091942,25743,26314
1495092121,25726,26297
1495093321,25720,26291
1495093921,25719,26290
1495094521,25727,26298
1495095122,25710,26281
1495095543,25701,26272
1495095722,25702,26273
1495096321,25703,26275
1495097522,25704,26277
1495098122,25673,26246
1495098722,25671,26244
1495099142,25663,26236
1495099322,25667,26240
1495099922,25682,26255
1495100522,25640,26213
1495101122,25642,26215
1495101722,25637,26210
1495102742,25633,26206
1495102922,25622,26194
1495104122,25620,26192
1495104721,25623,26195
1495105322,25624,26195
1495105921,25632,26203
1495106343,25627,26198
1495106521,25596,26167
1495107122,25593,26164
1495107722,25588,26159
1495108321,25577,26148
1495108922,25580,26151
1495109522,25580,26150
1495109943,25580,26150
1495110122,25576,26146
1495110721,25573,26143
1495111321,25574,26144
1495112523,25549,26118
1495113121,25551,26120
1495113542,25554,26123
1495113722,25541,26110
1495115522,25539,26108
1495116122,25540,26109
1495116721,25526,26095
1495117142,25535,26104
1495117322,25536,26105
1495117981,25539,26108
1495118522,25533,26102
1495120322,25524,26093
1495120742,25525,26094
1495120922,25526,26095
1495121581,25535,26104
1495122122,25487,26056
1495122721,25489,26058
1495123322,25489,26059
1495123922,25483,26053
1495124342,25485,26055
1495124521,25483,26053
1495125122,25480,26050
1495125721,25480,26050
1495126321,25483,26053
1495126921,25483,26053
1495127522,25485,26055
1495127942,25481,26051
1495128121,25480,26050
1495128722,25480,26050
1495129321,25470,26039
1495129921,25466,26035
1495130522,25471,26040
1495131122,25468,26037
1495131603,25472,26041
1495131721,25454,26023
1495132321,25456,26025
1495132923,25457,26026
1495133521,25464,26033
1495134122,25467,26036
1495134722,25467,26036
1495135443,25466,26035
1495136522,25430,25999
1495137122,25435,26004
1495137722,25423,25992
1495138322,25423,25992
1495138922,25424,25993
1495139282,25431,26000
1495139581,25417,25986
1495140121,25419,25988
1495140722,25416,25985
1495141322,25419,25988
1495141921,25420,25989
1495142521,25420,25989
1495143123,25432,26001
1495143721,25432,26001
1495144322,25431,26000
1495145521,25431,25999
1495146121,25429,25997
1495146722,25427,25995
1495146903,25431,25999
1495147322,25431,25999
1495147921,25434,26003
1495148521,25402,25971
1495149122,25397,25966
1495149721,25401,25970
1495150322,25402,25971
1495150563,25400,25969
1495150922,25394,25963
1495151522,25395,25964
1495152722,25395,25964
1495153322,25393,25963
1495153921,25392,25962
1495154402,25394,25965
1495154522,25386,25957
1495155122,25386,25957
1495155722,25388,25959
1495156322,25388,25959
1495156922,25365,25934
1495158242,25340,25908
1495158721,25345,25913
1495159322,25347,25915
1495159921,25347,25915
1495160522,25336,25903
1495161121,25334,25901
1495161722,25335,25902
1495162083,25336,25903
1495162322,25331,25898
1495162921,25330,25897
1495163526,25323,25890
1495164122,25324,25891
1495164721,25325,25892
1495165321,25321,25888
1495165922,25323,25890
1495166522,25323,25890
1495167122,25319,25886
1495167721,25320,25887
1495168381,25321,25888
1495168936,25314,25881
1495169521,25314,25881
1495169763,25316,25883
1495170121,25301,25868
1495170721,25302,25869
1495170900,25305,25872
1495171322,25292,25859
1495172521,25289,25856
1495173121,25289,25856
1495173663,25288,25855
1495173722,25290,25857
1495174322,25286,25853
1495174921,25287,25854
1495175521,25286,25853
1495176122,25281,25848
1495177442,25278,25845
1495177922,25272,25839
1495178522,25274,25841
1495179181,25276,25843
1495179721,25271,25838
1495180323,25267,25834
1495181283,25268,25835
1495181521,25269,25836
1495182122,25263,25830
1495182722,25264,25831
1495183321,25268,25835
1495184521,25249,25816
1495185122,25230,25797
1495185721,25233,25800
1495186381,25234,25802
1495186922,25226,25794
1495187522,25227,25795
1495188962,25230,25798
1495189322,25230,25799
1495189922,25227,25796
1495190521,25227,25796
1495191122,25228,25797
1495191722,25233,25802
1495192802,25232,25801
1495192921,25224,25793
1495194121,25227,25796
1495194722,25230,25799
1495195921,25224,25793
1495196582,25226,25795
1495197181,25228,25797
1495197722,25201,25769
1495198322,25194,25763
1495198921,25198,25767
1495199522,25195,25764
1495200183,25202,25771
1495200722,25203,25772
1495201321,25197,25767
1495201922,25185,25755
1495202522,25198,25768
1495203121,25189,25758
1495203843,25190,25760
1495204321,25192,25762
1495204922,25197,25767
1495206122,25195,25765
1495206722,25194,25764
1495207321,25202,25772
1495207683,25213,25783
1495207921,25212,25782
1495208522,25210,25780
1495209121,25208,25778
1495209721,25209,25779
1495210322,25203,25773
1495210922,25208,25778
1495211462,25217,25787
1495212121,25203,25773
1495212721,25204,25774
1495213322,25199,25769
1495213921,25199,25769
1495214521,25195,25765
1495215121,25201,25771
1495215722,25192,25762
1495216323,25184,25754
1495216922,25183,25753
1495217521,25174,25744
1495218122,25173,25742
1495218723,25158,25727
1495219321,25161,25730
1495219922,25160,25729
1495220522,25161,25730
1495221122,25160,25729
1495221721,25158,25727
1495222321,25157,25726
1495222563,25162,25732
1495222923,25162,25732
1495223521,25159,25729
1495224121,25161,25731
1495224722,25162,25732
1495225321,25157,25727
1495225922,25158,25728
1495226342,25160,25730
1495226522,25161,25731
1495227721,25153,25723
1495228321,25169,25739
1495229522,25167,25737
1495229943,25164,25734
1495230122,25165,25735
1495230722,25172,25742
1495231922,25175,25745
1495232522,25202,25772
1495233182,25206,25777
1495233543,25206,25777
1495233721,25207,25778
1495234322,25207,25778
1495234922,25207,25778
1495236122,25218,25789
1495236721,25219,25790
1495236840,25228,25797
1495237143,25236,25805
1495237922,25248,25817
1495238522,25255,25824
1495239121,25262,25832
1495239721,25249,25819
1495240322,25251,25821
1495240382,25249,25819
1495240743,25249,25819
1495240923,25257,25827
1495242122,25251,25822
1495242721,25253,25823
1495243981,25257,25827
1495244403,25252,25822
1495244521,25251,25821
1495245122,25249,25819
1495245721,25250,25820
1495246321,25246,25816
1495246922,25245,25815
1495247521,25246,25816
1495248243,25247,25816
1495249322,25248,25816
1495249921,25245,25813
1495250521,25242,25810
1495251122,25233,25801
1495251722,25232,25800
1495252082,25230,25797
1495252322,25235,25802
1495252922,25229,25795
1495253522,25230,25796
1495254722,25229,25795
1495255322,25222,25788
1495255922,25222,25788
1495256523,25224,25790
1495257122,25222,25788
1495257721,25218,25784
1495258922,25206,25772
1495259521,25201,25767
1495259703,25195,25761
1495260121,25192,25758
1495260722,25186,25752
1495261321,25181,25746
1495261921,25181,25746
1495262522,25182,25747
1495263362,25184,25749
1495263722,25166,25731
1495264321,25157,25721
1495266122,25137,25700
1495266722,25129,25692
1495267263,25122,25685
1495267322,25123,25686
1495268522,25121,25684
1495271043,25116,25679
1495271521,25117,25680
1495272721,25116,25679
1495273322,25113,25676
1495273922,25115,25678
1495274432,25115,25678
1495274882,25104,25667
1495275121,25105,25668
1495275722,25093,25656
1495276922,25094,25657
1495277521,25093,25656
1495278035,25094,25657
1495278122,25092,25655
1495278721,25095,25658
1495279322,25097,25660
1495279921,25096,25659
1495281722,25096,25659
1495282321,25094,25657
1495282922,25097,25660
1495283521,25107,25675
1495284122,25106,25674
1495285322,25088,25656
1495285921,25085,25653
1495286522,25081,25649
1495287121,25081,25649
1495287722,25085,25653
1495288322,25084,25652
1495288921,25079,25647
1495289521,25079,25649
1495290122,25077,25647
1495291322,25082,25652
1495292522,25067,25637
1495293122,25070,25640
1495293721,25073,25643
1495294322,25076,25646
1495294922,25070,25640
1495295521,25071,25641
1495296121,25069,25640
1495296963,25074,25645
1495297322,25084,25655
1495297921,25087,25659
1495299122,25089,25661
1495299721,25088,25660
1495300322,25090,25662
1495300742,25089,25661
1495302122,25090,25662
1495302722,25100,25672
1495303322,25100,25671
1495303921,25093,25664
1495304342,25095,25666
1495305122,25095,25666
1495306923,25098,25670
1495307521,25095,25667
1495307943,25098,25670
1495308123,25097,25669
1495308722,25099,25671
1495308781,25095,25667
1495309321,25095,25667
1495309921,25096,25668
1495311122,25089,25661
1495311542,25094,25666
1495312921,25095,25667
1495313522,25095,25667
1495314122,25098,25670
1495314722,25099,25671
1495315142,25097,25669
1495315922,25098,25670
1495315981,25099,25672
1495316521,25097,25670
1495317122,25099,25672
1495318743,25092,25666
1495318921,25094,25668
1495320122,25092,25666
1495320722,25092,25666
1495321321,25092,25666
1495322342,25094,25668
1495322522,25099,25674
1495323121,25101,25676
1495323722,25099,25674
1495324921,25104,25679
1495325943,25103,25678
1495326121,25104,25679
1495326724,25118,25693
1495327322,25123,25698
1495328522,25137,25712
1495329121,25140,25715
1495329542,25137,25710
1495329721,25136,25709
1495330322,25138,25711
1495330381,25137,25710
1495330922,25150,25723
1495331522,25155,25728
1495332121,25162,25735
1495333142,25165,25738
1495333321,25160,25734
1495333923,25175,25749
1495335722,25178,25752
1495336322,25178,25753
1495336743,25178,25754
1495337522,25179,25755
1495337581,25171,25747
1495338722,25173,25749
1495339322,25174,25750
1495340583,25169,25745
1495341122,25177,25753
1495341722,25180,25756
1495342321,25179,25755
1495342536,25179,25755
1495342922,25179,25755
1495344182,25190,25766
1495344782,25195,25771
1495345322,25193,25769
1495345922,25199,25775
1495346522,25201,25777
1495347122,25197,25772
1495347782,25195,25770
1495348321,25205,25780
1495348921,25206,25781
1495349521,25202,25777
1495350122,25201,25776
1495350721,25200,25775
1495351382,25201,25776
1495351981,25202,25777
1495352522,25202,25777
1495353122,25204,25779
1495353721,25209,25787
1495354322,25211,25790
1495354982,25224,25805
1495355521,25228,25811
1495356122,25237,25821
1495357321,25241,25825
1495357922,25244,25833
1495358583,25240,25830
1495359722,25246,25837
1495360321,25241,25832
1495360921,25243,25834
1495361522,25242,25835
1495362183,25246,25840
1495362721,25247,25841
1495362781,25243,25837
1495363321,25247,25843
1495363922,25250,25847
1495364521,25252,25851
1495365783,25250,25850
