DateTime,Entries,UniqueIPs
1494343218,1722,1722
1494345156,1721,1721
1494347081,1721,1721
1494348983,1723,1723
1494350915,1717,1717
1494352913,1706,1706
1494354753,1700,1700
1494356670,1831,1831
1494358585,1835,1835
1494360525,1826,1826
1494362456,1787,1787
1494364360,1775,1775
1494366263,1771,1771
1494368196,1770,1770
1494370117,1748,1748
1494372011,2280,2280
1494373957,2273,2273
1494375853,2270,2270
1494377795,2271,2271
1494379706,2263,2263
1494381708,2268,2268
1494383556,2279,2279
1494385470,2252,2252
1494387388,2233,2233
1494391210,2227,2227
1494393146,2217,2217
1494395051,2202,2202
1494397036,2246,2246
1494398916,2247,2247
1494400829,2249,2249
1494402753,2247,2247
1494404672,2240,2240
1494406584,2216,2216
1494408511,2207,2207
1494410684,2201,2201
1494412601,1030,1030
1494414521,1486,1486
1494418353,1494,1494
1494420269,1511,1511
1494422197,1532,1532
1494424363,1520,1520
1494426271,1517,1517
1494428198,1531,1531
1494430115,1531,1531
1494432122,1566,1566
1494434321,1590,1590
1494436170,1595,1595
1494438108,1603,1603
1494439960,1600,1600
1494441867,1603,1603
1494443785,1595,1595
1494445707,1582,1582
1494447641,1562,1562
1494449558,1556,1556
1494451460,1560,1560
1494454060,1574,1574
1494456014,1569,1569
1494457948,1991,1991
1494459848,1980,1980
1494461792,2007,2007
1494463713,2022,2022
1494465622,2034,2034
1494467545,2025,2025
1494469453,2033,2033
1494471420,2055,2055
1494473311,2058,2058
1494475307,2173,2173
1494477158,2182,2182
1494481000,2191,2191
1494482922,2186,2186
1494486760,2187,2187
1494488660,2180,2180
1494490586,2224,2224
1494492515,2251,2251
1494494413,2276,2276
1494496361,2279,2279
1494498256,1334,1334
1494500171,1339,1339
1494502110,1831,1831
1494504120,1904,1904
1494507900,1954,1954
1494509802,2014,2014
1494511722,2013,2013
1494513630,2010,2010
1494515554,2030,2030
1494517473,2037,2037
1494519390,2035,2035
1494521307,2034,2034
1494523247,2032,2032
