DateTime,Entries,UniqueIPs
1494920702,21069,21069
1494921603,20710,20710
1494922503,20714,20714
1494923403,20965,20965
1494924303,20875,20875
1494925203,21124,21124
1494926102,21664,21664
1494927003,24177,24177
1494927903,28083,28083
1494928804,32008,32008
1494929704,33490,33490
1494930604,33864,33864
1494931504,34446,34446
1494932404,35025,35025
1494933305,35476,35476
1494934204,35992,35992
1494935104,36107,36107
1494936004,36248,36248
1494936904,36425,36425
1494937805,36971,36971
1494938705,37040,37040
1494939604,37004,37004
1494940504,36925,36925
1494941404,36906,36906
1494942305,37061,37061
1494943204,37278,37278
1494944106,37404,37404
1494945007,37497,37497
1494945907,37738,37738
1494946806,37799,37799
1494947708,37887,37887
1494948608,38033,38033
1494949508,38276,38276
1494950408,38300,38300
1494951308,38362,38362
1494952208,38401,38401
1494953108,38675,38675
1494954007,38745,38745
1494954908,38722,38722
1494955808,38675,38675
1494956707,38644,38644
1494957607,38585,38585
1494958508,38534,38534
1494959407,38452,38452
1494960306,38341,38341
1494961206,38246,38246
1494962107,38181,38181
1494963006,38123,38123
1494963906,38042,38042
1494964806,37956,37956
1494965706,37885,37885
1494966607,37806,37806
1494967505,37700,37700
1494968406,37545,37545
1494969307,37372,37372
1494970206,37182,37182
1494971105,37004,37004
1494972005,36827,36827
1494972905,36665,36665
1494973804,36444,36444
1494974704,36119,36119
1494975603,35885,35885
1494976503,35720,35720
1494977404,35593,35593
1494978303,35502,35502
1494979205,35382,35382
1494980104,35236,35236
1494981003,35049,35049
1494981904,32875,32875
1494982804,31968,31968
1494983704,32052,32052
1494984603,32211,32211
1494985504,32038,32038
1494986403,30771,30771
1494987303,29270,29270
1494988203,27989,27989
1494989104,27257,27257
1494990003,26751,26751
1494990903,26215,26215
1494991803,25170,25170
1494992704,24197,24197
1494993603,23341,23341
1494994503,22771,22771
1494995403,22263,22263
1494996303,21779,21779
1494997203,21390,21390
1494998103,20898,20898
1494999003,20819,20819
1494999903,20968,20968
1495000803,20613,20613
1495001703,20230,20230
1495002603,19813,19813
1495003503,19590,19590
1495004403,19531,19531
1495005303,19417,19417
1495006203,19838,19838
1495007103,20088,20088
1495008003,20521,20521
1495008903,20691,20691
1495009803,20728,20728
1495010704,20857,20857
1495011603,20591,20591
1495012503,19991,19991
1495013403,19750,19750
1495014303,20057,20057
1495015203,20502,20502
1495016103,20822,20822
1495017003,20866,20866
1495017903,20992,20992
1495018804,21160,21160
1495019703,21181,21181
1495020603,21300,21300
1495021503,21120,21120
1495022403,20903,20903
1495023303,21390,21390
1495024203,24141,24141
1495025103,28163,28163
1495026004,32153,32153
1495026904,33601,33601
1495027804,33953,33953
1495028705,34277,34277
1495029605,34555,34555
1495030504,34904,34904
1495031404,35355,35355
1495032304,35977,35977
1495033205,36600,36600
1495034104,36966,36966
1495035004,37406,37406
1495035904,37447,37447
1495036805,37463,37463
1495037705,37496,37496
1495038605,37500,37500
1495039504,37392,37392
1495040405,37315,37315
1495041305,37235,37235
1495042204,37085,37085
1495043105,36936,36936
1495044005,36866,36866
1495044904,36764,36764
1495045805,36647,36647
1495046705,36518,36518
1495047605,36371,36371
1495048504,36280,36280
1495049405,36184,36184
1495050305,36038,36038
1495051204,35868,35868
1495052104,35690,35690
1495053004,35553,35553
1495053904,35396,35396
1495054803,35232,35232
1495055704,34938,34938
1495056604,34718,34718
1495057503,34520,34520
1495058404,34383,34383
1495059304,34105,34105
1495060204,33872,33872
1495061104,33660,33660
1495062004,33472,33472
1495062905,33360,33360
1495063804,33240,33240
1495064704,33110,33110
1495065603,32957,32957
1495066504,32834,32834
1495067404,32725,32725
1495068304,32679,32679
1495069204,32548,32548
1495070104,32468,32468
1495071003,32028,32028
1495071904,31642,31642
1495072804,31879,31879
1495073704,31882,31882
1495074603,31597,31597
1495075503,30960,30960
1495076404,30046,30046
1495077304,29103,29103
1495078204,28421,28421
1495079103,27791,27791
1495080003,27423,27423
1495080903,26485,26485
1495081803,26060,26060
1495082703,26490,26490
1495083603,27061,27061
1495084503,27085,27085
1495085403,26993,26993
1495086304,26844,26844
1495087203,26735,26735
1495088103,25816,25816
1495089002,25731,25731
1495089903,25608,25608
1495090804,25731,25731
1495091703,26501,26501
1495092603,26481,26481
1495093503,26225,26225
1495094404,25773,25773
1495095303,25419,25419
1495096203,25478,25478
1495097103,25468,25468
1495098003,25700,25700
1495098904,25813,25813
1495099804,25739,25739
1495100704,25716,25716
1495101603,25572,25572
1495102503,24928,24928
1495103404,25259,25259
1495104304,25806,25806
1495105203,25765,25765
1495106103,25580,25580
1495107003,25715,25715
1495107903,25685,25685
1495108803,25533,25533
1495109703,25963,25963
1495110603,26454,26454
1495111503,26765,26765
1495112403,26953,26953
1495113303,26766,26766
1495114203,25872,25872
1495115103,25897,25897
1495116003,25999,25999
1495116903,26045,26045
1495117803,26607,26607
1495118703,26663,26663
1495119603,26771,26771
1495120503,26326,26326
1495121402,26053,26053
1495122303,26253,26253
1495123202,26424,26424
1495124103,26415,26415
1495125003,25417,25417
1495125903,24765,24765
1495126803,23838,23838
1495127703,22959,22959
1495128602,22595,22595
1495129503,22626,22626
1495130403,22919,22919
1495131302,22956,22956
1495132203,22553,22553
1495133103,21865,21865
1495134002,21474,21474
1495134903,21312,21312
1495135803,21224,21224
1495136703,21208,21208
1495137603,21212,21212
1495138503,21181,21181
1495139402,20873,20873
1495140302,20067,20067
1495141202,19658,19658
1495142102,19034,19034
1495143003,18935,18935
1495143902,18803,18803
1495144802,18292,18292
1495145703,17855,17855
1495146602,16933,16933
1495147502,16945,16945
1495148402,16710,16710
1495149302,16663,16663
1495150202,16820,16820
1495151102,16726,16726
1495152002,16259,16259
1495152903,15749,15749
1495153802,15529,15529
1495154702,15378,15378
1495155602,15197,15197
1495156502,15269,15269
1495157402,15271,15271
1495158302,15101,15101
1495159203,15722,15722
1495160102,15781,15781
1495161002,15740,15740
1495161902,15688,15688
1495162802,15641,15641
1495163702,15563,15563
1495164603,15647,15647
1495165503,15610,15610
1495166402,15492,15492
1495167301,15585,15585
1495168203,15831,15831
1495169102,16354,16354
1495170002,16333,16333
1495170903,16372,16372
1495171803,16443,16443
1495172702,16463,16463
1495173602,16663,16663
1495174503,17147,17147
1495175402,17375,17375
1495176302,17490,17490
1495177202,17892,17892
1495178103,18189,18189
1495179002,17940,17940
1495179902,17992,17992
1495180803,18344,18344
1495181703,17772,17772
1495182602,17290,17290
1495183503,17115,17115
1495184402,17162,17162
1495185303,17306,17306
1495186202,17325,17325
1495187102,17804,17804
1495188002,18167,18167
1495188902,17989,17989
1495189802,17653,17653
1495190702,17119,17119
1495191602,16768,16768
1495192503,16957,16957
1495193403,17204,17204
1495194302,17134,17134
1495195202,16876,16876
1495196102,16635,16635
1495197002,16341,16341
1495197903,16276,16276
1495198803,16502,16502
1495199702,16580,16580
1495200602,16431,16431
1495201502,16585,16585
1495202402,16420,16420
1495203302,15925,15925
1495204202,16007,16007
1495205102,16483,16483
1495206003,16137,16137
1495206902,16238,16238
1495207802,16093,16093
1495208703,16464,16464
1495209602,16763,16763
1495210503,17600,17600
1495211403,19454,19454
1495212303,20487,20487
1495213203,21371,21371
1495214103,22015,22015
1495215003,22359,22359
1495215902,22387,22387
1495216803,22885,22885
1495217703,23596,23596
1495218602,24290,24290
1495219503,24578,24578
1495220403,24681,24681
1495221303,24854,24854
1495222203,24813,24813
1495223103,25287,25287
1495224002,25896,25896
1495224904,26471,26471
1495225803,26993,26993
1495226703,26925,26925
1495227604,26754,26754
1495228503,27168,27168
1495229403,27269,27269
1495230304,27774,27774
1495231203,28036,28036
1495232103,28818,28818
1495233004,29054,29054
1495233903,29103,29103
1495234804,29250,29250
1495235704,29400,29400
1495236603,29506,29506
1495237504,29596,29596
1495238403,29756,29756
1495239303,29839,29839
1495240203,29842,29842
1495241104,29771,29771
1495242003,29855,29855
1495242903,29870,29870
1495243803,29738,29738
1495244703,29732,29732
1495245604,29733,29733
1495246504,29550,29550
1495247404,29632,29632
1495248303,29589,29589
1495249204,29599,29599
1495250103,29568,29568
1495251004,29601,29601
1495251904,29596,29596
1495252804,29520,29520
1495253703,29479,29479
1495254604,29102,29102
1495255503,27828,27828
1495256403,27139,27139
1495257303,26395,26395
1495258203,26003,26003
1495259103,25418,25418
1495260003,24949,24949
1495260903,24453,24453
1495261803,24107,24107
1495262703,23648,23648
1495263603,23392,23392
1495264502,23228,23228
1495265403,23275,23275
1495266303,23111,23111
1495267203,22722,22722
1495268103,22267,22267
1495269003,22104,22104
1495269902,21956,21956
1495270802,21977,21977
1495271703,21830,21830
1495272603,21651,21651
1495273503,21156,21156
1495274402,20591,20591
1495275302,20434,20434
1495276203,20084,20084
1495277103,20131,20131
1495278003,19996,19996
1495278903,19960,19960
1495279803,20037,20037
1495280703,20036,20036
1495281603,20611,20611
1495282502,20871,20871
1495283403,21480,21480
1495284303,21426,21426
1495285203,21414,21414
1495286103,21375,21375
1495287003,21495,21495
1495287903,21521,21521
1495288803,21472,21472
1495289702,21609,21609
1495290603,21747,21747
1495291503,21619,21619
1495292403,21781,21781
1495293303,21876,21876
1495294202,21963,21963
1495295103,21996,21996
1495296003,22155,22155
1495296903,22222,22222
1495297803,22222,22222
1495298702,22185,22185
1495299603,22044,22044
1495300503,21981,21981
1495301403,22047,22047
1495302303,21963,21963
1495303202,21897,21897
1495304103,21511,21511
1495305003,21376,21376
1495305902,20980,20980
1495306803,20922,20922
1495307703,20855,20855
1495308603,20739,20739
1495309503,20714,20714
1495310403,20594,20594
1495311303,20568,20568
1495312203,20557,20557
1495313103,20379,20379
1495314003,20243,20243
1495314903,20107,20107
1495315802,19947,19947
1495316702,19754,19754
1495317602,19841,19841
1495318503,20120,20120
1495319403,20150,20150
1495320303,20102,20102
1495321202,20090,20090
1495322103,20336,20336
1495323003,20457,20457
1495323903,20365,20365
1495324803,20353,20353
1495325703,19997,19997
1495326603,19828,19828
1495327503,19412,19412
1495328403,19473,19473
1495329303,19830,19830
1495330203,20216,20216
1495331103,20397,20397
1495332003,20537,20537
1495332903,20585,20585
1495333803,20606,20606
1495334703,20468,20468
1495335603,20445,20445
1495336503,20227,20227
1495337403,20040,20040
1495338303,20018,20018
1495339203,19930,19930
1495340103,19835,19835
1495341002,19873,19873
1495341903,19910,19910
1495342803,19930,19930
1495343703,19893,19893
1495344603,19928,19928
1495345503,19872,19872
1495346402,19919,19919
1495347303,19889,19889
1495348203,19989,19989
1495349102,20034,20034
1495350004,20007,20007
1495350903,20113,20113
1495351803,20442,20442
1495352703,20880,20880
1495353603,21020,21020
1495354503,21299,21299
1495355403,21633,21633
1495356303,21738,21738
1495357203,21929,21929
1495358103,22164,22164
1495359003,22465,22465
1495359903,22804,22804
1495360804,22925,22925
1495361703,23102,23102
1495362603,23125,23125
1495363502,23193,23193
1495364403,23049,23049
1495365303,22974,22974
1495366204,23004,23004
1495367103,22980,22980
1495368003,23031,23031
1495368903,23027,23027
1495369803,23077,23077
