DateTime,Entries,UniqueIPs
1492755028,2787,2816
1492761028,2799,2827
1492765829,2771,2800
1492771827,2806,2836
1492776628,2819,2848
1492782628,2836,2866
1492788028,2814,2842
1492793429,2847,2874
1492799428,2861,2888
1492804227,2895,2923
1492809628,2943,2973
1492814429,2975,3004
1492820428,3023,3053
1492827029,2982,3013
1492834228,2966,2998
1492840828,2966,2998
1492846228,2965,2997
1492851628,2968,3000
1492856428,2940,2969
1492861829,2995,3026
1492867228,3000,3033
1492872028,3009,3042
1492877429,2989,3022
1492883428,3018,3051
1492888228,3022,3054
1492894229,2982,3014
1492899029,2966,3000
1492904429,2987,3022
1492911628,2995,3030
1492917627,2942,2978
1492924828,2912,2948
1492930229,2913,2949
1492935028,2899,2933
1492941028,2886,2917
1492945829,2871,2902
1492951828,2859,2893
1492958428,2886,2920
1492962630,2840,2875
1492967430,2879,2915
1492972828,2868,2904
1492978228,2869,2906
1492983628,2882,2917
1492989029,2899,2933
1492995028,2837,2869
1493001028,2796,2825
1493006429,2777,2806
1493011228,2760,2789
1493016027,2774,2803
1493022027,2805,2834
1493026228,2781,2807
1493029825,2821,2847
1493033428,2863,2890
1493037026,2843,2869
1493041228,2770,2797
1493048432,2834,2861
1493055028,2859,2887
1493060428,2817,2844
1493065228,2820,2847
1493070628,2815,2845
1493075428,2847,2877
1493080228,2870,2900
1493085028,2858,2887
1493090428,2876,2907
1493095828,2868,2899
1493100627,2875,2906
1493104225,2896,2927
1493110228,2840,2868
1493115629,2817,2844
1493120428,2843,2877
1493126430,2856,2890
1493131828,2788,2822
1493136627,2758,2794
1493142029,2752,2787
1493145025,2786,2821
1493149228,2759,2794
1493154628,2747,2780
1493158225,2794,2827
1493163628,2785,2818
1493169628,2791,2823
1493175628,2773,2803
1493181028,2768,2797
1493185828,2757,2787
1493190628,2726,2760
1493194225,2741,2775
1493199628,2752,2786
1493205028,2742,2774
1493211029,2728,2761
1493215828,2725,2758
1493221230,2755,2786
1493226628,2771,2803
1493232028,2781,2813
1493237428,2782,2815
1493242828,2759,2793
1493246425,2812,2848
1493251827,2818,2855
1493258427,2777,2813
1493263828,2821,2856
1493268627,2796,2828
1493273427,2800,2832
1493278228,2768,2799
1493282428,2822,2853
1493287827,2833,2868
1493292628,2827,2862
1493296828,2807,2842
1493302828,2879,2915
1493307627,2840,2866
1493313027,2881,2909
1493316625,2880,2908
1493322029,2911,2939
1493328028,2920,2947
1493332828,2882,2907
1493336425,2915,2940
1493342428,2921,2946
1493347827,2903,2925
1493352628,2907,2931
1493358028,2912,2936
1493363427,2942,2973
1493369428,2971,3002
1493374828,2948,2980
1493380227,2975,3011
1493385628,2976,3010
1493391028,2994,3025
1493396430,3000,3031
1493401828,2997,3027
1493406628,3045,3076
1493412028,3015,3047
1493415625,3063,3099
1493421028,3013,3049
1493427028,3027,3066
1493432428,3012,3051
1493437829,3006,3046
1493442628,3012,3052
1493448029,3002,3043
1493453428,3019,3060
1493458827,3053,3094
1493464227,3011,3043
1493467825,3042,3074
1493473228,2980,3011
1493479229,2989,3020
1493484627,2966,2996
1493489428,2964,2993
1493494228,3038,3067
1493498428,3049,3077
1493503828,3042,3071
1493509827,3062,3091
1493515828,3061,3091
1493521828,3056,3084
1493528427,3037,3064
1493533228,3072,3100
1493538028,3058,3082
1493543428,3056,3081
1493549428,3073,3098
1493554228,3070,3095
1493560228,3060,3084
1493565630,3054,3079
1493571028,3108,3135
1493575828,3076,3102
1493581828,3120,3147
1493586632,3098,3130
1493592031,3103,3136
1493598028,3121,3153
1493603428,3087,3120
1493609428,3083,3116
1493614828,3066,3099
1493619629,3092,3125
1493625028,3063,3099
1493630438,3045,3081
1493635229,3037,3073
1493641228,3071,3107
1493646628,3039,3072
1493652030,3077,3110
1493656828,3041,3075
1493662229,3032,3067
1493667628,2998,3034
1493671225,3021,3057
1493674228,3057,3093
1493678428,3007,3041
1493684430,3092,3128
1493690428,3113,3150
1493695829,3064,3098
1493700628,3076,3110
1493706028,3056,3091
1493711428,3067,3100
1493716828,3039,3070
1493722228,3065,3096
1493727628,3034,3064
1493733030,3058,3088
1493738428,3027,3055
1493743228,3050,3079
1493748629,3038,3066
1493752225,3058,3087
1493755828,3073,3103
1493759425,3079,3109
1493764828,3083,3111
1493770236,3039,3064
1493775628,3000,3029
1493781628,2956,2985
1493786432,3025,3054
