DateTime,Entries,UniqueIPs
1492782628,1784,1784
1492788028,1798,1798
1492793429,1808,1808
1492799428,1806,1806
1492804227,1834,1834
1492809628,1874,1874
1492814429,1919,1919
1492820428,1950,1950
1492827029,1917,1917
1492834228,1808,1808
1492840828,1732,1732
1492846228,1732,1732
1492851628,1755,1755
1492856428,1773,1773
1492861829,1770,1770
1492867228,1765,1765
1492872028,1753,1753
1492877429,1777,1777
1492883428,1791,1791
1492888228,1816,1816
1492894229,1798,1798
1492899029,1825,1825
1492904429,1925,1925
1492911628,1947,1947
1492917627,1867,1867
1492924828,1732,1732
1492930229,1671,1671
1492935028,1667,1667
1492941028,1672,1672
1492945829,1729,1729
1492951828,1741,1741
1492958428,1661,1661
1492962630,1638,1638
1492967430,1632,1632
1492972828,1613,1613
1492978228,1649,1649
1492983628,1686,1686
1492989029,1743,1743
1492995028,1757,1757
1493001028,1756,1756
1493006429,1742,1742
1493011228,1709,1709
1493016027,1702,1702
1493022027,1666,1666
1493026228,1669,1669
1493029825,1685,1685
1493033428,1731,1731
1493037026,1800,1800
1493041228,1854,1854
1493048432,1850,1850
1493055028,1764,1764
1493060428,1721,1721
1493065228,1700,1700
1493070628,1693,1693
1493075428,1693,1693
1493080228,1726,1726
1493085028,1709,1709
1493090428,1684,1684
1493095828,1627,1627
1493100627,1630,1630
1493104225,1624,1624
1493110228,1647,1647
1493115629,1652,1652
1493120428,1660,1660
1493126430,1619,1619
1493131828,1599,1599
1493136627,1597,1597
1493142029,1615,1615
1493145025,1647,1647
1493149228,1668,1668
1493154628,1690,1690
1493158225,1705,1705
1493163628,1740,1740
1493169628,1772,1772
1493175628,1723,1723
1493181028,1671,1671
1493185828,1594,1594
1493190628,1621,1621
1493194225,1618,1618
1493199628,1644,1644
1493205028,1637,1637
1493211029,1600,1600
1493215828,1570,1570
1493221230,1574,1574
1493226628,1582,1582
1493232028,1645,1645
1493237428,1667,1667
1493242828,1688,1688
1493246425,1715,1715
1493251827,1742,1742
1493258427,1741,1741
1493263828,1671,1671
1493268627,1639,1639
1493273427,1595,1595
1493278228,1602,1602
1493282428,1613,1613
1493287827,1630,1630
1493292628,1649,1649
1493296828,1648,1648
1493302828,1658,1658
1493307627,1676,1676
1493313027,1724,1724
1493316625,1718,1718
1493322029,1785,1785
1493328028,1796,1796
1493332828,1809,1809
1493336425,1848,1848
1493342428,1839,1839
1493347827,1825,1825
1493352628,1809,1809
1493358028,1799,1799
1493363427,1822,1822
1493369428,1863,1863
1493374828,1832,1832
1493380227,1806,1806
1493385628,1827,1827
1493391028,1810,1810
1493396430,1806,1806
1493401828,1768,1768
1493406628,1753,1753
1493412028,1782,1782
1493415625,1801,1801
1493421028,1817,1817
1493427028,1795,1795
1493432428,1767,1767
1493437829,1756,1756
1493442628,1770,1770
1493448029,1768,1768
1493453428,1757,1757
1493458827,1790,1790
1493464227,1802,1802
1493467825,1824,1824
1493473228,1826,1826
1493479229,1809,1809
1493484627,1819,1819
1493489428,1819,1819
1493494228,1924,1924
1493498428,1965,1965
1493503828,2020,2020
1493509827,2032,2032
1493515828,1979,1979
1493521828,1910,1910
1493528427,1857,1857
1493533228,1869,1869
1493538028,1891,1891
1493543428,1894,1894
1493549428,1888,1888
1493554228,1841,1841
1493560228,1833,1833
1493565630,1847,1847
1493571028,1860,1860
1493575828,1878,1878
1493581828,1908,1908
1493586632,1927,1927
1493592031,1947,1947
1493598028,1971,1971
1493603428,1948,1948
1493609428,1956,1956
1493614828,1961,1961
1493619629,1914,1914
1493625028,1897,1897
1493630438,1846,1846
1493635229,1832,1832
1493641228,1813,1813
1493646628,1794,1794
1493652030,1791,1791
1493656828,1791,1791
1493662229,1797,1797
1493667628,1823,1823
1493671225,1850,1850
1493674228,1904,1904
1493678428,1926,1926
1493684430,1983,1983
1493690428,1947,1947
1493695829,1898,1898
1493700628,1868,1868
1493706028,1847,1847
1493711428,1805,1805
1493716828,1802,1802
1493722228,1720,1720
1493727628,1669,1669
1493733030,1634,1634
1493738428,1573,1573
1493743228,1570,1570
1493748629,1592,1592
1493752225,1602,1602
1493755828,1631,1631
1493759425,1683,1683
1493764828,1720,1720
1493770236,1753,1753
1493775628,1781,1781
1493781628,1751,1751
1493786432,1794,1794
1493791828,1771,1771
1493797228,1802,1802
1493803228,1798,1798
1493808628,1746,1746
1493814028,1714,1714
1493819429,1708,1708
1493824228,1714,1714
1493829628,1749,1749
1493835628,1732,1732
1493841029,1739,1739
1493845828,1738,1738
1493850028,1755,1755
1493854827,1790,1790
1493860829,1760,1760
1493866228,1735,1735
1493871027,1683,1683
1493877028,1707,1707
1493881829,1721,1721
1493887229,1709,1709
1493892628,1703,1703
1493897428,1664,1664
1493902228,1653,1653
1493907628,1599,1599
1493913028,1577,1577
1493917828,1826,1826
1493923829,1837,1837
1493929829,1857,1857
1493934028,1873,1873
1493939429,2038,2038
1493946029,2045,2045
1493952028,2010,2010
1493959228,1987,1987
1493966429,1933,1933
1493973028,1876,1876
1493978428,1855,1855
1493983828,1842,1842
1493989228,1807,1807
1493994628,1784,1784
1494000028,1795,1795
1494004828,1822,1822
1494010228,1857,1857
1494015029,1911,1911
1494021029,1956,1956
1494026428,2072,2072
1494033029,2093,2093
1494041428,2033,2033
1494048028,1916,1916
1494054028,1882,1882
1494059429,1858,1858
1494064228,1818,1818
1494069628,1809,1809
1494075029,1780,1780
1494081028,1750,1750
1494085828,1723,1723
1494090628,1718,1718
1494096028,1736,1736
1494101429,1738,1738
1494106831,1791,1791
1494112228,1800,1800
1494116428,1831,1831
1494121829,1842,1842
1494127828,1830,1830
1494133229,1838,1838
1494138629,1793,1793
1494142829,1834,1834
1494148828,1865,1865
1494154230,1879,1879
1494160228,1866,1866
1494165028,1838,1838
1494170429,1825,1825
1494175829,1867,1867
1494181228,1914,1914
1494186629,1928,1928
1494192029,1958,1958
1494196829,1981,1981
1494201028,1982,1982
1494206428,2000,2000
1494212429,2000,2000
1494217829,1932,1932
1494223829,1901,1901
1494229829,1863,1863
1494235229,1830,1830
1494240629,1788,1788
1494246629,1765,1765
1494250829,1727,1727
1494256829,1718,1718
1494262229,1738,1738
1494267035,1760,1760
1494272435,1816,1816
1494277835,1858,1858
1494283235,1899,1899
1494288634,1900,1900
1494294635,1894,1894
1494300634,1815,1815
1494305434,1814,1814
1494310235,1772,1772
1494316235,1744,1744
1494321035,1727,1727
1494326435,1712,1712
1494331835,1715,1715
1494337835,1731,1731
1494343234,1704,1704
1494347435,1724,1724
1494351635,1743,1743
1494357035,1766,1766
1494363035,1798,1798
1494367835,1848,1848
1494371432,1892,1892
1494377435,1938,1938
1494383439,1936,1936
1494388835,1849,1849
1494393635,1818,1818
1494399635,1785,1785
1494403835,1759,1759
1494409235,1758,1758
1494414634,1731,1731
1494420635,1735,1735
1494426036,1728,1728
1494430834,1727,1727
1494436235,1750,1750
1494442235,1781,1781
1494447035,1839,1839
1494452435,1896,1896
1494457835,1923,1923
1494463835,1950,1950
1494469835,1897,1897
1494475835,1841,1841
1494480635,1777,1777
1494485435,1769,1769
1494490835,1737,1737
1494495635,1731,1731
1494501035,1714,1714
1494506436,1673,1673
1494511835,1680,1680
1494518435,1674,1674
1494522635,1682,1682
1494528035,1713,1713
1494531633,1742,1742
1494535241,1761,1761
1494540635,1786,1786
1494544835,1800,1800
1494550234,1786,1786
1494555635,1788,1788
1494561037,1798,1798
1494567041,1738,1738
1494571234,1741,1741
1494576635,1741,1741
1494582635,1745,1745
1494587435,1722,1722
1494592835,1689,1689
1494598834,1634,1634
1494603645,1627,1627
1494609035,1604,1604
1494612032,1615,1615
1494615635,1655,1655
1494619233,1690,1690
1494622836,1729,1729
1494627035,1745,1745
1494632434,1775,1775
1494638434,1778,1778
1494644435,1702,1702
1494648635,1686,1686
1494654635,1644,1644
1494658845,1645,1645
1494662432,1672,1672
1494666035,1680,1680
1494669633,1690,1690
1494673835,1718,1718
1494679835,1672,1672
1494684635,1631,1631
1494689435,1614,1614
1494693635,1623,1623
1494698436,1663,1663
1494705632,1756,1756
1494709835,1794,1794
1494713432,1827,1827
1494718835,2012,2012
1494725435,2044,2044
1494732035,1954,1954
1494738635,1883,1883
1494743435,1849,1849
1494748234,1826,1826
1494753635,1816,1816
1494758435,1835,1835
1494765035,1777,1777
1494770436,1733,1733
1494774636,1743,1743
1494780034,1742,1742
1494786035,1778,1778
1494790835,1754,1754
1494796236,1778,1778
1494799833,1823,1823
1494805235,1872,1872
1494811235,1920,1920
1494817236,1868,1868
1494822635,1824,1824
1494827435,1772,1772
1494832835,1797,1797
1494838236,1756,1756
1494843035,1757,1757
1494846632,1757,1757
