DateTime,AddedIPs,RemovedIPs
1493445363,21,0
1493448963,20,31
1493452563,13,35
1493456162,22,61
1493459763,56,0
1493463362,24,28
1493466962,21,42
1493470562,36,0
1493474163,21,17
1493477763,27,34
1493481362,22,20
1493484963,27,46
1493488562,28,0
1493492163,43,30
1493495762,36,43
1493499362,14,11
1493502962,12,0
1493506563,39,50
1493510162,36,0
1493513763,12,13
1493517362,20,38
1493520963,39,0
1493524562,32,23
1493528162,22,14
1493531763,38,34
1493535362,14,0
1493538963,28,23
1493542562,19,99
1493546163,70,34
1493549763,15,0
1493553362,21,52
1493556963,24,24
1493560562,53,28
1493564163,60,0
1493567763,25,21
1493571363,31,21
1493574962,21,0
1493578563,32,53
1493582162,26,0
1493585763,72,40
1493589363,16,33
1493592962,27,0
1493596562,55,44
1493600162,14,0
1493603764,14,43
1493607362,20,0
1493610963,26,44
1493614562,24,0
1493618163,28,40
1493621763,22,34
1493625362,24,33
1493628963,20,0
1493632562,32,96
1493636163,45,29
1493639762,28,0
1493643362,19,25
1493646963,51,37
1493650563,44,55
1493654162,20,0
1493657763,30,27
1493661363,27,20
1493664962,28,32
1493668562,20,93
1493672162,37,0
1493675763,7,17
1493679363,29,40
1493682964,28,60
1493686562,16,21
1493690163,15,0
1493693763,18,58
1493697362,24,0
1493700962,21,51
1493704563,33,0
1493708162,14,61
1493711762,34,0
1493715362,49,53
1493718963,28,37
1493722562,11,0
1493726162,17,32
1493729763,58,70
1493733363,30,0
1493736962,13,46
1493740563,10,18
1493744163,32,31
1493747762,11,17
1493751370,16,34
1493754967,17,20
1493820575,167,627
1493828582,67,85
1493832182,46,28
1493835843,35,27
1493839683,62,55
1493845443,33,188
1493849283,29,0
1493853062,37,0
1493856962,19,0
1493860743,20,0
1493864402,25,0
1493868182,20,0
1493871782,20,0
1493875382,21,0
1493879042,18,0
1493882822,26,0
1493886483,57,0
1493890262,29,0
1493893922,20,0
1493897702,41,0
1493901362,45,0
1493905203,34,0
1493908982,10,43
1493912644,11,0
1493916663,28,21
1493920263,35,28
1493923862,25,34
1493927522,18,48
1493931662,69,0
1493935382,37,13
1493938982,33,25
1493942643,14,9
1493946422,18,10
1493950082,24,13
1493953863,34,13
1493957462,29,12
1493961062,50,20
1493964664,10,18
1493968323,5,31
1493972103,39,40
1493975762,37,25
1493979542,30,20
1493983202,34,24
1493986983,31,34
1493990582,55,33
1493994183,30,27
1493997843,14,10
1494001682,27,22
1494005463,16,25
1494009063,14,14
1494012663,22,25
1494016322,26,48
1494020162,9,30
1494023942,25,21
1494027545,42,6
1494031142,11,9
1494034742,18,25
1494038402,29,31
1494042183,22,26
1494045783,15,49
1494049382,21,13
1494053043,26,21
1494056822,32,33
1494060423,20,55
1494064022,19,58
1494067623,51,25
1494071224,39,26
1494074882,61,35
1494078722,31,30
1494082563,22,16
1494086402,24,31
1494090063,22,15
1494094083,24,16
1494097922,18,16
1494101762,18,28
1494105543,62,11
1494109202,33,19
1494113282,26,40
1494117122,11,15
1494120903,34,15
