DateTime,Entries,UniqueIPs
1493481362,2905,2925
1493484963,2914,2935
1493488562,2919,2940
1493492163,2924,2945
1493495762,2903,2924
1493499362,2909,2930
1493502962,2904,2925
1493506563,2900,2921
1493510162,2917,2938
1493513763,2911,2932
1493517362,2912,2933
1493520963,2909,2931
1493524562,2921,2943
1493528162,2919,2941
1493531763,2927,2949
1493535362,2931,2953
1493538963,2937,2959
1493542562,2938,2959
1493546163,2965,2986
1493549763,2957,2978
1493553362,2947,2968
1493556963,2944,2964
1493560562,2948,2968
1493564163,2979,2999
1493567763,2991,3010
1493571363,3005,3024
1493574962,3012,3031
1493578563,3013,3032
1493582162,3022,3041
1493585763,3031,3051
1493589363,3029,3049
1493592962,3043,3063
1493596562,3063,3083
1493600162,3069,3088
1493603764,3064,3083
1493607362,3066,3085
1493610963,3071,3090
1493614562,3077,3096
1493618163,3073,3092
1493621763,3079,3098
1493625362,3067,3086
1493628963,3076,3095
1493632562,3062,3079
1493636163,3080,3098
1493639762,3023,3041
1493643362,3016,3034
1493646963,3035,3054
1493650563,3039,3058
1493654162,3054,3073
1493657763,3056,3074
1493661363,3066,3084
1493664962,3079,3097
1493668562,3083,3101
1493672162,3084,3102
1493675763,3073,3091
1493679363,3090,3108
1493682964,3087,3106
1493686562,3091,3110
1493690163,3072,3091
1493693763,3066,3085
1493697362,3071,3090
1493700962,3068,3087
1493704563,3078,3098
1493708162,3076,3096
1493711762,3078,3098
1493715362,3079,3099
1493718963,3079,3099
1493722562,3082,3102
1493726162,3072,3092
1493729763,3065,3085
1493733363,3078,3099
1493736962,3072,3093
1493740563,3078,3099
1493744163,3081,3102
1493747762,3075,3096
1493751370,3075,3096
1493754967,3076,3097
1493820575,3014,3032
1493828582,3022,3043
1493832182,3025,3046
1493835843,3028,3049
1493839683,3034,3055
1493845443,3041,3064
1493849283,3040,3065
1493853062,3041,3067
1493856962,3041,3067
1493860743,3042,3068
1493864402,3042,3068
1493868182,3029,3055
1493871782,3024,3050
1493875382,3022,3048
1493879042,3017,3043
1493882822,3007,3033
1493886483,3007,3033
1493890262,3000,3026
1493893922,3001,3027
1493897702,3002,3029
