DateTime,AddedIPs,RemovedIPs
1493481362,73,72
1493484963,83,82
1493488562,76,76
1493492163,106,106
1493495762,107,107
1493499362,91,91
1493502962,58,59
1493506563,96,96
1493510162,92,92
1493513763,56,56
1493517362,72,72
1493520963,90,90
1493524562,87,87
1493528162,73,72
1493531763,90,90
1493535362,60,60
1493538963,89,91
1493542562,79,78
1493546163,178,177
1493549763,90,90
1493553362,92,92
1493556963,85,86
1493560562,118,117
1493564163,140,141
1493567763,77,79
1493571363,98,97
1493574962,79,78
1493578563,108,108
1493582162,76,77
1493585763,184,182
1493589363,61,61
1493592962,92,92
1493596562,129,129
1493600162,62,62
1493603764,74,74
1493607362,91,92
1493610963,90,90
1493614562,77,78
1493618163,88,88
1493621763,80,80
1493625362,91,91
1493628963,81,82
1493632562,82,79
1493636163,103,103
1493639762,102,103
1493643362,88,88
1493646963,124,123
1493650563,117,118
1493654162,80,79
1493657763,94,95
1493661363,73,73
1493664962,91,92
1493668562,75,75
1493672162,99,97
1493675763,54,54
1493679363,94,94
1493682964,98,98
1493686562,68,68
1493690163,64,64
1493693763,81,82
1493697362,82,83
1493700962,77,75
1493704563,86,88
1493708162,73,74
1493711762,94,92
1493715362,115,114
1493718963,113,114
1493722562,73,73
1493726162,80,82
1493729763,146,143
1493733363,86,89
1493736962,69,69
1493740563,72,71
1493744163,117,115
1493747762,70,70
1493751370,75,75
1493754967,75,76
1493820575,248,247
1493828582,100,102
1493832182,75,74
1493835843,83,82
1493839683,111,111
1493845443,101,101
1493849283,82,82
1493853062,94,94
1493856962,60,60
1493860743,60,60
1493864402,79,80
1493868182,67,69
1493871782,62,62
1493875382,84,83
1493879042,82,82
1493882822,90,89
1493886483,122,121
1493890262,88,90
1493893922,79,77
1493897702,79,80
1493901362,102,102
1493905203,104,105
1493908982,75,75
1493912644,72,70
1493916663,78,78
1493920263,88,88
1493923862,76,76
1493927522,75,75
1493931662,139,140
1493935382,92,93
1493938982,89,88
1493942643,57,59
1493946422,67,66
1493950082,83,84
1493953863,85,84
1493957462,90,89
1493961062,127,127
1493964664,61,62
1493968323,75,73
1493972103,116,116
1493975762,131,131
1493979542,130,130
1493983202,85,85
1493986983,85,85
1493990582,128,128
1493994183,107,108
1493997843,56,56
1494001682,91,90
1494005463,63,63
1494009063,75,75
1494012663,69,69
1494016322,86,86
1494020162,58,58
1494023942,88,88
1494027545,105,105
1494031142,55,55
1494034742,63,63
1494038402,101,102
1494042183,72,72
1494045783,66,66
1494049382,78,77
1494053043,81,82
1494056822,103,104
1494060423,68,69
1494064022,73,71
1494067623,112,112
1494071224,135,134
1494074882,163,165
1494078722,102,103
1494082563,88,88
