DateTime,AddedIPs,RemovedIPs
1492650739,1,0
1492651216,0,1
1492651695,1,2
1492652176,1,1
1492652655,1,2
1492653133,2,3
1492653857,2,3
1492654334,2,2
1492654830,0,2
1492655297,0,1
1492666094,1,0
1492679302,2,3
1492708097,2,2
1492737618,0,2
1492738104,1,2
1492738573,1,0
1492739056,0,4
1492739533,4,3
1492740254,2,0
1492740733,2,2
1492741226,1,1
1492747937,0,1
1492748414,1,0
1492810574,1,0
1492813699,0,1
1492815136,1,0
1492816581,1,2
1492817053,1,0
1492823553,0,1
1492824017,0,3
1492824494,3,0
1492824974,0,2
1492825464,3,0
1492825935,1,1
1492826905,2,5
1492827378,0,2
1492827855,1,0
1492828337,0,1
1492828816,1,0
1492837934,0,2
1492839144,1,0
1492842025,0,1
1492842499,1,0
1492868894,0,1
1492869375,1,0
1492883775,0,1
1492884500,1,0
1492886901,0,1
1492888101,1,0
1492888574,0,1
1492889060,1,0
1492889539,0,1
1492890015,1,0
1492893374,0,1
1492895296,1,0
1492899135,0,1
1492899632,1,0
1492900098,0,1
1492901537,1,0
1492902506,0,1
1492902974,1,0
1492905860,0,1
1492906815,1,0
1492907783,0,1
1492908257,1,0
1492908734,0,1
1492909704,1,2
1492910183,2,1
1492910658,2,2
1492911134,1,0
1492912575,0,1
1492913055,1,1
1492914495,0,4
1492914974,2,0
1492918573,0,1
1492919057,1,0
1492920496,0,1
1492920976,1,0
1492924097,0,1
1492924578,1,0
1492925058,0,1
1492925784,1,0
1492926257,0,1
1492926978,1,0
1492927700,0,1
1492928659,1,0
1492930095,0,1
1492930574,1,0
1492931054,0,1
1492931547,1,0
1492932973,0,1
1492933459,1,0
1492935134,0,2
1492935618,1,0
1492939933,1,0
1492942100,0,1
1492942579,1,0
1492943540,0,1
1492944015,1,0
1492944979,0,1
1492945462,1,0
1492954824,0,1
1492955302,1,0
1492956747,0,1
1492957234,1,0
1492961296,0,1
1492961773,1,0
1492962253,0,1
1492967056,1,0
1492971374,0,1
1492971858,1,0
1492973778,0,1
1492974255,1,0
1492976896,0,1
1492979294,1,0
1492980253,0,1
1492982173,1,0
1492986501,0,1
1492986974,1,0
1492989855,0,2
1492990335,1,0
1492991779,1,0
1492995140,0,1
1492996098,1,0
1492996578,1,1
1492997060,1,0
1492997537,0,2
1492998016,1,1
1492998505,1,1
1492998981,1,0
1492999935,2,1
1493000900,0,1
1493001375,1,0
1493003295,0,1
1493005216,1,0
1493008099,0,1
1493008577,1,0
1493027533,0,1
1493028496,0,4
1493039538,0,1
1493082498,0,3
1493082975,0,7
1493083455,0,5
1493083938,0,6
1493084421,0,17
1493084897,0,13
1493085375,1,10
1493086109,0,14
1493086584,1,6
1493087070,0,10
1493087540,0,6
