DateTime,Entries,UniqueIPs
1495288921,3646,3688
1495290721,3647,3690
1495291322,3652,3695
1495292522,3648,3690
1495293121,3650,3692
1495293721,3650,3692
1495294922,3653,3695
1495295521,3655,3697
1495296722,3653,3695
1495297322,3666,3708
1495297921,3666,3708
1495299122,3667,3709
1495299721,3668,3710
1495300322,3668,3710
1495300922,3667,3709
1495302122,3670,3712
1495302722,3673,3715
1495303322,3675,3717
1495303921,3676,3718
1495304521,3670,3712
1495305122,3671,3713
1495305722,3670,3712
1495306322,3669,3711
1495306923,3676,3720
1495307521,3675,3719
1495308123,3669,3713
1495308722,3670,3714
1495309321,3672,3716
1495309921,3672,3716
1495311122,3670,3714
1495312322,3666,3710
1495312921,3668,3712
1495313522,3670,3714
1495314122,3673,3717
1495314722,3674,3718
1495315322,3673,3717
1495315922,3674,3718
1495316521,3668,3711
1495317122,3665,3708
1495318322,3665,3708
1495318921,3668,3711
1495320122,3668,3711
1495320722,3669,3712
1495322522,3672,3715
1495323121,3674,3717
1495324921,3681,3724
1495326121,3682,3725
1495326724,3684,3727
1495327322,3687,3730
1495328522,3712,3755
1495329121,3715,3760
1495329721,3714,3759
1495330322,3714,3759
1495330922,3755,3800
1495331522,3768,3813
1495332121,3781,3826
1495333321,3781,3826
1495333923,3826,3871
1495334522,3827,3872
1495335722,3827,3872
1495336322,3830,3876
1495336921,3829,3875
1495337522,3831,3877
1495338122,3834,3880
1495338722,3832,3878
1495339322,3830,3876
1495340522,3826,3872
1495341122,3837,3883
1495341722,3843,3889
1495342321,3845,3891
1495342922,3852,3898
1495343521,3846,3893
1495344122,3848,3895
1495344722,3858,3905
1495345322,3856,3903
1495345922,3855,3902
1495346522,3848,3895
1495347122,3851,3898
1495347721,3851,3898
1495348321,3867,3915
1495348921,3868,3916
1495349521,3860,3908
1495350122,3841,3889
1495350721,3842,3890
1495351322,3842,3890
1495352522,3843,3891
1495353122,3837,3885
1495353721,3851,3901
1495354322,3853,3903
1495354921,3863,3915
1495355521,3864,3915
1495356122,3869,3920
1495357321,3856,3907
1495357922,3867,3919
1495358522,3872,3927
1495359722,3879,3936
1495360321,3883,3940
1495360921,3890,3947
1495361522,3891,3948
1495362122,3899,3958
1495362721,3901,3960
1495363321,3906,3966
1495363922,3915,3975
1495364521,3916,3976
1495365721,3911,3972
1495366321,3914,3976
1495366921,3921,3985
1495367522,3931,3998
1495368121,3936,4005
1495369321,3933,4002
1495369921,3935,4006
1495370521,3938,4009
1495371122,3926,4000
1495371732,3930,4004
1495372321,3939,4015
1495372922,3940,4016
1495373522,3945,4020
1495374122,3951,4026
1495374722,3955,4030
1495375322,3955,4030
1495376521,3957,4034
1495377122,3959,4038
1495377722,3972,4052
1495378321,3970,4050
1495378921,3968,4047
1495379521,3979,4061
1495380122,3982,4066
1495380721,3983,4068
1495381321,3987,4072
1495381922,3986,4071
1495382522,3998,4085
1495383121,3993,4080
1495383722,3996,4083
1495384322,3997,4085
1495384922,3993,4081
1495386122,3997,4085
1495386722,3996,4086
1495387321,3995,4085
1495387925,4001,4097
1495388521,4008,4105
1495389121,4019,4116
1495389722,4024,4121
1495390321,4033,4130
1495390922,4034,4130
1495391522,4036,4133
1495392121,4039,4136
1495392722,4042,4144
1495393322,4039,4143
1495393921,4046,4150
1495394522,4049,4153
1495395722,4059,4166
1495396321,4055,4162
1495396921,4050,4157
1495398121,4049,4156
1495398721,4051,4159
1495399322,4053,4168
1495399922,4056,4174
1495400521,4059,4178
1495401121,4062,4182
1495404722,4067,4190
1495407121,4070,4195
1495408321,4076,4201
1495409522,4082,4208
1495411321,4072,4198
1495411922,4080,4208
1495412521,4083,4211
1495413122,4089,4217
1495413722,4095,4223
1495414321,4100,4230
1495414922,4103,4233
1495415522,4109,4240
1495416122,4111,4243
1495416721,4113,4245
1495417322,4116,4249
1495417923,4117,4253
1495418521,4120,4260
1495419121,4120,4263
1495419721,4123,4266
1495420321,4121,4264
1495420936,4122,4266
1495421522,4125,4269
1495422722,4129,4273
1495423321,4132,4276
1495424522,4133,4277
1495425121,4137,4281
1495425722,4139,4283
1495426322,4141,4285
1495426921,4144,4287
1495427522,4149,4292
1495428122,4152,4296
1495428721,4149,4293
1495429323,4150,4294
1495429922,4150,4295
1495430522,4153,4298
1495431121,4151,4298
1495431721,4154,4301
1495432322,4162,4309
1495432921,4165,4312
1495433521,4164,4311
1495434121,4168,4315
1495434722,4167,4315
1495435322,4171,4319
1495435921,4166,4313
1495436521,4165,4314
1495437721,4167,4316
1495438922,4166,4318
1495439522,4169,4321
1495440122,4171,4323
1495440722,4172,4326
1495441322,4172,4330
1495441921,4176,4334
1495442522,4181,4339
1495443721,4178,4336
1495444321,4179,4337
1495444921,4181,4342
1495445522,4177,4338
1495446122,4178,4339
1495446721,4179,4340
1495447321,4182,4344
1495447926,4184,4348
1495448522,4187,4352
1495449121,4189,4354
1495449722,4194,4359
1495450321,4198,4364
1495450922,4202,4369
1495451522,4208,4377
1495452122,4212,4382
1495452722,4210,4380
1495453321,4211,4381
1495453921,4211,4381
1495454522,4214,4388
1495455121,4215,4389
1495456321,4217,4391
1495456921,4219,4393
1495457521,4222,4396
1495458722,4239,4414
1495459321,4240,4415
1495459922,4233,4408
1495460521,4234,4409
1495461122,4235,4410
1495461722,4228,4403
1495462322,4229,4404
1495462922,4230,4405
1495463521,4232,4407
1495464121,4235,4410
1495464721,4236,4412
1495465321,4239,4415
1495466522,4239,4415
1495467721,4241,4417
1495468322,4248,4425
1495468922,4246,4423
1495469521,4252,4429
1495470121,4253,4430
1495470722,4266,4446
1495471321,4270,4451
1495472521,4268,4450
1495473121,4272,4454
1495473722,4275,4459
1495474321,4278,4462
1495474921,4269,4454
1495475522,4271,4456
1495476722,4269,4455
1495477321,4267,4453
1495477922,4271,4457
1495478522,4269,4457
1495479122,4271,4459
1495479722,4278,4469
1495480321,4279,4470
1495480922,4277,4468
1495481522,4279,4471
1495482122,4281,4474
1495482722,4284,4477
1495483321,4286,4480
1495483921,4290,4485
1495484522,4290,4485
1495485122,4290,4490
1495485722,4293,4495
1495486322,4296,4500
1495486922,4298,4503
1495487521,4300,4505
1495488121,4292,4498
1495488721,4289,4496
1495489321,4292,4499
1495489923,4301,4509
1495490522,4301,4510
1495491121,4303,4512
1495491721,4307,4516
1495492321,4307,4518
1495492922,4310,4521
1495493522,4309,4520
1495494122,4311,4522
1495494722,4311,4522
1495495321,4314,4525
1495496522,4320,4531
1495497121,4321,4532
1495497722,4323,4535
1495498322,4324,4536
1495498922,4327,4539
1495500121,4327,4539
1495500721,4326,4538
1495501322,4328,4540
1495501922,4327,4539
1495503121,4329,4541
1495503721,4330,4542
1495504322,4319,4533
1495504922,4313,4529
1495505522,4315,4531
1495506122,4318,4534
1495506722,4318,4535
1495508521,4318,4535
1495509722,4316,4533
1495510922,4314,4531
1495511521,4316,4534
1495512121,4316,4537
1495512722,4316,4538
1495513322,4312,4535
1495513922,4313,4538
1495514521,4313,4538
1495515721,4300,4525
1495516321,4299,4528
1495516921,4299,4529
1495517523,4302,4533
1495518121,4299,4530
1495518721,4298,4530
1495519321,4299,4531
1495519922,4300,4532
1495520521,4295,4527
1495522921,4281,4514
1495523521,4275,4508
1495525322,4260,4492
1495525922,4261,4493
1495526523,4259,4491
1495527722,4259,4491
1495528321,4258,4493
1495529521,4259,4494
1495530122,4254,4489
1495530722,4261,4496
1495531322,4263,4498
1495532521,4260,4495
1495533121,4260,4495
1495534322,4261,4496
1495534922,4256,4491
1495535522,4259,4494
1495536122,4263,4498
1495536722,4253,4488
1495537321,4253,4488
1495537921,4238,4473
1495538522,4241,4476
1495539722,4239,4474
1495540922,4235,4474
1495541522,4231,4469
1495542721,4223,4461
1495543321,4224,4464
1495543921,4226,4465
1495544521,4214,4453
1495545122,4216,4456
1495545721,4223,4465
1495546321,4217,4459
1495547521,4216,4459
1495548121,4213,4456
1495549922,4212,4456
1495551722,4199,4443
1495552322,4199,4443
1495553521,4200,4444
1495554121,4204,4448
1495554721,4204,4450
1495555322,4207,4453
1495555922,4210,4456
1495556521,4208,4454
1495557122,4211,4458
1495557731,4211,4458
1495558322,4212,4459
1495558921,4215,4462
1495559521,4220,4467
1495560126,4216,4464
1495560722,4211,4459
1495561321,4212,4460
1495562522,4182,4429
1495563121,4176,4423
1495563721,4175,4422
1495564322,4177,4424
1495566122,4164,4411
1495566722,4166,4413
1495567321,4162,4409
1495567922,4162,4410
1495568522,4162,4411
1495569121,4163,4412
1495569721,4164,4413
1495570922,4160,4409
1495571522,4165,4414
1495573322,4163,4412
1495573922,4164,4413
1495574522,4165,4414
1495575722,4164,4413
1495578122,4160,4409
1495578721,4159,4408
1495579921,4156,4405
1495580521,4155,4404
1495581122,4136,4385
1495581721,4138,4387
