DateTime,AddedIPs,RemovedIPs
1495274521,80,80
1495275121,77,77
1495275722,80,80
1495276922,77,77
1495277521,80,80
1495278122,75,75
1495279322,68,68
1495279921,78,78
1495280521,80,80
1495281722,79,79
1495282321,80,80
1495282922,80,80
1495283521,73,73
1495284122,78,78
1495285322,76,76
1495285921,65,65
1495286522,10,10
1495287121,80,80
1495287722,78,78
1495288322,80,80
1495288921,63,63
1495289521,80,80
1495290122,80,80
1495290721,75,75
1495291322,70,70
1495292522,80,80
1495293121,80,80
1495293721,77,77
1495294922,70,70
1495295521,67,67
1495296121,77,77
1495296722,67,67
1495297322,75,75
1495297921,50,50
1495298521,73,73
1495299122,80,80
1495299721,74,74
1495300322,80,80
1495300922,72,72
1495302122,54,54
1495302722,80,80
1495303322,74,74
1495303921,80,80
1495304521,74,74
1495305122,76,76
1495305722,67,67
1495306322,80,80
1495306923,80,80
1495307521,80,80
1495308123,75,75
1495308722,58,58
1495309321,67,67
1495309921,80,80
1495311122,70,70
1495312322,74,74
1495312921,80,80
1495313522,63,63
1495314122,69,69
1495314722,74,74
1495315322,80,80
1495315922,80,80
1495316521,80,80
1495317122,75,75
1495317722,73,73
1495318322,80,80
1495318921,80,80
1495320122,78,78
1495320722,62,62
1495321321,61,61
1495322522,71,71
1495323121,69,69
1495323722,80,80
1495324322,80,80
1495324921,70,70
1495326121,75,75
1495326724,80,80
1495327322,75,75
1495328522,73,73
1495329121,80,80
1495329721,80,80
1495330322,80,80
1495330922,80,80
1495331522,80,80
1495332121,80,80
1495333321,79,79
1495333923,80,80
1495334522,80,80
1495335722,66,66
1495336322,80,80
1495336921,79,79
1495337522,42,42
1495338122,80,80
1495338722,80,80
1495339322,80,80
1495340522,76,76
1495341122,79,79
1495341722,52,52
1495342321,80,80
1495342922,80,80
1495343521,80,80
1495344122,80,80
1495344722,80,80
1495345322,80,80
1495345922,79,79
1495346522,80,80
1495347122,78,78
1495347721,74,74
1495348321,76,76
1495348921,76,76
1495349521,80,80
1495350122,79,79
1495350721,80,80
1495351322,80,80
1495351922,76,76
1495352522,80,80
1495353122,80,80
1495353721,79,79
1495354322,69,69
1495354921,80,80
1495355521,80,80
1495356122,80,80
1495357321,38,38
1495357922,79,79
1495358522,80,80
1495359722,78,78
1495360321,80,80
1495360921,80,80
1495361522,80,80
1495362122,80,80
1495362721,78,78
1495363321,80,80
1495363922,79,79
1495364521,75,75
1495365721,80,80
1495366321,76,76
1495366921,77,77
1495367522,72,72
1495368121,78,78
1495369321,78,78
1495369921,73,73
1495370521,80,80
1495371122,80,80
1495371732,49,49
1495372321,80,80
1495372922,80,80
1495373522,80,80
1495374122,80,80
1495374722,80,80
1495375322,80,80
1495376521,80,80
1495377122,80,80
1495377722,68,68
1495378321,80,80
1495378921,80,80
1495379521,80,80
1495380122,75,75
1495380721,76,76
1495381321,75,75
1495381922,13,13
1495382522,80,80
1495383121,79,79
1495383722,80,80
1495384322,80,80
