DateTime,Entries,UniqueIPs
1494880921,265,269
1494883321,264,268
1494884521,268,272
1494885122,269,273
1494885721,270,274
1494886921,272,276
1494887521,271,275
1494888722,269,273
1494890522,267,271
1494891122,265,269
1494892922,265,269
1494894122,266,270
1494894721,269,273
1494895321,267,271
1494895921,266,270
1494896523,263,267
1494898921,259,263
1494899521,260,264
1494900122,259,263
1494900721,258,262
1494901322,252,256
1494901922,258,262
1494902521,259,263
1494903721,258,262
1494904322,257,261
1494905521,257,261
1494906122,262,266
1494906721,262,266
1494907323,260,264
1494908521,253,257
1494909721,253,257
1494910322,255,259
1494910921,253,257
1494911521,251,255
1494912721,250,254
1494913322,252,256
1494914521,254,258
1494915121,255,259
1494915721,249,253
1494916321,246,250
1494917522,243,247
1494918121,244,248
1494918722,246,250
1494919321,243,247
1494919921,245,249
1494920521,246,250
1494921122,245,249
1494921722,244,248
1494922322,243,247
1494923522,241,245
1494924722,242,246
1494925321,241,245
1494926522,238,242
1494927121,235,239
1494928922,240,244
1494929522,241,245
1494931321,240,244
1494932522,244,248
1494934922,240,243
1494935523,239,242
1494936122,240,243
1494936721,239,242
1494937322,241,244
1494938521,240,243
1494939122,238,241
1494939722,239,242
1494940922,238,241
1494943322,239,243
1494943922,240,244
1494945722,240,244
1494946322,241,245
1494946921,242,246
1494947522,242,246
1494948122,241,245
1494949922,244,248
1494950521,243,247
1494951121,242,246
1494952321,243,247
1494952922,244,248
1494954722,245,249
1494955322,246,250
1494956521,245,249
1494958321,246,250
1494960121,245,249
1494961922,250,254
1494962522,252,256
1494963122,249,253
1494963721,250,254
1494964322,249,253
1494964922,250,254
1494966121,251,255
1494966721,250,253
1494968522,250,252
1494969122,250,252
1494970321,251,253
1494972121,252,254
1494972722,254,256
1494973322,255,257
1494975122,255,257
1494976921,251,253
1494978122,252,254
1494979322,252,254
1494979921,249,251
1494980522,250,252
1494981122,249,251
1494981722,251,253
1494982322,254,256
1494982922,253,255
1494984722,254,256
1494987723,247,249
1494988321,248,250
1494988922,247,249
1494989522,246,248
1494990121,246,248
1494990722,245,247
1494991321,242,244
1494992522,240,242
1494993122,237,239
1494994321,236,238
1494995521,235,237
1494997322,237,239
1494997922,241,243
1494999122,243,245
1494999721,241,243
1495000322,240,242
1495000922,240,242
1495002122,241,243
1495002721,242,244
1495004521,241,243
1495005122,238,240
1495006322,237,239
1495006922,236,238
1495009321,237,239
1495009922,240,242
1495010523,242,244
1495011122,241,243
1495011722,242,244
1495012322,243,245
1495012922,246,248
1495014122,242,244
1495015322,243,245
1495016521,243,245
1495017121,245,247
1495018921,246,248
1495020122,247,249
1495022521,246,248
1495023121,245,247
1495024921,248,250
1495025521,247,249
1495027322,247,249
1495028522,245,247
1495030322,244,246
1495030921,245,247
1495032122,241,243
1495032721,242,244
1495033322,239,241
1495036321,236,238
1495037521,237,239
1495038122,235,237
1495039321,232,234
1495041122,233,235
1495043522,237,239
1495046521,239,241
1495047121,240,242
1495047722,238,240
1495048922,236,238
1495049522,243,245
1495050122,244,246
1495051921,248,250
1495052521,249,251
1495053722,250,252
1495056722,252,254
1495057321,253,255
1495057921,253,255
1495059121,256,258
1495059722,257,259
1495060321,255,257
1495061522,254,256
1495062122,253,255
1495063921,252,254
1495064522,251,253
1495065722,252,254
1495066323,255,257
1495066922,253,255
1495067521,255,257
1495068122,258,260
1495068721,260,262
1495069322,260,262
1495070521,263,266
1495071123,262,265
1495071722,264,267
1495072922,266,269
1495073522,266,269
1495074721,262,265
1495075322,265,268
1495075922,290,303
1495076522,290,304
1495077121,290,304
1495077721,291,305
1495078921,290,304
1495080121,291,305
1495080722,292,306
1495081322,296,313
1495082522,296,315
1495083121,297,316
1495083722,299,318
1495084322,304,330
1495086121,307,333
1495086722,308,335
1495087921,302,329
1495088521,302,331
1495089721,303,333
1495090921,301,333
1495091521,300,332
1495092121,302,338
1495093921,303,339
1495094521,304,340
1495095122,304,340
1495095722,304,340
1495096321,302,338
1495098122,295,331
1495098722,297,333
1495099322,294,330
1495099922,295,331
1495101122,296,332
1495101722,294,330
1495102921,295,331
1495104721,294,330
1495105921,297,333
1495107122,299,335
1495108922,296,332
1495109522,294,330
1495110122,292,328
1495111321,293,329
1495113121,295,331
1495113722,298,334
1495116721,299,335
1495117322,299,335
1495117922,300,336
1495119121,299,335
1495121522,298,334
1495122122,297,333
1495123922,298,334
1495124521,296,332
1495125122,298,334
1495125721,299,335
1495127522,300,336
1495129321,299,335
1495131122,299,335
1495131721,297,333
1495132923,299,335
1495134722,297,333
1495135922,296,332
1495136521,295,331
1495137122,296,332
1495137722,292,328
1495138922,292,327
1495139521,290,325
1495140722,292,327
1495141322,294,329
1495141921,293,328
1495142521,295,330
1495143721,295,330
1495144322,293,328
1495146121,292,327
1495147322,292,327
1495148521,289,324
1495149122,290,325
1495149721,293,328
1495150922,294,329
1495151522,294,329
1495152122,294,330
1495152722,291,327
1495153322,289,325
1495153921,286,322
1495154522,287,323
1495155722,290,326
1495156322,290,326
1495158121,284,320
1495158721,286,322
1495159921,286,322
1495160522,285,321
1495161121,280,316
1495162921,259,294
1495163526,258,293
1495164122,257,292
1495165321,260,295
1495165921,259,294
1495167122,259,294
1495168936,258,293
1495169521,258,293
1495170121,254,289
1495171322,249,283
1495171922,250,284
1495172521,247,281
1495173121,249,283
1495174322,242,276
1495174921,243,277
1495176122,244,278
1495177322,243,277
1495178521,242,276
1495179721,240,274
1495180323,240,274
1495180922,239,273
1495182122,239,273
1495182722,240,274
1495183321,241,275
1495185122,235,267
1495185721,236,268
1495186922,228,260
1495188121,227,258
1495189322,224,255
1495190521,223,254
1495191122,222,253
1495191722,222,251
1495192921,221,250
1495193521,222,251
1495194722,224,252
1495195321,223,249
1495195921,223,249
1495196521,228,254
1495197721,223,241
1495198921,220,235
1495200122,218,232
1495200721,219,233
1495201922,218,232
1495203121,216,230
1495203721,217,231
1495204922,219,231
1495206122,220,230
1495207321,219,229
1495208522,219,228
1495209121,220,229
1495209721,221,230
1495210322,221,230
1495210921,224,233
1495212121,222,231
1495214521,223,230
1495215721,224,231
1495216323,224,230
1495217521,224,230
1495218721,223,226
1495219321,225,228
1495220522,223,226
1495221721,222,225
1495222922,224,227
1495223521,223,225
1495224121,222,224
1495225321,220,222
1495226522,219,221
1495227721,215,217
1495228321,216,218
1495228922,214,216
1495230122,216,218
1495230722,218,220
1495231922,214,216
1495233122,212,214
1495234322,210,212
1495234922,209,211
1495239721,210,212
1495240322,208,210
1495240923,209,211
1495242122,212,214
1495243321,211,213
1495245122,204,206
1495246321,206,208
1495248122,206,208
1495250521,208,210
1495251122,209,211
1495252922,209,211
1495253522,210,212
1495255921,208,210
1495256523,209,211
1495257721,211,213
1495258922,206,208
1495259521,204,206
1495261321,202,204
1495262522,201,203
1495263722,205,207
1495264921,203,205
1495266122,204,206
1495267321,203,205
1495268521,205,207
1495269723,206,208
1495270921,205,207
1495272122,202,204
1495273922,205,207
1495274521,206,208
1495276922,207,209
1495277521,207,209
1495278121,204,206
1495278721,205,207
1495279921,202,204
1495281722,200,202
1495282922,202,204
1495284122,206,208
1495285322,204,206
1495287121,205,207
1495287722,206,208
1495288322,207,209
1495290122,207,209
1495292522,208,210
1495293721,209,211
1495294322,212,214
1495294922,214,216
1495296121,213,215
1495296722,211,213
1495300322,210,212
1495300922,206,207
1495302122,205,206
1495302722,213,214
1495303322,220,221
1495303921,220,222
1495304521,219,220
1495305722,218,219
1495308122,218,219
1495309321,218,219
1495309921,219,220
1495312322,220,221
1495312921,221,222
1495313522,223,224
1495314122,222,223
1495314722,222,223
1495316521,216,217
1495317122,218,219
1495317722,219,220
1495318921,220,221
1495320722,221,222
1495321321,223,224
1495322522,226,227
1495323121,231,232
1495324921,230,231
1495326121,229,231
1495326724,231,233
1495327322,233,235
1495328522,225,227
1495329721,226,228
1495330322,227,229
1495331522,228,230
1495332121,229,231
1495333321,231,233
1495335722,232,234
1495336921,233,235
1495337522,234,236
1495338122,232,234
1495339322,234,237
1495340522,230,233
1495342922,235,238
1495345322,234,237
1495345922,236,239
1495348321,237,240
1495350122,237,240
1495351322,234,237
1495351922,231,234
1495353122,229,232
1495353721,230,233
1495354921,231,234
1495356122,238,241
1495357321,241,244
1495357922,241,244
1495358522,240,243
1495359722,241,244
1495360321,237,240
1495363321,237,240
1495364521,242,245
1495365721,241,244
1495366921,239,242
1495368722,236,239
1495370521,232,235
1495372922,233,236
1495373522,233,236
1495374122,234,237
1495374722,234,237
1495376521,232,235
1495377722,231,234
1495381321,227,230
1495381922,234,237
1495383121,232,235
1495383722,233,236
1495386722,234,237
1495387925,235,238
1495389121,230,233
1495389722,230,233
1495390321,231,234
1495392121,231,234
1495393322,232,235
1495393921,232,235
1495395722,239,242
1495398121,239,242
1495398721,240,243
1495399322,239,242
1495399922,240,243
1495400521,243,246
1495404722,241,244
1495407121,242,245
1495408321,238,241
1495409522,236,239
1495411321,235,238
1495411922,237,240
1495412521,236,239
