DateTime,AddedIPs,RemovedIPs
1493434959,0,3
1493438559,1,0
1493442218,0,3
1493445759,2,3
1493449419,2,0
1493452958,2,0
1493456558,1,1
1493463758,0,3
1493467358,2,0
1493478220,1,2
1493481759,0,3
1493489019,1,2
1493492559,1,3
1493496219,2,2
1493499760,0,2
1493507020,2,4
1493510559,1,0
1493514219,1,0
1493521360,1,1
1493524959,3,3
1493528559,1,0
1493532159,0,2
1493535819,2,2
1493539421,3,0
1493542959,1,0
1493546621,0,5
1493550220,1,0
1493553760,0,1
1493560960,1,3
1493564560,1,1
1493568220,0,1
1493571760,3,1
1493575360,1,0
1493578961,0,3
1493586220,1,9
1493589820,2,2
1493593361,2,4
1493596961,2,0
1493600620,0,2
1493604220,4,2
1493607760,2,0
1493611422,3,4
1493614961,1,0
1493618561,1,4
1493622161,4,0
1493625761,0,2
1493629361,4,0
1493633021,0,8
1493636562,2,0
1493640162,2,1
1493643761,0,4
1493647361,4,0
1493650961,2,0
1493654561,3,2
1493658162,4,0
1493661761,0,1
1493665362,1,7
1493668961,2,0
1493672621,0,4
1493676222,3,2
1493679762,1,0
1493683363,4,2
1493686965,2,0
1493690622,0,1
1493694162,2,2
1493697762,3,3
1493701422,1,0
1493705023,0,1
1493708562,3,5
1493719423,0,5
1493726563,1,0
1493730224,0,2
1493733822,3,1
1493737362,0,6
1493741023,3,0
1493744562,1,3
1493748162,3,1
1493751763,2,5
1493755363,2,0
1493758964,2,1
1493762623,1,6
1493766163,2,2
1493769764,1,0
1493773365,1,1
1493776964,1,0
1493780564,3,1
1493784164,1,4
1493787763,1,1
1493791363,0,2
1493795024,2,3
1493802223,0,3
1493805823,1,0
1493809363,1,0
1493813023,0,1
1493816564,3,3
1493820224,1,0
1493823764,2,0
1493827364,2,6
1493830966,1,0
1493834624,2,1
1493838164,1,1
1493841764,1,2
1493845424,2,1
1493848964,0,1
1493852564,1,0
1493856164,2,1
1493863365,0,3
1493866966,1,4
1493870566,5,2
1493874225,1,0
1493877764,2,3
1493881365,2,0
1493884964,2,2
1493888564,2,0
1493892225,3,2
1493895765,1,1
1493899365,2,3
1493902966,3,0
1493906565,2,0
1493910166,0,5
1493913826,4,0
1493917365,2,5
1493920965,1,1
1493924567,1,0
1493928166,1,1
1493931766,2,1
1493935365,4,3
1493939025,3,1
1493942565,0,2
1493946166,0,2
1493949766,0,2
1493953366,1,0
1493956966,3,6
1493960566,1,0
1493964166,0,3
1493967766,2,0
1493971427,1,5
1493974966,1,1
1493982166,2,0
1493985767,1,4
1493989366,1,0
1493992966,2,3
1493996567,3,4
1494000168,3,0
1494003767,0,1
1494007367,1,2
1494010967,1,3
1494014566,1,1
1494018166,1,2
1494021766,2,0
1494025367,3,2
1494028966,0,1
1494032628,2,1
1494036167,0,3
1494039767,1,0
1494043367,2,9
1494046967,1,0
1494050567,1,1
1494054168,3,1
1494057767,0,2
1494061367,2,0
1494064967,2,3
1494068568,1,1
1494072168,0,1
1494075767,1,2
1494079367,2,6
1494082967,1,1
1494086627,2,0
1494090168,1,1
1494093827,2,4
1494097367,1,0
1494101027,2,3
1494104568,1,2
1494108167,1,0
1494111769,5,5
1494115368,2,1
1494122628,1,2
1494126169,2,0
1494129769,2,4
1494140568,1,2
1494147768,2,0
1494151369,3,1
1494154969,1,1
1494158629,1,0
1494162229,1,1
1494165768,1,3
1494169369,2,1
1494170645,1,0
1494172985,12,0
1494176587,3,2
1494180185,2,0
1494183785,1,0
1494187387,0,6
1494190986,1,0
1494194527,3,4
1494198125,2,3
1494201787,2,0
1494205385,1,0
1494208986,1,2
1494212587,0,4
1494216125,3,0
1494223385,2,0
1494226987,0,2
1494230588,1,2
1494234188,1,0
1494237788,1,2
1494244992,0,4
