DateTime,Entries,UniqueIPs
1493395359,1171,1225
1493398957,1169,1223
1493402617,1168,1222
1493406159,1170,1224
1493409818,1168,1222
1493413359,1167,1221
1493417019,1163,1217
1493420558,1165,1219
1493424158,1166,1220
1493427818,1167,1221
1493431418,1166,1220
1493434959,1161,1215
1493438559,1162,1216
1493442218,1161,1215
1493445759,1162,1216
1493449419,1164,1218
1493452958,1166,1220
1493456558,1165,1219
1493463758,1163,1217
1493467358,1161,1215
1493470958,1158,1212
1493474619,1157,1211
1493478220,1158,1212
1493489019,1155,1209
1493492559,1155,1209
1493496219,1153,1207
1493507020,1155,1209
1493510559,1153,1207
1493514219,1152,1206
1493521360,1152,1206
1493524959,1150,1204
1493528559,1151,1205
1493532159,1150,1204
1493535819,1151,1205
1493539421,1152,1206
1493542959,1150,1204
1493546621,1147,1201
1493550220,1148,1202
1493553760,1147,1201
1493557420,1148,1202
1493560960,1147,1201
1493564560,1147,1201
1493568220,1146,1200
1493571760,1147,1201
1493575360,1147,1201
1493578961,1146,1200
1493582560,1142,1196
1493586220,1142,1196
1493589820,1143,1197
1493593361,1146,1200
1493596961,1149,1203
1493600620,1150,1204
1493604220,1160,1214
1493607760,1162,1216
1493611422,1162,1216
1493614961,1163,1217
1493618561,1162,1216
1493622161,1166,1220
1493625761,1159,1213
1493629361,1163,1217
1493633021,1160,1214
1493636562,1160,1214
1493640162,1161,1215
1493647361,1166,1220
1493650961,1168,1222
1493654561,1166,1215
1493658162,1170,1219
1493661761,1165,1214
1493665362,1164,1212
1493668961,1166,1214
1493672621,1163,1211
1493676222,1166,1222
1493679762,1167,1223
1493683363,1167,1223
1493686965,1169,1225
1493694162,1170,1226
1493697762,1171,1227
1493701422,1171,1227
1493708562,1171,1227
1493712163,1170,1226
1493719423,1165,1221
1493726563,1162,1218
1493733822,1163,1219
1493737362,1160,1216
1493741023,1162,1218
1493744562,1163,1219
1493748162,1166,1222
1493751763,1168,1224
1493755363,1170,1226
1493758964,1169,1225
1493762623,1166,1222
1493766163,1168,1224
1493769764,1170,1226
1493773365,1171,1227
1493776964,1172,1228
1493780564,1173,1229
1493784164,1174,1230
1493787763,1174,1230
1493791363,1170,1226
1493795024,1171,1227
1493802223,1170,1226
1493805823,1171,1227
1493809363,1171,1227
1493813023,1169,1225
1493816564,1169,1225
1493820224,1170,1226
1493823764,1169,1225
1493827364,1170,1226
1493830966,1172,1228
1493834624,1173,1229
1493838164,1172,1228
1493841764,1173,1229
1493845424,1173,1229
1493852564,1173,1233
1493856164,1174,1234
1493859764,1175,1235
1493863365,1172,1232
1493866966,1173,1233
1493870566,1177,1237
1493874225,1174,1234
1493877764,1176,1236
1493881365,1174,1234
1493884964,1176,1236
1493888564,1176,1236
1493892225,1179,1239
1493895765,1179,1239
1493899365,1181,1241
1493902966,1184,1244
1493906565,1186,1246
1493910166,1185,1245
1493913826,1188,1248
1493917365,1189,1249
1493920965,1188,1248
1493924567,1189,1249
1493928166,1189,1249
1493931766,1189,1248
1493935365,1193,1252
1493939025,1193,1252
1493942565,1191,1250
1493946166,1189,1248
1493953366,1189,1248
1493956966,1192,1251
1493960566,1193,1252
1493964166,1188,1247
1493967766,1190,1249
1493971427,1188,1247
1493974966,1189,1248
1493978566,1185,1244
1493982166,1187,1246
