DateTime,AddedIPs,RemovedIPs
1492921242,11,34
1492925093,70,63
1492928904,38,37
1492932771,41,66
1492936592,36,11
1492940461,40,20
1492944252,24,32
1492948130,8,2
1492951963,26,47
1492955796,16,17
1492959714,12,32
1492963472,16,20
1492967311,53,52
1492971145,47,24
1492974987,67,21
1492978857,46,10
1492982722,58,46
1492986522,14,15
1492990356,13,27
1492994191,3,18
1492998048,15,24
1493001876,21,54
1493005717,18,18
1493009555,54,73
1493013399,38,29
1493017333,53,71
1493021319,35,19
1493025170,39,7
1493029115,28,40
1493032842,7,8
1493036721,18,17
1493040539,17,30
1493044354,11,10
1493048218,27,44
1493052020,27,34
1493055862,42,43
1493059901,49,34
1493063868,101,33
1493067737,48,6
1493071491,55,75
1493075344,70,70
1493079169,327,283
1493083019,307,307
1493087094,444,444
1493090946,228,228
1493094799,430,431
1493098622,450,450
1493102691,450,450
1493106532,108,108
1493110361,68,68
1493114217,202,204
1493118120,450,448
1493121899,450,449
1493125740,449,450
1493129542,303,305
1493133434,56,57
1493137246,178,178
1493141074,151,152
1493145130,51,54
1493149261,171,171
1493153084,93,102
1493156947,37,37
1493160784,43,127
1493164624,86,43
1493168494,82,54
1493172291,69,90
1493176131,180,150
1493179953,421,402
1493183827,177,177
1493187635,109,112
1493191475,77,122
1493195344,124,85
1493199163,450,439
1493203034,448,450
1493206836,132,135
1493210691,57,58
1493214559,141,139
1493218374,398,395
1493222235,60,59
1493226287,53,53
1493230113,75,79
1493234203,157,163
1493238060,130,135
1493241863,52,61
1493249606,354,332
1493263015,450,448
1493267131,450,451
1493270945,447,448
1493274769,450,448
1493278647,384,387
1493282477,49,51
1493286284,95,113
1493290145,133,121
1493293961,49,46
1493298146,42,42
1493302385,106,109
1493306225,121,116
1493310279,24,26
1493314151,36,38
1493317972,17,19
1493321848,88,92
1493325637,82,87
1493329484,14,14
1493333348,27,114
1493337160,27,54
1493341055,36,40
1493344919,36,21
1493348690,30,18
1493352544,19,21
1493356357,24,27
1493360231,10,22
1493364046,48,33
1493367868,16,28
1493371741,68,9
1493375544,61,63
1493379431,20,0
1493383249,30,5
1493387156,63,134
1493390959,32,2
1493394671,21,1
1493398355,54,104
1493402213,73,15
1493406093,10,6
1493410153,23,4
1493413962,16,17
1493417798,9,9
1493421681,4,4
1493429573,1,1
1493433432,117,111
1493437232,91,98
1493441070,1,1
1493444936,51,181
1493449035,57,40
1493452947,63,31
1493456983,89,13
1493460803,49,53
1493464969,41,66
1493468694,63,74
1493472514,17,4
1493476601,19,9
1493480441,39,138
1493484117,94,38
