DateTime,Entries,UniqueIPs
1492928904,313,313
1492932771,288,288
1492936592,313,313
1492940461,333,333
1492944252,325,325
1492948130,331,331
1492951963,310,310
1492955796,309,309
1492959714,289,289
1492963472,285,285
1492967311,286,286
1492971145,309,309
1492974987,355,355
1492978857,391,391
1492982722,403,403
1492986522,402,402
1492990356,388,388
1492994191,373,373
1492998048,364,364
1493001876,331,331
1493005717,331,331
1493009555,312,312
1493013399,321,321
1493017333,303,303
1493021319,319,319
1493025170,351,351
1493029115,339,339
1493032842,338,338
1493036721,339,339
1493040539,326,326
1493044354,327,327
1493048218,310,310
1493052020,303,303
1493055862,302,302
1493059901,317,317
1493063868,385,385
1493067737,427,427
1493071491,407,407
1493075344,407,407
1493079169,451,451
1493083019,451,451
1493087094,451,451
1493090946,451,451
1493094799,450,450
1493098622,450,450
1493102691,450,450
1493106532,450,450
1493110361,450,450
1493114217,448,448
1493118120,450,450
1493121899,451,451
1493125740,450,450
1493129542,448,448
1493133434,447,447
1493137246,447,447
1493141074,446,446
1493145130,443,443
1493149261,443,443
1493153084,434,434
1493156947,434,434
1493160784,350,350
1493164624,393,393
1493168494,421,421
1493172291,400,400
1493176131,430,430
1493179953,449,449
1493183827,449,449
1493187635,446,446
1493191475,401,401
1493195344,440,440
1493199163,451,451
1493203034,449,449
1493206836,446,446
1493210691,445,445
1493214559,447,447
1493218374,450,450
1493222235,451,451
1493226287,451,451
1493230113,447,447
1493234203,441,441
1493238060,436,436
1493241863,427,427
1493249606,449,449
1493263015,451,451
1493267131,450,450
1493270945,449,449
1493274769,451,451
1493278647,448,448
1493282477,446,446
1493286284,428,428
1493290145,440,440
1493293961,443,443
1493298146,443,443
1493302385,440,440
1493306225,445,445
1493310279,443,443
1493314151,441,441
1493317972,439,439
1493321848,435,435
1493325637,430,430
1493329484,430,430
1493333348,343,343
1493337160,316,316
1493341055,312,312
1493344919,327,327
1493348690,339,339
1493352544,337,337
1493356357,334,334
1493360231,322,322
1493364046,337,337
1493367868,325,325
1493371741,384,384
1493375544,382,382
1493379431,402,402
1493383249,427,427
1493387156,356,356
1493390959,386,386
1493394671,406,406
1493398355,356,356
1493402213,414,414
1493406093,418,418
1493410153,437,437
1493413962,436,436
1493417798,436,436
1493421681,436,436
1493429573,436,436
1493433432,442,442
1493437232,435,435
1493441070,435,435
1493444936,305,305
1493449035,322,322
1493452947,354,354
1493456983,430,430
1493460803,426,426
1493464969,401,401
1493468694,390,390
1493472514,403,403
1493476601,413,413
1493480441,314,314
1493484117,370,370
1493487863,413,413
1493491722,444,444
1493495588,443,443
1493499385,439,439
1493503333,401,401
1493507342,373,373
1493511181,341,341
1493518843,310,310
1493522670,307,307
1493526526,328,328
1493530636,348,348
1493534491,384,384
1493538257,352,352
1493542131,378,378
1493545947,386,386
1493549824,332,332
1493553731,332,332
1493557526,333,333
1493561325,342,342
1493565621,348,348
1493569646,405,405
1493573594,441,441
1493577383,440,440
1493581268,438,438
1493585073,437,437
1493588909,435,435
1493592767,391,391
1493596593,371,371
1493600494,343,343
1493604540,342,342
1493608385,386,386
1493612227,421,421
1493616061,417,417
1493619882,400,400
1493623737,379,379
1493627596,335,335
1493631391,320,320
1493635234,325,325
1493639081,264,264
1493642938,296,296
1493646765,335,335
1493650590,331,331
1493654523,332,332
1493658533,377,377
1493662367,427,427
1493666198,432,432
1493670065,432,432
1493673866,424,424
1493677729,401,401
1493681560,376,376
1493685384,356,356
1493689267,366,366
1493693074,379,379
1493696934,449,449
1493700777,450,450
1493704604,450,450
1493708570,451,451
1493712532,449,449
1493716392,451,451
1493720232,451,451
1493724187,451,451
1493727904,451,451
1493731707,450,450
1493735400,451,451
1493739263,451,451
1493742979,450,450
1493746849,448,448
1493750712,446,446
1493754527,439,439
