DateTime,Entries,UniqueIPs
1492809671,450,450
1492813468,449,449
1492817315,449,449
1492821174,447,447
1492825008,445,445
1492828859,443,443
1492832681,443,443
1492836527,443,443
1492840372,450,450
1492844178,451,451
1492848129,451,451
1492852130,451,451
1492856010,449,449
1492859828,448,448
1492863667,447,447
1492867460,445,445
1492871320,445,445
1492875170,444,444
1492879004,438,438
1492882861,439,439
1492886661,447,447
1492890537,449,449
1492894393,450,450
1492898279,450,450
1492902127,446,446
1492905927,444,444
1492909795,441,441
1492913588,439,439
1492917394,438,438
1492921245,431,431
1492925099,428,428
1492928907,431,431
1492932774,445,445
1492936595,447,447
1492940463,444,444
1492944254,442,442
1492948132,439,439
1492951965,437,437
1492955798,436,436
1492959718,432,432
1492963474,432,432
1492967314,436,436
1492971147,449,449
1492974988,449,449
1492978860,449,449
1492982724,445,445
1492986525,443,443
1492990359,439,439
1492994193,438,438
1492998051,438,438
1493001879,437,437
1493005719,437,437
1493009557,433,433
1493013401,446,446
1493017336,444,444
1493021321,448,448
1493025173,447,447
1493029117,447,447
1493032845,442,442
1493036724,440,440
1493040543,438,438
1493044358,436,436
1493048220,438,438
1493052024,450,450
1493055865,449,449
1493059903,450,450
1493063871,449,449
1493067741,451,451
1493071496,451,451
1493075348,451,451
1493079174,451,451
1493083023,451,451
1493087098,451,451
1493090950,451,451
1493094809,451,451
1493098625,451,451
1493102696,451,451
1493106534,451,451
1493110365,451,451
1493114219,451,451
1493118125,451,451
1493121901,451,451
1493125742,450,450
1493129545,451,451
1493133438,451,451
1493137250,451,451
1493141077,451,451
1493145133,451,451
1493149264,450,450
1493153087,451,451
1493156949,451,451
1493160786,451,451
1493164629,450,450
1493168502,451,451
1493172295,450,450
1493176133,451,451
1493179959,451,451
1493183831,451,451
1493187638,451,451
1493191479,451,451
1493195348,451,451
1493199166,451,451
1493203038,451,451
1493206839,450,450
1493210695,451,451
1493214561,451,451
1493218378,451,451
1493222238,451,451
1493226290,451,451
1493230115,451,451
1493234209,451,451
1493238064,451,451
1493241866,451,451
1493249615,451,451
1493263019,451,451
1493267158,451,451
1493270948,451,451
1493274773,451,451
1493278651,451,451
1493282480,450,450
1493286288,451,451
1493290148,451,451
1493293964,451,451
1493298151,451,451
1493302389,451,451
1493306228,451,451
1493310281,451,451
1493314154,451,451
1493317975,450,450
1493325641,450,450
1493329486,447,447
1493333350,444,444
1493337163,443,443
1493341058,443,443
1493344921,438,438
1493348692,436,436
1493352550,434,434
1493356360,433,433
1493360237,430,430
1493364049,424,424
1493367870,415,415
1493371746,410,410
1493375547,409,409
1493379434,406,406
1493383254,394,394
1493387159,387,387
1493390961,381,381
1493394674,373,373
1493398358,370,370
1493402216,366,366
1493406095,366,366
1493410155,366,366
1493413965,364,364
1493417800,364,364
1493425484,363,363
1493429577,363,363
1493433435,363,363
1493437234,361,361
1493441073,357,357
1493444939,362,362
1493449039,407,407
1493452956,420,420
1493456987,441,441
1493460810,443,443
1493464971,442,442
1493468697,441,441
1493472517,438,438
1493476605,435,435
1493480444,436,436
1493484124,432,432
1493487867,425,425
1493491728,422,422
1493495592,428,428
1493499389,440,440
1493503335,438,438
1493507345,440,440
1493511186,438,438
1493518846,434,434
1493522675,434,434
1493526529,433,433
1493530639,437,437
1493534495,448,448
1493538261,445,445
1493542133,440,440
1493545949,437,437
1493557529,437,437
1493561328,438,438
1493565624,439,439
1493569649,445,445
1493573597,448,448
1493577385,445,445
1493581270,443,443
1493585077,435,435
1493588912,433,433
1493592770,424,424
1493596596,417,417
1493600498,430,430
1493604543,450,450
1493608388,451,451
1493612230,451,451
1493616064,450,450
1493619884,449,449
1493623740,445,445
1493627600,444,444
1493631394,442,442
1493635238,437,437
1493639084,434,434
1493642941,435,435
1493646769,436,436
1493650593,450,450
1493654526,451,451
1493658536,449,449
1493662372,448,448
1493666200,447,447
1493670068,448,448
1493673869,451,451
1493677733,451,451
1493681562,451,451
1493685388,451,451
1493689271,451,451
1493693080,447,447
1493696938,451,451
1493700780,451,451
1493704608,451,451
1493708575,451,451
1493712536,450,450
1493716394,451,451
1493720237,451,451
1493724190,451,451
1493727908,451,451
1493731710,451,451
1493735404,451,451
1493739266,451,451
1493742983,451,451
1493746852,451,451
1493750717,451,451
1493754535,451,451
1493758387,451,451
1493762196,451,451
1493766124,450,450
1493769943,451,451
1493773749,451,451
1493777568,451,451
1493781423,451,451
1493785271,451,451
1493789065,450,450
1493792906,451,451
1493796786,451,451
1493800632,451,451
1493804461,450,450
1493808275,451,451
1493812120,451,451
1493816059,450,450
1493823833,451,451
1493827843,451,451
1493835530,451,451
1493839290,451,451
1493846994,450,450
1493854834,451,451
1493858663,451,451
1494168775,430,430
1494172565,430,430
1494180284,430,430
1494184118,429,429
1494187964,429,429
1494195879,428,428
1494199715,427,427
1494203563,426,426
1494207401,425,425
1494211229,425,425
1494215090,425,425
1494222745,424,424
1494234626,423,423
1494238390,420,420
1494242199,420,420
1494246051,419,419
1494253724,418,418
1494261440,418,418
1494265250,417,417
1494272917,417,417
1494276782,416,416
1494280604,416,416
1494296022,414,414
1494299807,413,413
1494311347,412,412
1494315184,411,411
1494319016,410,410
1494322841,409,409
1494326676,407,407
1494334374,406,406
1494338315,405,405
1494342112,404,404
1494357652,403,403
1494361474,402,402
1494365325,400,400
1494384523,399,399
1494396121,398,398
1494407570,397,397
1494415237,396,396
1494434343,392,392
1494441880,392,392
1494445727,392,392
1494453349,390,390
1494457303,389,389
1494461348,389,389
1494469002,389,389
1494472848,388,388
1494476671,387,387
1494480537,387,387
1494484379,385,385
1494488203,385,385
1494492043,384,384
1494495870,383,383
1494499717,382,382
1494507393,379,379
1494515079,378,378
1494522770,377,377
1494526592,377,377
1494530476,377,377
1494542198,375,375
1494549873,373,373
1494553710,373,373
1494557567,373,373
1494561414,372,372
1494565311,367,367
1494569079,399,399
1494572926,447,447
1494576750,443,443
1494580598,442,442
1494584446,443,443
1494595966,441,441
1494599799,441,441
1494603624,440,440
1494607429,438,438
1494611336,436,436
1494615162,436,436
1494619012,435,435
1494622902,435,435
1494626926,437,437
1494630758,446,446
1494634614,441,441
1494638445,443,443
1494642274,442,442
1494646120,441,441
1494649982,438,438
1494653831,438,438
1494657638,437,437
1494661483,435,435
1494665317,432,432
1494669160,430,430
1494674203,430,430
1494678378,427,427
1494682132,429,429
1494685989,427,427
1494689811,428,428
1494693635,428,428
1494697472,426,426
1494701317,427,427
1494705190,424,424
1494709022,433,433
1494712964,439,439
1494716699,440,440
1494720559,440,440
1494724400,445,445
1494728212,442,442
1494735879,440,440
1494739852,439,439
1494743561,438,438
1494747410,442,442
1494751529,438,438
1494755321,442,442
1494759179,451,451
1494763073,451,451
1494766949,451,451
1494770696,448,448
1494774509,447,447
1494778358,447,447
1494782192,445,445
1494786073,445,445
1494789877,445,445
1494793728,446,446
1494797564,449,449
1494801457,450,450
1494805265,451,451
1494809089,451,451
1494812952,451,451
1494816777,448,448
1494820627,128,128
1494824519,126,126
1494828291,130,130
1494832122,197,197
1494835972,193,193
1494839816,188,188
1494843655,191,191
1494847488,186,186
1494851380,129,129
1494855197,140,140
1494866862,145,145
1494870758,163,163
1494874627,155,155
1494878530,138,138
1494882298,167,167
1494897688,174,174
1494901534,176,176
1494905377,174,174
1494909214,162,162
1494920950,180,180
1494928656,170,170
1494963447,147,147
1494967270,149,149
1494990365,198,198
1494994176,238,238
1495009533,211,211
1495021072,218,218
1495028486,226,226
1495032309,205,205
1495036159,176,176
1495040012,151,151
1495063263,221,221
1495067100,211,211
1495070908,185,185
1495074788,208,208
1495078645,217,217
1495082428,220,220
1495086310,258,258
1495090120,172,172
1495093974,156,156
1495097836,157,157
1495101733,138,138
1495105490,150,150
1495109338,142,142
1495113194,222,222
1495117009,218,218
1495120877,189,189
1495124698,244,244
1495128540,203,203
1495132365,203,203
1495136215,146,146
1495140047,169,169
1495143884,154,154
1495147738,186,186
1495151578,172,172
1495155445,167,167
1495159389,172,172
1495163099,172,172
1495166925,194,194
1495170768,203,203
1495174640,183,183
1495178473,200,200
1495182304,208,208
1495186149,199,199
1495189970,184,184
1495193814,212,212
1495197658,164,164
1495201501,190,190
1495205344,166,166
1495209172,157,157
1495213008,176,176
1495216941,222,222
1495220720,201,201
1495224566,236,236
1495228556,226,226
1495232270,204,204
1495236073,178,178
1495239914,143,143
1495243779,149,149
1495247563,166,166
1495251437,169,169
1495255253,194,194
1495259116,204,204
1495262971,204,204
1495266830,217,217
1495270648,202,202
1495274588,194,194
1495278568,162,162
1495282391,163,163
1495286482,160,160
1495290309,159,159
1495294163,198,198
1495298016,214,214
1495305707,206,206
1495309518,219,219
1495313372,205,205
1495317187,226,226
1495321000,149,149
1495324972,166,166
1495328714,160,160
1495332555,147,147
1495336399,196,196
1495340266,211,211
1495344064,298,298
1495347892,395,395
1495351749,406,406
1495355582,407,407
1495359430,410,410
1495367068,443,443
1495370935,443,443
1495374822,447,447
1495378643,450,450
1495382571,450,450
