DateTime,AddedIPs,RemovedIPs
1492813477,6,6
1492821184,2,2
1492825016,3,2
1492828870,2,0
1492832692,1,0
1492836536,5,7
1492840380,1,0
1492844190,7,6
1492848150,3,4
1492852141,5,9
1492856023,3,3
1492859839,3,3
1492867471,1,7
1492871330,5,12
1492875179,4,1
1492879013,2,0
1492882870,2,1
1492886673,5,5
1492890550,5,0
1492894401,2,3
1492898298,1,2
1492902137,1,0
1492905936,2,0
1492909803,2,0
1492917403,1,1
1492921255,5,4
1492925117,5,11
1492928918,1,3
1492932787,7,19
1492936604,2,3
1492940474,5,8
1492944262,6,3
1492948142,3,1
1492951974,5,7
1492955806,12,3
1492959731,1,4
1492963483,8,2
1492967327,5,4
1492971157,8,1
1492974998,5,1
1492978869,2,0
1492982733,4,1
1492986535,0,1
1492990370,3,1
1492994202,3,3
1492998063,2,0
1493001889,5,4
1493005729,1,2
1493009568,2,7
1493013410,2,1
1493017345,13,10
1493021333,1,6
1493025188,5,9
1493029126,7,9
1493032853,1,1
1493036733,3,2
1493040554,5,3
1493044379,4,0
1493048234,5,3
1493052033,3,4
1493055875,3,0
1493059914,4,2
1493063886,6,5
1493067757,1,1
1493071506,3,5
1493075360,2,2
1493079204,2,4
1493083037,1,4
1493087111,1,2
1493090967,1,1
1493094875,2,3
1493098635,4,11
1493102711,4,10
1493106546,6,16
1493110375,1,5
1493114238,4,8
1493118148,3,1
1493121911,1,0
1493125754,2,2
1493129554,5,3
1493133448,1,1
1493137263,2,1
1493141088,4,4
1493145143,3,1
1493149288,8,4
1493153101,7,5
1493156960,5,4
1493160797,3,4
1493164643,3,0
1493168519,4,4
1493176145,2,0
1493179979,3,3
1493183847,4,3
1493187648,2,7
1493191491,6,8
1493195358,3,7
1493199183,3,5
1493203052,3,3
1493206851,5,5
1493210711,2,5
1493214575,3,1
1493218393,3,2
1493222251,5,2
1493226302,6,0
1493230126,2,0
1493234234,7,3
1493238078,12,0
1493241880,1,2
1493249649,2,6
1493263033,3,2
1493270959,7,6
1493274786,4,1
1493278664,4,6
1493282491,10,6
1493286308,12,11
1493290159,4,13
1493293975,7,1
1493298168,1,0
1493302408,3,10
1493306241,4,1
1493310291,2,1
1493314167,2,2
1493317989,1,1
1493321860,6,3
1493325653,5,2
1493329496,3,2
1493333360,3,6
1493337175,3,7
1493341067,3,4
1493344932,0,2
1493348702,0,1
1493352571,2,4
1493356370,1,3
1493360252,2,4
1493364059,5,11
1493367880,1,3
1493371763,2,7
1493375560,4,2
1493379445,4,0
1493383270,4,6
1493387172,4,3
1493390974,2,2
1493394691,3,0
1493398369,2,2
1493402229,4,4
1493406108,2,2
1493410165,3,3
1493413975,1,0
1493417811,3,3
1493421694,2,1
1493425495,1,3
1493429593,1,4
1493433447,8,6
1493437243,13,7
1493444955,1,6
1493449053,4,9
1493452988,5,3
1493457005,7,6
1493460837,2,4
1493464986,0,4
1493468709,2,6
1493472526,3,3
1493476618,4,0
1493480454,2,2
1493484147,3,1
1493487885,3,1
1493491755,7,1
1493495603,4,2
1493499402,4,4
1493503346,0,1
1493507355,4,2
1493511198,1,1
1493518858,1,6
1493522692,1,1
1493526541,1,2
1493530651,1,5
1493534512,2,1
1493538272,1,0
1493542144,1,2
1493545959,2,3
1493549838,2,2
1493553759,3,1
1493557539,2,2
1493561340,1,1
1493565638,6,9
1493569659,7,9
1493573616,0,4
1493577396,1,4
1493581281,7,4
1493585093,5,3
1493588927,1,3
1493592782,2,1
1493596612,2,4
1493600515,2,1
1493604559,4,1
1493608406,2,0
1493616077,1,0
1493619894,7,5
1493623754,3,3
1493627617,2,6
1493631410,2,3
1493635253,1,1
1493639096,4,8
1493642957,7,3
1493646781,2,5
1493650609,2,9
1493654537,5,15
1493658547,2,3
1493662392,3,0
1493666211,5,1
1493670078,7,2
1493673883,0,1
1493677751,3,0
1493681574,2,1
1493685403,2,1
1493689287,3,1
1493693103,2,3
1493696953,4,2
1493700795,2,4
1493704622,6,4
1493708589,2,3
1493712549,1,4
1493716405,2,10
1493720251,5,4
1493724201,4,5
1493727919,1,1
1493731723,3,3
1493735419,1,1
1493739278,2,0
1493743003,4,2
1493746870,4,1
1493750750,2,3
1493754561,2,0
1493758401,7,3
1493762208,3,0
1493766137,4,3
1493769957,0,4
1493773760,4,2
1493777580,4,0
1493785287,4,2
1493789079,1,1
1493792923,3,0
1493796806,3,4
1493800645,0,2
1493804477,8,9
1493808287,1,2
1493812138,2,2
1493827899,10,15
1493835635,4,3
1493839353,6,2
1493847061,8,3
1493854849,7,4
1493858678,4,2
1494168786,86,28
1494172576,4,2
1494180295,0,2
1494187975,2,3
1494192063,1,1
1494195890,2,3
1494199742,2,0
1494203574,1,0
1494211240,3,2
1494215102,3,2
1494218928,0,2
1494222757,3,3
1494226617,4,1
1494234637,3,1
1494238401,1,1
1494242210,1,1
1494246062,2,0
1494249897,1,1
1494253735,3,1
1494257630,2,0
1494261450,2,3
1494269102,0,1
1494272928,2,0
1494276793,0,1
1494280615,2,0
1494284568,2,2
1494288303,3,0
1494292174,1,1
1494296062,2,0
1494299818,2,0
1494303666,2,1
1494307544,0,1
1494311358,3,2
1494315195,3,2
1494319027,2,1
1494322852,5,2
1494326686,3,0
1494330533,2,1
1494334385,2,1
1494338325,0,1
1494342123,0,1
1494346142,2,1
1494349984,3,1
1494353815,1,2
1494357663,0,1
1494361486,3,5
1494365336,3,2
1494369172,2,4
1494373020,1,0
1494376860,5,5
1494380687,1,0
1494388375,0,2
1494392198,1,3
1494396133,1,0
1494399900,2,1
1494407581,3,2
1494415248,3,4
1494419081,3,4
1494434354,3,4
1494438130,1,1
1494441891,2,0
1494445738,1,1
1494449589,1,0
1494453360,2,2
1494465188,1,0
1494469013,2,0
1494476682,0,1
1494480554,2,0
1494484391,16,19
1494488215,1,2
1494492057,3,8
1494495882,2,1
1494499729,2,5
1494503586,7,13
1494507412,1,2
1494515090,3,9
1494522782,8,13
1494526604,3,11
1494530487,7,7
1494542209,7,12
1494549884,2,8
1494553721,4,5
1494557579,2,3
1494561432,1,6
1494565324,5,9
1494569091,2,3
1494572940,6,3
1494576762,3,5
1494580619,4,3
1494584458,5,7
1494595978,6,6
1494599811,3,6
1494603642,5,3
1494607442,4,6
1494611349,3,2
1494615177,5,2
1494619025,10,8
1494622915,3,2
1494626939,2,3
1494630771,6,8
1494634632,0,4
1494638457,0,1
1494642286,3,10
1494646131,2,2
1494649995,1,4
1494653842,4,2
1494657651,3,5
1494661495,1,0
1494665334,1,1
1494669172,5,6
1494674217,5,4
1494678391,2,8
1494682145,2,0
1494686004,2,2
1494689822,6,3
1494693648,5,6
1494697483,5,6
1494701329,1,3
1494705202,10,10
1494709043,3,4
1494712997,8,1
1494716712,2,2
1494720573,1,1
1494724412,1,1
1494728225,4,5
1494732088,2,1
1494735892,2,2
1494739864,1,2
1494743573,5,5
1494747431,2,2
1494751590,1,8
1494755339,3,4
1494759201,4,3
1494763171,1,5
1494767010,8,10
1494770726,4,2
1494774525,1,3
1494778377,6,11
1494782208,3,0
1494786090,2,1
1494789901,8,3
1494793746,4,4
1494797598,2,1
1494801529,3,0
1494809114,1,0
1494813053,2,1
1494816788,2,1
1494820658,3,0
1494824545,1,0
1494828311,4,1
1494832143,5,0
1494835989,2,4
1494839833,1,3
1494843700,2,1
1494847514,5,7
1494851468,12,6
1494855259,4,4
1494866945,16,16
1494870823,6,5
1494874709,3,4
1494878633,7,5
1494882384,2,6
1494897778,16,12
1494901632,1,2
1494905473,2,3
1494909306,2,0
1494921060,4,5
1494994255,66,76
1495009642,11,13
1495032816,11,28
1495067577,23,9
1495071424,2,1
1495075262,10,2
1495079135,9,2
1495082932,2,2
1495086789,3,1
1495090617,10,8
1495094564,3,7
1495098303,2,3
1495102151,2,5
1495105989,1,1
1495109826,10,15
1495113688,1,1
1495117491,1,3
1495121352,3,11
1495125198,2,3
1495129026,1,0
1495132849,1,2
1495136688,6,4
1495140520,4,0
1495144396,2,1
1495148335,3,2
1495155898,8,6
1495159765,2,0
1495163588,1,0
1495167392,1,1
1495171267,1,2
1495175099,2,2
1495178942,4,3
1495182792,5,0
1495186619,2,0
1495190444,3,6
1495194298,5,3
1495198119,0,1
1495201989,1,6
1495205839,5,2
1495209510,4,1
1495213324,1,2
1495217097,4,8
1495220944,4,3
1495224782,12,14
1495228596,4,9
1495232315,6,0
1495236118,1,1
1495243806,4,2
1495247597,4,3
1495251472,4,2
1495255292,2,1
1495259162,2,3
1495263020,7,2
1495266896,4,11
1495270709,2,5
1495274652,1,1
1495278606,6,6
1495282430,6,2
1495286526,2,1
1495290351,5,18
1495294209,0,2
1495298062,3,3
1495305775,5,3
1495309568,5,1
1495313420,6,7
1495317216,1,0
1495321029,2,1
1495325014,4,2
1495328741,3,4
1495332586,3,3
1495336434,2,6
1495340304,6,4
1495344087,2,2
1495347914,4,8
1495351770,2,5
1495355603,4,3
1495359449,5,5
1495363276,1,1
1495367089,4,3
1495370957,2,3
